verbatimDisposition	standardDisposition	standard	checked
Exch. to Rothschild Coll. & when R. Coll came to A	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when R. Coll. came to 	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when ret'd to AMNH, re	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when returned to AMNH 	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when returned to AMNH,	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when returned to ANMH,	voucher elsewhere	0	1
Exch. to Rothschild Coll. & when returned, recatal	voucher elsewhere	0	1
Exch. to Rothschild Coll. and when ret'd to AMNH, 	voucher elsewhere	0	1
Exch. to Rothschild Coll. and when returned to AMN	voucher elsewhere	0	1
Exch. to Rothschild Mus. and when returned to AMNH	voucher elsewhere	0	1
Exch. to Rothschild on return renumbered 700732	voucher elsewhere	0	1
Exch. to Rothschild on return renumbered 700735	voucher elsewhere	0	1
Exch. to Rothschild renumbered 700714 on return	voucher elsewhere	0	1
Exch. to Rothschild -when returned renumbered 7006	voucher elsewhere	0	1
Exch. to Rothschild when returned renumbered 70074	voucher elsewhere	0	1
Exch. to Rothschild,  when returned renumbered 700	voucher elsewhere	0	1
Exch. to Rothschild, on return renumbered 700677	voucher elsewhere	0	1
Exch. to Rothschild, on return renumbered 700678	voucher elsewhere	0	1
Exch. to Rothschild, on return renumbered 700679	voucher elsewhere	0	1
Exch. to Rothschild, when returned numbered 700750	voucher elsewhere	0	1
Exch. to Rothschild, when returned renumbered 7005	voucher elsewhere	0	1
Exch. to Rothschild, when returned renumbered 7006	voucher elsewhere	0	1
Exch. to Rothschild, when returned renumbered 7007	voucher elsewhere	0	1
Exch. to Rothschild-when returned renumbered 70063	voucher elsewhere	0	1
Exch. to Rothschild-when returned renumbered 70064	voucher elsewhere	0	1
Exch. to Rothschild-when returned renumbered 70067	voucher elsewhere	0	1
Exch. to Rothschild-when returned renumbered 70076	voucher elsewhere	0	1
Exch. to Rothschild-when reurned renumbered 700636	voucher elsewhere	0	1
Exch. to São Paulo Museum (C.F.A. Camarga) Jan 196	voucher elsewhere	0	1
Exch. to Sci. Supply, N.Y.	voucher elsewhere	0	1
Exch. to Scientific Supply Co. (Mr. Rubinger) May 	voucher elsewhere	0	1
Exch. to Scientific Supply Co., Jan 17, 1957	voucher elsewhere	0	1
Exch. to Scientific Supply, Jan 17, 1957	voucher elsewhere	0	1
Exch. to South Australian Museum, Australia, Shane	voucher elsewhere	0	1
Exch. to Su.S. National Museum Jan 1932	voucher elsewhere	0	1
Exch. to Swedish Mus. Dec 12, 1931	voucher elsewhere	0	1
Exch. to the British Museum, June 1930	voucher elsewhere	0	1
Exch. to Transvaal Museum, Pretoria, S. Africa, 15	voucher elsewhere	0	1
Exch. to U. Cincinnati	voucher elsewhere	0	1
Exch. to U. Cincinnati, 12/19/69	voucher elsewhere	0	1
Exch. to U. of Conn. MNH Mar 1984 - LLS	voucher elsewhere	0	1
Exch. to U. of Fla. 7/19/63	voucher elsewhere	0	1
Exch. to U. Oklahoma, Dr. Robert B. Payne	voucher elsewhere	0	1
Exch. to U.S. Nationa Museum Sept 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum Jan 1932	voucher elsewhere	0	1
Exch. to U.S. National Museum Sept 1920	voucher elsewhere	0	1
Exch. to U.S. National Museum Sept 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum Sept. 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum,   Sept 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, Apr 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, August 1964	voucher elsewhere	0	1
Exch. to U.S. National Museum, Jam 1932	voucher elsewhere	0	1
Exch. to U.S. National Museum, Jan 10, 1932	voucher elsewhere	0	1
Exch. to U.S. National Museum, Jan 1932	voucher elsewhere	0	1
Exch. to U.S. National Museum, Jan, 1932	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sep 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept 1930; This spe	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept 1936	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept 30, 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept.	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept. 1930	voucher elsewhere	0	1
Exch. to U.S. National Museum, Sept. 30	voucher elsewhere	0	1
Exch. to U.S. Nat'l Museum, Sept 1930	voucher elsewhere	0	1
Exch. to U.S. Natuonal Museum, Jan 1932	voucher elsewhere	0	1
Exch. to U.S. Natural Museum, Jan 1932	voucher elsewhere	0	1
Exch. to Univ. Conn., 2/2/66 Dr. Alan H. Brush	voucher elsewhere	0	1
Exch. to Univ. Minnasota, Jan 1956	voucher elsewhere	0	1
Exch. to Univ. Minnesota Jan 1956	voucher elsewhere	0	1
Exch. to Univ. Minnesota, Jan 1956	voucher elsewhere	0	1
Exch. to W.F.H. Rosenberg, Sept 1921	voucher elsewhere	0	1
Exch. to W.H. Phelps	voucher elsewhere	0	1
Exch. to Zool. Mus. Copenhagen  ? 1959	voucher elsewhere	0	1
Exch. to Zool. Mus. Copenhagen [illeg] May 1959	voucher elsewhere	0	1
Exch. to Zool. Mus. Copenhagen, May 1959	voucher elsewhere	0	1
Exch. to Zool. Mus., Copenhagan, May 1959	voucher elsewhere	0	1
Exch. to Zool. Mus., Copenhagen, May 1959	voucher elsewhere	0	1
Exch. to Zool. Mus.-Copenhagen, May 1959	voucher elsewhere	0	1
Exch. to: Mr. w. Phelps, 11/28/73	voucher elsewhere	0	1
Exch. To: Queensland Museum, Australia, D.P. Verno	voucher elsewhere	0	1
Exch. to: Queensland Museum, Australia, D.P. Vovno	voucher elsewhere	0	1
Exch. Tring Mus. England July 1906	voucher elsewhere	0	1
Exch. Tring Mus. England, July 1906	voucher elsewhere	0	1
Exch. Tring Mus. May 1921	voucher elsewhere	0	1
Exch. Tring Mus. May 1921 = AMNH # 492208 (from Ro	voucher elsewhere	0	1
Exch. Tring Mus. May 1921; returned in 1932 and re	voucher elsewhere	0	1
Exch. Tring Mus., England, Jul 1906	voucher elsewhere	0	1
Exch. Tring Mus., England, July 1906	voucher elsewhere	0	1
Exch. Tring Mus., May 1921	voucher elsewhere	0	1
Exch. Tring Mus.England,July,1906	voucher elsewhere	0	1
Exch. Tring Muse. May 1921	voucher elsewhere	0	1
Exch. Tring Museum, England July 1906	voucher elsewhere	0	1
Exch. Tring Museum, May 1921	voucher elsewhere	0	1
Exch. Tring Museum-May 1921	voucher elsewhere	0	1
Exch. U of Florida - 1967	voucher elsewhere	0	1
Exch. U. Conn. Mus N.H. Ma[illeg] 1984 [illeg]	voucher elsewhere	0	1
Exch. U. of Florida - 1967	voucher elsewhere	0	1
Exch. U. of Florida-1967	voucher elsewhere	0	1
Exch. U.S. Mus. July 1921	voucher elsewhere	0	1
Exch. U.S. Nat. Mus.	voucher elsewhere	0	1
Exch. U.S. Nat. Mus. July 1921	voucher elsewhere	0	1
Exch. U.S. Nat. Museum July 1921	voucher elsewhere	0	1
Exch. U.S. Nat. Museum, July 1921	voucher elsewhere	0	1
Exch. U.S.N.M. July 1921	voucher elsewhere	0	1
Exch. Univ. of Oklahoma 3 Jan 1955 J.F.	voucher elsewhere	0	1
Exch. Univ. of Oklahoma, 3 Jan 1955	voucher elsewhere	0	1
Exch. University of Dakota June 15, 1920	voucher elsewhere	0	1
Exch. w. Netterstrom Ostersund Sweden 1-6-54	voucher elsewhere	0	1
Exch. W.[illeg][illeg] Rosenberg, Sep 192[illeg]	voucher elsewhere	0	1
Exch. W.F. H. Rosenberg, Sept 1921	voucher elsewhere	0	1
Exch. W.F. Rosenberg, Sept 1921	voucher elsewhere	0	1
Exch. W.F.H Rosenberg, Sept 1921	voucher elsewhere	0	1
Exch. W.F.H. Rosenberg , Sept 1921	voucher elsewhere	0	1
Exch. W.F.H. Rosenberg Sept 1921	voucher elsewhere	0	1
Exch. W.F.H. Rosenberg, Sept 1921	voucher elsewhere	0	1
Exch. W.F.H. Rosenberg, Sept. 1921	voucher elsewhere	0	1
Exch. W.F.H. Rosenberg. Sept 1921	voucher elsewhere	0	1
Exch. w/W. Ferguson 1/18/65	voucher elsewhere	0	1
Exch. Walter Koelz, April 1926	voucher elsewhere	0	1
Exch. with "Tring Museum" May 1927	voucher elsewhere	0	1
Exch. with [Sacthrick illeg.,] Feb. 27,'91	voucher elsewhere	0	1
Exch. with A. ? Anthony  Dec 15/93 [illeg.]	voucher elsewhere	0	1
Exch. with A.C. Connor, N.L., May 1927	voucher elsewhere	0	1
Exch. with A.C. O'Connor, 14 Jun 1929	voucher elsewhere	0	1
Exch. with A.C. O'Connor, June 14, 1929	voucher elsewhere	0	1
Exch. with A.C. O'Connor, June 14,1929	voucher elsewhere	0	1
Exch. with A.C. Oconnor, N.Z., May 1927	voucher elsewhere	0	1
Exch. with A.C. O'Connor, N.Z., May 1927	voucher elsewhere	0	1
Exch. with A.C.O'Connor, June 14,1929	voucher elsewhere	0	1
Exch. with A.C.O'Connor, June 1929	voucher elsewhere	0	1
Exch. with A.E. Southwise [illeg.]	voucher elsewhere	0	1
Exch. with A.G. Paine,Jr., Dec 1,1886	voucher elsewhere	0	1
Exch. with A.H. Thayer	voucher elsewhere	0	1
Exch. with A.T. Wayne, 1 Apr 1902	voucher elsewhere	0	1
Exch. with Acad. Nat. Sci. Phila., Jul 1928	voucher elsewhere	0	1
Exch. with Academy of Nat. Sciences, Phila., Jul 1	voucher elsewhere	0	1
Exch. with Ashley Hine Banff, Alberta July 31, 190	voucher elsewhere	0	1
Exch. with Ashley Hine, Banff, Alberta, 31 Jul 190	voucher elsewhere	0	1
Exch. with Berlin Mus. July 1936	voucher elsewhere	0	1
Exch. with Berlin Mus., July 1926	voucher elsewhere	0	1
Exch. with Berlin Museum July 1936	voucher elsewhere	0	1
Exch. with Berlin Museum, July 1936	voucher elsewhere	0	1
Exch. with Berlin Zoological Mus., Nov 1,1930	voucher elsewhere	0	1
Exch. with Brit. Mus., Jun 1930	voucher elsewhere	0	1
Exch. with British Mus.	voucher elsewhere	0	1
Exch. with British Mus., Sept 1927	voucher elsewhere	0	1
Exch. with British Museum, Sept 1927	voucher elsewhere	0	1
Exch. with Brown Univ.	voucher elsewhere	0	1
Exch. with Brown Univ. Oct 9/90	voucher elsewhere	0	1
Exch. with Brown Univ. Oct. 7/90	voucher elsewhere	0	1
Exch. with C.A. Smith and receiving back in his co	voucher elsewhere	0	1
Exch. with C.A. Smith May 15/90	voucher elsewhere	0	1
Exch. with C.A. Smith, May 10/90	voucher elsewhere	0	1
Exch. with C.B. Cory	voucher elsewhere	0	1
Exch. with Carlos Reed, Mendoza Feb 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reed, Mendoza, Feb 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reeds Mendoza, Feb 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reeds, Mendoza Feb. 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reeds, Mendoza, Feb 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reeds, Mendoza, Feb. 9, 1917	voucher elsewhere	0	1
Exch. with Carlos Reeds. Mendoza. 9 Feb 1917	voucher elsewhere	0	1
Exch. with Carnegie Mus, 15 Jun 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus. June 14, 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus. June 15 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus. June 15, 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus., June 14, 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus., June 15, 1929	voucher elsewhere	0	1
Exch. with Carnegie Mus., June 1929	voucher elsewhere	0	1
Exch. with Carnegie Museum, June 15, 1925	voucher elsewhere	0	1
Exch. with Carnegie Museum, June 15, 1929	voucher elsewhere	0	1
Exch. with Ch[illeg] Foo Mus., through Rev. Geo. C	voucher elsewhere	0	1
Exch. with Charles Reeds, Mendoza Feb 4, 1917	voucher elsewhere	0	1
Exch. with Chee Foo Mus. through Rev Geo Cornwall,	voucher elsewhere	0	1
Exch. with Chee Foo Mus. through Rev. Geo. Cornwal	voucher elsewhere	0	1
Exch. with Chee Foo Mus., 28 Jun 1901	voucher elsewhere	0	1
Exch. with Chee Foo Mus., China, through Rev. Geo.	voucher elsewhere	0	1
Exch. with Chee Foo Mus., thro' Rev. Geo. Cornwall	voucher elsewhere	0	1
Exch. with Chee Foo Mus., thro'Geo. Cornwall, June	voucher elsewhere	0	1
Exch. with Chee Foo Mus., through Rev. Geo. Cornwa	voucher elsewhere	0	1
Exch. with Chee Foo Museum, 28 Jun 1901 by Rev. Ge	voucher elsewhere	0	1
Exch. with Chee Foo Museum, June 28, 1901	voucher elsewhere	0	1
Exch. with Chee Foo Museum, through Rev. Geo. Corn	voucher elsewhere	0	1
Exch. with Chee Foo, China Mus. thro' Rev. Geo Cor	voucher elsewhere	0	1
Exch. with Chee Foo, China, Mus., thro' Rev. Geo. 	voucher elsewhere	0	1
Exch. with Chee-Foo Museum through Rev Geo. Cornwa	voucher elsewhere	0	1
Exch. with Cleveland Feb. 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus, 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus, Feb 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus. Fab. 1928	voucher elsewhere	0	1
Exch. with Cleveland Mus. Fb 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus. Feb 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus. Feb. 1926	voucher elsewhere	0	1
Exch. with Cleveland Mus., Feb 1926	voucher elsewhere	0	1
Exch. with Cleveland Museum Feb. 1926	voucher elsewhere	0	1
Exch. with Cleveland Museum Feb. 1938	voucher elsewhere	0	1
Exch. with Cleveland Museum, Feb 1926	voucher elsewhere	0	1
Exch. with Cleveland Museum, Jun 1927	voucher elsewhere	0	1
Exch. with Cleveland, Feb 1926	voucher elsewhere	0	1
Exch. with Count von Berlepsch, Feb.'05	voucher elsewhere	0	1
Exch. with D. Banys, May 16,'05	voucher elsewhere	0	1
Exch. with D. Banys, May 16'05	voucher elsewhere	0	1
Exch. with Dominion Mus, - N.Z.	voucher elsewhere	0	1
Exch. with Dr. C.E. Hellmayr, München, Germany. Se	voucher elsewhere	0	1
Exch. with Dr. E. Stresemann, Berlin Zoological Mu	voucher elsewhere	0	1
Exch. with Dr. E.W. Nelson July 1925-Biol. Survey	voucher elsewhere	0	1
Exch. with Dr. E.W. Nelson, July 1925-Biol. Survey	voucher elsewhere	0	1
Exch. with Dr. E.W. Nelson, July 1925-Biol.Survey	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford Collection, 28 May 195	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford Feb. 1919	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford Sept. [1913 illeg.]	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford Sept. 1917	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford, Feb 1919	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford, Sep 1917	voucher elsewhere	0	1
Exch. with Dr. L.C. Sanford, Sept. 1917	voucher elsewhere	0	1
Exch. with Dr. L.C.Sanford, Sept.1917	voucher elsewhere	0	1
Exch. with Dr. Rusly 7/8/96	voucher elsewhere	0	1
Exch. with Dr. Streseman-Berlin Museum, May 1927	voucher elsewhere	0	1
Exch. with Dr. Streseman-Berlin Museum-May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann - Berlin - May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann Berlin Mus.-May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann Berlin Museum - May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann Berlin Museum, May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann, Berlin Museum, May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann, Berlin Museum-May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann-Berlin Mus.-May 1927	voucher elsewhere	0	1
Exch. with Dr. Stresemann-Berlin Museum-May 1927	voucher elsewhere	0	1
Exch. with Dr. Stressemann-Berlin Museum-May 1927	voucher elsewhere	0	1
Exch. with E. Lehn Schiöler, January 1927	voucher elsewhere	0	1
Exch. with E. Lehn Schioler, Sent Jan. 1927	voucher elsewhere	0	1
Exch. with E.N. Faulks for 78120, 16 Sep 1902	voucher elsewhere	0	1
Exch. with E.T. Seton, Apr 1918	voucher elsewhere	0	1
Exch. with E.T. Seton, April 1918	voucher elsewhere	0	1
Exch. with E.T.Seton, April 1918	voucher elsewhere	0	1
Exch. with Exch. dwith M.C.Z. July 1928 July 1928 	voucher elsewhere	0	1
Exch. with F.O. Johnson May 20, 1889	voucher elsewhere	0	1
Exch. with Fuertes, 1906	voucher elsewhere	0	1
Exch. with G. Kohn Nov 29/90	voucher elsewhere	0	1
Exch. with G. Kohn Nov. 29/90	voucher elsewhere	0	1
Exch. with H.B. Conover, Field Mus., 7 Oct 1929	voucher elsewhere	0	1
Exch. with H.K. Coale Dec 4, 1913	voucher elsewhere	0	1
Exch. with H.K. Coale- Illinois-Dec 4, 1924	voucher elsewhere	0	1
Exch. with H.K. Coale Jan 1920	voucher elsewhere	0	1
Exch. with H.K. Coale Jan. 1920	voucher elsewhere	0	1
Exch. with H.K. Coale March '10	voucher elsewhere	0	1
Exch. with H.K. Coale, 4 Dec 1913	voucher elsewhere	0	1
Exch. with H.K. Coale, Chicago, Ill., 24 Apr 1907	voucher elsewhere	0	1
Exch. with H.K. Coale, Dec 4, 1913	voucher elsewhere	0	1
Exch. with H.K. Coale, Feb 18, '07	voucher elsewhere	0	1
Exch. with H.K. Coale, Feb 18, '07; Given in excha	voucher elsewhere	0	1
Exch. with H.K. Coale, Feb. 1910	voucher elsewhere	0	1
Exch. with H.K. Coale, Illinois, 4 Dec 1924	voucher elsewhere	0	1
Exch. with H.K. Coale, Illinois, 4 Dec 1925	voucher elsewhere	0	1
Exch. with H.K. Coale, Jan 1920	voucher elsewhere	0	1
Exch. with H.K. Coale, Jan. 1920	voucher elsewhere	0	1
Exch. with H.K. Coale-Dec 4, 1924	voucher elsewhere	0	1
Exch. with H.K. Coale-Illinois-Dec 4, 1924	voucher elsewhere	0	1
Exch. with H.K. Coals, Jan 1920	voucher elsewhere	0	1
Exch. with Im.Col.Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp Col.Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp Col.Agr. Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp ConAgr. Japan, Dec,09	voucher elsewhere	0	1
Exch. with Imp,Col.Agr. Japan Dec'09	voucher elsewhere	0	1
Exch. with Imp,Col.Agr.Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp. Col Agr. Japan, Oct 1908	voucher elsewhere	0	1
Exch. with Imp. Col. Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp. Col. Agr. Japan, Dec 1909	voucher elsewhere	0	1
Exch. with Imp. Col. Agr. Japan, Oct 1908	voucher elsewhere	0	1
Exch. with Imp. Col. Agr. Japan; Dec 1909	voucher elsewhere	0	1
Exch. with Imp. Col. Agr., Japan, Dec '09	voucher elsewhere	0	1
Exch. with Imp. Col. Agr., Japan, Oct. '08	voucher elsewhere	0	1
Exch. with Imp. Col.Agr, Japan, Dec '09	voucher elsewhere	0	1
Exch. with Imp. Col.Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp. Col.Agr. Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp. Col.Agr., Japan Dec. '09	voucher elsewhere	0	1
Exch. with Imp. Col.Agr., Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp. Coll. Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Cal. Agr.-Japan Dec '09	voucher elsewhere	0	1
Exch. with Imp.Co..Agr. Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp.Co.Agr. Japan Oct '08	voucher elsewhere	0	1
Exch. with Imp.Co.Agr., Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col. Agr. Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan  Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Dec '08	voucher elsewhere	0	1
Exch. with Imp.col.Agr. Japan Dec '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Dec. '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Dec.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Dec'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Oct. '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan Oct'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Dec '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Dec.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Dec'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Oct. '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Oct.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan, Oct'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan,Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan,Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Japan'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr. Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Dec '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Dec.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Dec.'9	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Oct. '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan Oct'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Dec '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Dec. '09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Oct '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Oct. '08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr., Japan, Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr.,Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Col.Agr.Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr.Japan Oct'08	voucher elsewhere	0	1
Exch. with Imp.Col.Agr.m Japan, Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Coll.Agr. Japan Dec.'09	voucher elsewhere	0	1
Exch. with Imp.Coll.Agr. Japan Dec'09	voucher elsewhere	0	1
Exch. with Imp.Coll.Agr. Japan Oct.'08	voucher elsewhere	0	1
Exch. with Imp.Coll.Agr. Japan, Dec '09	voucher elsewhere	0	1
Exch. with Imp.Coll.Agr. Japan, Dec.'09	voucher elsewhere	0	1
Exch. with ImpCol.Age. Japan Dec.'09	voucher elsewhere	0	1
Exch. with John E. Thayer, Lancaster, Mass., 25 Ju	voucher elsewhere	0	1
Exch. with Kny - S. Co., Mar 1902	voucher elsewhere	0	1
Exch. with L.A. Fuertes, 1906	voucher elsewhere	0	1
Exch. with Louis Molnar Sept. 10,1890	voucher elsewhere	0	1
Exch. with Louis Molnar Sept.Oct '09 [illeg.]	voucher elsewhere	0	1
Exch. with Louis Molnar, Sept 10,1890	voucher elsewhere	0	1
Exch. with M.C.Z July 1928	voucher elsewhere	0	1
Exch. with M.C.Z, Jul 1928	voucher elsewhere	0	1
Exch. with M.C.Z.	voucher elsewhere	0	1
Exch. with M.C.Z. 1928	voucher elsewhere	0	1
Exch. with M.C.Z. Julu 1928	voucher elsewhere	0	1
Exch. with M.C.Z. July 1928	voucher elsewhere	0	1
Exch. with M.C.Z. July, 1928	voucher elsewhere	0	1
Exch. with M.C.Z. July1928	voucher elsewhere	0	1
Exch. with M.C.Z., Jul 1928	voucher elsewhere	0	1
Exch. with M.C.Z., July	voucher elsewhere	0	1
Exch. with M.C.Z., July 1928	voucher elsewhere	0	1
Exch. with Meinerzhagen June 1924	voucher elsewhere	0	1
Exch. with Mr. A.C. O'Connor, 14 Jun 1929	voucher elsewhere	0	1
Exch. with Mr. E.J. Seton, May 24, 1928	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton May 24, 1928	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton May 24,1928	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton, 24 May 1928	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton, May 24, 1908	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton, May 24, 1928	voucher elsewhere	0	1
Exch. with Mr. E.T. Seton, May 24,1928	voucher elsewhere	0	1
Exch. with Mr. E.T.Seton, May 24, 1928	voucher elsewhere	0	1
Exch. with Mr. E.T.Seton, May 24,1928	voucher elsewhere	0	1
Exch. with Mr.E.T. Seton May 24,1928	voucher elsewhere	0	1
Exch. with Munich Mus. Oct. 1909	voucher elsewhere	0	1
Exch. with Munich Mus. Oct.1909	voucher elsewhere	0	1
Exch. with Munich, Oct. 1909	voucher elsewhere	0	1
Exch. with Mus of Comp Zoology, Dec 1922	voucher elsewhere	0	1
Exch. with Mus. Comp. Zoology, Dec 1922	voucher elsewhere	0	1
Exch. with Mus. oc Comp. Zoology, Dec 1922	voucher elsewhere	0	1
Exch. with Mus. of Comp. Zoo., Dec 1922	voucher elsewhere	0	1
Exch. with Mus. of Comp. Zoology, Dec 1922	voucher elsewhere	0	1
Exch. with Mus. Paulista Brazil, March 1917	voucher elsewhere	0	1
Exch. with Museo Nacional de Historia Natural, Bue	voucher elsewhere	0	1
Exch. with Museo Paulista, Brazil March 1917	voucher elsewhere	0	1
Exch. with O. Bangs May 17,'05	voucher elsewhere	0	1
Exch. with O. Bangs Sept 1918	voucher elsewhere	0	1
Exch. with O. Bangs Sept 20 1918	voucher elsewhere	0	1
Exch. with O. Bangs Sept 20, 1818	voucher elsewhere	0	1
Exch. with O. Bangs Sept 20, 1918	voucher elsewhere	0	1
Exch. with O. Bangs Sept 20, 1919	voucher elsewhere	0	1
Exch. with O. Bangs Sept. 20, 1918	voucher elsewhere	0	1
Exch. with O. Bangs, 16 May 1905	voucher elsewhere	0	1
Exch. with O. Bangs, 20 Sep 1918	voucher elsewhere	0	1
Exch. with O. Bangs, May 16,'05	voucher elsewhere	0	1
Exch. with O. Bangs, Sept 1918	voucher elsewhere	0	1
