preparations,reps
G. W. Shugart 2252,1
G. W. Shugart 1888,1
G. W. Shugart 1546,1
G. W. Shugart 1587,1
R. D. Droker 675,1
R. D. Droker B-39,1
J. Poe & G. Shugart,1
E. J. Booth 695,1
M. Hukari 089,1
D. R. Paulson 1983,1
Z. V. McMannama 421,1
Z. V. McMannama 064,1
C. D. Spaw 4930,1
G. W. Shugart 1550,1
RNP 086,1
R. D. Droker 441,1
M. Hukari 025,1
Z. V. McMannama 365,1
D. R. Paulson 2049,1
P. Rasmussen 060,1
R. D. Droker 1190,1
R. D. Droker 559,1
G. W. Shugart 2792,1
R. D. Droker 749,1
E. R. Booth 0244,1
R. D. Droker 072,1
G. W. Shugart 1049,1
G. W. Shugart 1013,1
T. Fleming,1
R. D. Droker 334,1
RNP 055,1
J. Brooks 01,1
RNP 016,1
RNP 098,1
C. D. Spaw 3991,1
RNP 080,1
M. Hukari 117,1
R. D. Droker 470,1
S. Baker 019,1
R. D. Droker 887,1
M. Hukari 039,1
R. D. Droker 414,1
M. Hukari 01,1
G. W. Shugart 1633,1
R. D. Droker 125,1
R. D. Droker 386,1
R. D. Droker 854,1
G. W. Shugart 1982,1
Z. V. McMannama 039,1
R. D. Droker 169,1
B. K. Schmidt 1117,1
G. W. Shugart 1700,1
G. W. Shugart 1950,1
G. W. Shugart 2187,1
D. Acheson,1
G. W. Shugart 1584,1
E. J. Booth 005,1
RNP 113,1
Z. V. McMannama 444,1
J. Healey 017,1
R. D. Droker 871,1
D. R. Paulson 2204,1
G. W. Shugart 1883,1
G. W. Shugart 2316,1
Z. V. McMannama 126,1
Z. V. McMannama 211,1
R. D. Droker B-30,1
Z. V. McMannama 128,1
G. W. Shugart 1989,1
R. D. Droker 1095,1
G. A. Alcorn,1
D. R. Paulson 2071,1
G. W. Shugart 2872,1
Z. V. McMannama 557,1
R. D. Droker 906,1
Z. V. McMannama 420,1
Z. V. McMannama 394,1
R. D. Droker 1093,1
Z. V. McMannama 117,1
G. W. Shugart 2979,1
G. W. Shugart 1688,1
G. W. Shugart 2328,1
G. W. Shugart 2821,1
G. W. Shugart 2815,1
G. W. Shugart 2945,1
J. Healey 024/G. Shugart,1
G. W. Shugart 3101,1
B. K. Schmidt 1125,1
G. W. Shugart 2879,1
G. W. Shugart 2395,1
E. J. Booth 751,1
J. B. Hurley 0711,1
R. D. Droker 818,1
R. D. Droker 612,1
M. Hukari 032,1
R. D. Droker 611,1
R. D. Droker 661,1
Z. V. McMannama 233,1
R. D. Droker 117,1
R. D. Droker 700,1
R. D. Droker 1258,1
R. D. Droker 1384,1
R. D. Droker 1307,1
RNP 145,1
D. R. Paulson 2055,1
Z. V. McMannama 320,1
D. R. Paulson 1994,1
R. D. Droker 396,1
M. Amaral,1
M. Hukari 065,1
R. D. Droker 573,1
G. W. Shugart 2335,1
R. D. Droker 878,1
R. D. Droker 1092,1
E. R. Booth 0093,1
G. W. Shugart 2265,1
R. D. Droker 456,1
G. W. Shugart 1509,1
G. W. Shugart 2091,1
G. W. Shugart 1543,1
B. K. Schmidt 818,1
G. W. Shugart 2505,1
G. W. Shugart 1127,1
Z. V. McMannama 419,1
A. Ruchty 005 & R.D. Droker,1
R. D. Droker B-19,1
R. D. Droker 1158,1
B. K. Schmidt 2233,1
G. W. Shugart 2191,1
R. D. Droker 1078,1
R. D. Droker 527,1
R. D. Droker 580,1
E. J. Booth 755,1
Z. V. McMannama 095,1
R. D. Droker 1390,1
R.D. Droker 367,1
D. R. Paulson 2051,1
R. D. Droker 366,1
Z. V. McMannama 368,1
Z. V. McMannama 085,1
Z. V. McMannama 173,1
G. W. Shugart 2205,1
G. W. Shugart 1174,1
D. R. Paulson 1984,1
E. J. Booth 333,1
B. K. Schmidt 814,1
G. W. Shugart 2990,1
G. W. Shugart 3129,1
G. W. Shugart 2697,1
D. R. Paulson 2200,1
Z. V. McMannama 543,1
G. W. Shugart 1552,1
Z. V. McMannama 545,1
G. W. Shugart 1505,1
G. W. Shugart 1077,1
Z. V. McMannama 159,1
G. W. Shugart 3096,1
G. W. Shugart 2943,1
G. W. Shugart 2842,1
G. W. Shugart 2977,1
G. W. Shugart 2696,1
G. W. Shugart 2851,1
R. D. Droker B1,1
B. K. Schmidt 056,1
B. K. Schmidt 1141,1
R. D. Droker 699,1
R. D. Droker 521,1
R.D. Droker 231,1
G. W. Shugart 3052,1
R. D. Droker 179,1
R. D. Droker 1281,1
R. D. Droker 410,1
R. D. Droker 824,1
G. W. Shugart 2030,1
R. D. Droker 1337,1
R. D. Droker 115,1
R. D. Droker 643,1
R. D. Droker 1319,1
D. R. Paulson 2037,1
R. D. Droker 448,1
B. K. Schmidt 1153,1
B. K. Schmidt 1408,1
R. D. Droker 951,1
R. D. Droker 838,1
E. R. Booth 0082,1
G. W. Shugart 2813,1
G. W. Shugart 2820,1
R. D. Droker 613,1
G. W. Shugart 2694,1
R. D. Droker 075,1
G. W. Shugart 2840,1
Z. V. McMannama 492,1
Z. V. McMannama 428,1
Z. V. McMannama 430,1
G. W. Shugart 3143,1
Z. V. McMannama 540,1
R.D. Droker 261,1
G. W. Shugart 2894,1
G. W. Shugart 2774,1
G. W. Shugart 2911,1
D. Takahashi 30,1
G. W. Shugart 2998,1
R. D. Droker 998,1
Z. V. McMannama 407,1
G. W. Shugart 1705,1
M. W. Moon (RNG 05),1
S. Baker (RNG 3),1
G. W. Shugart 1704,1
Z. V. McMannama 507,1
Z. V. McMannama 510,1
G. W. Shugart 1074,1
D. R. Paulson 1976,1
G. W. Shugart 2304,1
G. W. Shugart 2956,1
D. R. Paulson 2006,1
G. W. Shugart 1884,1
D. K. Seavy 552,1
J. Brooks 005,1
R. D. Droker 322,1
M. Hukari 133,1
Z. V. McMannama 577,1
D. R. Paulson 2073,1
G. W. Shugart 2706,1
G. W. Shugart 2026,1
Z. V. McMannama 553,1
B. K. Schmidt 058,1
B. K. Schmidt 028,1
B. K. Schmidt 030,1
D. R. Paulson 1957,1
G. W. Shugart 1570,1
R. D. Droker 1127,1
J. Thompson,1
G. W. Shugart 2132,1
G. W. Shugart 3262,1
G. W. Shugart 3249,1
C. E. Craighead 894,1
G. W. Shugart 3205,1
G. W. Shugart 3066,1
G. W. Shugart 2948,1
G. W. Shugart 2549,1
G. W. Shugart 2501,1
A. Ruchty 011,1
tissue (unknown); other (unknown),1
skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen); tissue (ethanol) sample,1
tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry); stomach content (ethanol); tissue (frozen: vapor phase nitrogen),1
spread wing (dry); tissue (frozen: vapor phase nitrogen); partial skeleton (dry); partial skin (dry); tissue (frozen: vapor phase nitrogen) sample,1
other (unknown),1
skin (dry); other (95% ethanol); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); stomach content (95% ethanol); tissue (frozen),1
"skeletonpart(s) ; vertebra, ribs, sternum",1
"study skin (ovary, crop and crop contents on alc.)",1
feet and feathers,1
mummified specimen,1
study skin (ovary and crop contents on alc.),1
study skin (penis on alc.),1
"study skin (tissue, testes, penis on alc.) and postcranial skeleton",1
"head, wing, leg",1
skull and leg,1
skin (dry); partial skeleton (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen) sample; tissue (frozen) sample,1
skeleton; partial skeleton,1
tissue (frozen); flat skin; spread wing,1
tissue (frozen); spread wing; syrinx (ethanol); study skin,1
tissue (frozen); tissue (frozen) sample; spread wing; partial skeleton; study skin,1
nest; whole organism (ethanol),1
tissue (frozen); brain (RNAlater); heart (RNAlater); study skin; muscle (RNAlater); brain (RNAlater); kidney (RNAlater),1
"tissue, feathers, skel",1
tissue (frozen); tissue (frozen) sample; syrinx (ethanol); study skin,1
tissue (frozen); study skin; skeleton,1
tissue (frozen); tissue (frozen); kidney (RNAlater); eye (RNAlater); study skin; heart (RNAlater); muscle (RNAlater); liver (RNAlater); brain (RNAlater),1
egg shell (dry); spread wing,1
tissue (95% ethanol); tissue (95% ethanol),1
tissue (frozen); spread wing; unknown; study skin,1
tissue (frozen); tissue (frozen); tissue (frozen) sample; study skin,1
tissue (frozen); skeleton; whole organism (ethanol),1
tissue (frozen); tissue (frozen); flat skin,1
skin; [Flat skin],1
Skin (Wings only (5 in Bag)) (Wings only (5 in Bag)) (Wings only (5 in Bag)),1
"Skeleton, Leg bones, Skin, Leg bones, Skin, Toe pad sample, Skin, Leg bones, Skin, Toe pad sample",1
"Tissue, Skeleton, Body (no head), Skeleton, Body (no head)",1
"Skeleton, Skin (Schmoo), Tissue, Skin (Schmoo), Tissue",1
"Tissue, Heart, liver, muscle, Skeleton, Skin (Schmoo), Skeleton, Skin (Schmoo), Heart, liver, muscle, Heart, liver, muscle",1
skin | partial skeleton | feathers,1
skeleton | wing | tail feathers,1
"Partial Skeleton, missing Skull",1
TIBIOTARSUS DISTAL FRAGMENT,1
"HUMERUS PROX & DIST, MANDIBLE POST",1
PH OF MANUS,1
CORACOID PROX L,1
L humeral coracoid.,1
"Carpometacarpus, metacarpal III missing.",1
Head of R humerus,1
FEMUR PROX TWO-THIRDS R,1
SKULL POST HALF,1
TARSOMETATARSUS SHAFT R,1
"Humerus, ends damaged.",1
Proximal end L radius.,1
"Distal portion R tarsometatarsus, medial condyle missing.",1
Distal one-third L tibiotarsus.,1
"Sternum, missing anterio-ventral keel and posterior end.",1
TARSOMETATARSUS PORT L,1
"L coracoid, portion dorsal end missing.",1
ULNA PROX 7/8,1
TIBIOTARSUS PROX FOUR-FIFTHS,1
Right coracoid.,1
Braincase.,1
Distal L ulna.,1
Distal end R tarsometatarsus.,1
Proximal R tibiotarsus.,1
TARSOMETATARSIS ?L,1
ULNA PROX FIVE/SIXTHS,1
Proximal one-third L radius.,1
right proximal tarsometatarsi,1
R ACETABULAR REGION.,1
SEGMENT RADIUS.,1
SEGMENT SYNSACRUM (CA. THIRD AND FOURTH VERTEBRAE FROM DISTAL END).,1
ANTERIOR OF DISTAL HALF L TIBIOTARSUS.,1
DISTAL HALF R RADIUS.,1
DISTAL QUARTER R ULNA.,1
"SEGMENT R SIDE STERNUM, INCLUDING BASE OF PROCESS.",1
"L PROXIMAL FEMUR, AD.",1
BASE R CORACOID.,1
R ACETABULAR AREA.,1
"DISTAL SHAFT L TARSOMETATARSUS, LACKING DISTAL END.",1
DISTAL THIRD R TARSOMETATARSUS.,1
DISTAL HALF DIAPHYSIS R FEMUR.,1
POSTERIOR NOTARIUM.,1
DISTAL HUMERUS.,1
"R FEMUR, NO HEAD.  IMM.",1
Distal portion shaft tarsometatarsus.,1
L humerus except head.,1
ULNA EXCEPT DIST END L,1
"L wing phalanx I, digit II.",1
"L humerus, missing proximal end.",1
Proximal three-quarters R tibiotarsus.,1
Distal two-thirds radius.,1
Proximal and distal R coracoid.,1
Proximal end L mandible.,1
SCAPULA ANT L,1
L half furculum.,1
Proximal fifth L radius.,1
Distal three-quarters R ulna and fragments.,1
Proximal half femur.,1
"Distal half humerus, lacking distal end.",1
ULNA CENTRAL,1
Distal tip femur.,1
Partial distal half L coracoid.,1
Proximal four-fifths R humerus.,1
"R tarsometatarsus, broken and rehealed.",1
Proximal R coracoid.,1
ULNA SHAFT L,1
Skin: Partial; Skeleton: Partial; Alcoholic: Partial,1
Stomach Contents - 1; Skin; Frozen Tissue - 1,1
Frozen Tissue - 1; Nest - 1,1
Liver;Heart/Kidney;skeleton,1
other | tissue,1
Skeleton & Tail,1
round/tissue/skel,1
Skin Study; Skeleton Postcran,1
Skin Wing; Skeleton Partial,1
TISSUE; PARASITES; Skeleton Complete,1
TISSUE; Fluid Post-cran in ETOH; swab,1
Feathers; Skin Study; TISSUE,1
Skin Wing; Skeleton Partial; TISSUE,1
Skeleton Postcran,1
TISSUE; Skin Study; Fluid Stomach Contents,1
Skin Flat; toepad,1
Skin Study; TISSUE; Fluid Post-cran in ETOH; Fluid Stomach In Alc,1
Fluid Stomach Parasite; Skeleton Partial,1
Skin Study; Skin Wing,1
Skeleton Complete; Skin Sample,1
TISSUE; PARASITES; Skin Study,1
Fluid Alcohol; Skeleton Partial; TISSUE,1
"postcranial skeleton (sternum only) | skin (round) | muscle, liver, heart, kidney",1
postcranial skeleton (complete) | skin (tail) | skull (complete) | one wing,1
"postcranial skeleton (complete) | skull (complete) | muscle, liver, heart, kidney | one wing",1
"skin (round) | muscle, liver, brain, heart, kidney, gonads",1
"muscle, liver, heart",1
teixit muscular (etílic 70 amb glicerina) | tissue,1
"miscellaneous fragments, ulna",1
"egg, skin, nest",1
default - 128,1
default - 20,1
Skin: Head,1
"Skeleton, Tail",1
"Tail, Feet",1
"Skeleton, Skin",1
"Skeleton, Spread Wing, Tail, Head",1
Tarso-metatarsus (right) + phalanges + vertebrae + skin (piece),1
Cast of foot (left),1
Coracoid (right),1
Skull + skeleton,1
Ulnae (2),1
Tibiotarsus (2),1
skin; wing; gut contents; frozen: heart; liver; muscle,1
skin; partial skeleton; frozen: heart; muscle,1
wing - 1; No data - 1,1
Sternum + furcula + coracoid (right) + scapula (right),1
Mould of coracoid,1
"Skin (head only, un-mounted)",1
Genitalia,1
Skin(1981 0211)/Skel(1981 0216),1
Feet (dried),1
skin (dry); partial skeleton (dry); tissue (frozen: vapor phase nitrogen); stomach content (95% ethanol); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen),1
spread wing (dry); partial skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen),1
partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil); partial skeleton (subfossil),1
"Femur (right, part)",1
"Olfactory organ, dissected (in spirit)",1
Cast of atlas,1
"Wing, dissected (in spirit)",1
Cast of ulna,1
skin; wing; partial skeleton (muscle only),1
"egg; skin, study",1
egg (eggshell fragments),1
"nest (crushed, many duck? feathers)",1
"egg (intact, unmarked; parasitized by Cuculus canorus YPM 136253)",1
egg (intact; host: Prunella modularis YPM 136240),1
egg (only one intact),1
70% alc. (tail missing); tissue frozen,1
tissue frozen (skeleton voucher at KUNHM),1
"tissue frozen (skin voucher at Academy of Natural Sciences, Philadelphia (ANSP 191008))",1
skeleton; tail; tissue frozen; tissue frozen; wing,1
"skin, mounted (Standing, wings spread)",1
"skin, mounted (perched, tail off)",1
"skin, mounted (wings outstretched)",1
"egg (broken, old and fragile)",1
"egg (repaired, not located 1/2008)",1
egg (not sure if the 4 eggs belong to the same clutch),1
cleared & stained (embryo1 week),1
"skin, mounted (Teal, unidentified)",1
"skin, round; cast (of plaster, Brain Casts cabinet, drawer 3)",1
skeleton; wing; syrinx,1
skeleton (missing hallux); tissue frozen,1
skeleton (plastic orange band on right leg); tissue frozen,1
skeleton (yellow band on right leg); skin in EtOH (facial skin sample F 78); tissue frozen,1
"egg (broken, 1 repaired)",1
"egg (individual eggs, intact)",1
"skin, round; skeleton (incomplete); syrinx; reproductive organs in formalin (Patricia Brennan research collection); tissue frozen",1
skeleton (tissue sample not taken),1
"skeleton; skin, round; tissue frozen",1
egg (host: Calcarius ornatus YPM 136882 ;intact),1
egg (parasitized by Molothrus ater YPM 136641; intact),1
egg (parasitized by Molothrus ater YPM 142329; one missing # 10596),1
egg (host: Dendroica fusca YPM 131582),1
egg (host: Vireo griseus YPM 134125; intact),1
egg (3: irregular holes),1
"egg (1, intact [runt])",1
"egg (one w/ damage, but intact)",1
"egg (2 broken, not a clutch)",1
"egg (1 broken, single eggs)",1
"egg (1 broken, single eggs, all w/ irregular holes)",1
"skin, mounted (mount relaxed)",1
egg (4: 3 broken (1 is fragment only)),1
"egg (intact, host: Icterus cucullatus)",1
egg (parasitized by Molothrus ater YPM 136791; intact),1
egg (all with damage),1
tissue frozen (skin and wing vocher at USNM),1
"egg (2 intact, 1 broken of set of 7)",1
egg (host: Hylocichla mustelina),1
egg (host: Seiurus aurocapilla YPM 142314),1
"egg (1 broken, 1 is just fragments, 2 intact)",1
egg (host: Calcarius ornatus YPM 136870; intact),1
"skin, round (Skin voucher at Birdcraft Museum)",1
egg (host: Dendroica pensylvanica YPM 142369),1
egg (host: Catharus fuscescens YPM 134650 intact),1
"skin, round; tissue frozen (ESC.076.ORNBOX074.C009)",1
skeleton (L leg broken); tissue frozen,1
egg (1 with extensive hole),1
"egg (intact, one runt)",1
skeleton (broken leg and wing); tissue frozen,1
"egg (2 broken, all are very dirty)",1
egg (parasitized by Molothrus ater YPM 142303),1
egg (host: Agelaius phoeniceus; egg not collected),1
"egg (2 eggs with holes, made by crows)",1
egg (host: Seiurus aurocapilla YPM 142312),1
egg (4: 2 are fragments only),1
egg (host: Vermivora cyanoptera YPM 142278),1
tail (brown phase),1
egg (5: see notes),1
"egg (intact, all stained)",1
"egg (3 intact, plus two fragments)",1
egg (host: Passerina cyanea YPM 136772; intact),1
"egg (1 cracked, 4 intact)",1
egg (host by Eremophila alpestris YPM 136185; intact),1
egg (parasitized by Molothrus ater YPM 136688; intact),1
"egg (2 broken plus fragments, from at least one other egg)",1
egg (parasitized by Molothrus ater YPM 136780; intact),1
egg (parasitized by Molothrus ater YPM 142374),1
"skin, round (exchanged to UM-MNH in 1976)",1
"skin, round (Exchanged to U.C.L.A. Dept. of Zoology, Los Angeles, C in 1952A)",1
"egg (intact, probably not a clutch)",1
"egg (1 cracked, 2 with large hole in one end)",1
egg (all damaged),1
"skin, round (skin not found on 15 Feb. 2012)",1
egg (9th egg deposited in Crete Natural History Museum (MI 502)),1
skeleton; tissue frozen; wing (tail also),1
"tissue frozen (skeleton and wing voucher inYPCC-6804 US National Museum of Natural History, Smithsonian;)",1
tissue frozen (skin and wing voucher at USNM (640812)),1
tissue frozen (skin and wing voucher at USNM (637390)),1
"tissue frozen (skin and wing voucher inYPCC-6757 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6809 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher at Museum of Natural History of Crete, Irakleio, Greece)",1
"tissue frozen (skin and wing voucher inYPCC-6797 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen; tissue frozen (skin and wing voucher at National Museum of Natural History, Smithsonian Institution, Washington DC)",1
"tissue frozen (skin and wing voucher inYPCC-6832 US National Museum of Natural History, Smithsonian;)",1
"skin, round (Exchanged to FMNH in 1951)",1
"skin, round (Exchanged with Florida State Museum 1/11/62)",1
"skin, round (Exchanged to Florida State Museum)",1
"skin, round (Exchanged to Florida State M in1962)",1
tissue frozen (voucher pickle at National Zoological Collection Suriname); tissue frozen (voucher pickle at National Zoological Collection Suriname),1
"skin, round; syrinx; tissue frozen; wing",1
"skin, round (Exchanged in USNM in 1963.)",1
"skin, round (Exchanged to USNM in 1957)",1
BONE; PES; PHALANX ONE; INCOMPLETE,1
Bone; manus or pes; phalanx; distal part,1
Bone; manus or pes; phalanx; ungual,1
Bone; tibiotarsus; complete; left,1
BONE; CARPOMETACARPUS; INCOMPLETE RIGHT,1
BONE; TARSOMETATARSUS; COMPLETE;,1
BONE; TIBIOTARSUS; DISTAL PART; COMPLETE; LEFT,1
Skull partial; quadrate; complete; left,1
Bone; coracoid; incomplete; right; &,1
Skull partial; premaxilla; complete,1
Mandible partial; symphysis; incomplete,1
BONE; SCAPULA; INCOMPLETE,1
BONE; HUMERUS; SHAFT; PROXIMAL PART; INCOMPLETE; RIGHT,1
Bone; vertebra; cervical; complete,1
partial distal left humerus,1
tarsometatarsus shaft,1
proximal end of coracoid,1
partial furcula,1
"SKEL+TISSUE | TWO TUBES; PECTORAL ONLY; HEART, LIVER GONE",1
"SKEL+ STUDY+WING | TWO TUBES, MUSCLE ONLY",1
"STUDY+WING | TWO TUBES; PECTORAL, LIVER, HEARTTWO TUBES; PECTORAL, LIVER, HEART",1
"SKEL+STUDY+WING | THREE TUBS: PECTORAL, LIVER, HEART",1
"SKIN | TWO TUBES; PECTORAL, LIVER, HEART",1
STUDY+WING | tissues,1
L CORACOID; L TARSOMETATARSUS; R TARSOMETATARSUS; PROXIMAL L HUMERUS; DISTAL R FEMUR,1
2 HUMERUS; 2 CARPOMETACARPUS; 1 TARSOMETATARSUS; ALL INCOMPLETE,1
L CARPOMETACARPAL; L PROXIMAL CARPOMETACARPAL; R PROXIMAL TARSOMETATARSAL; R DISTAL TARSOMETATARSAL,1
"PARTIAL SKELETON, EXCELLENT SKULL, WING FRAGS, LEG FRAGS; IN A BLOCK & PACKAGES",1
"Skeleton (Skeleton (missing left wing)) (Skeleton (missing left wing)), Tissue",1
"Tissue (DMSO/EDTA Buffer) (DMSO/EDTA Buffer), Skin, Skeleton (Partial skeleton)",1
"Tissue (DMSO/EDTA Buffer) (DMSO/EDTA Buffer), Skeleton (DMSO/EDTA Buffer), Skeleton",1
"Skin, Skeleton (Partial skeleton), Tissue, Heart, liver, Tissue, Heart, liver, Skeleton (Partial skeleton)",1
"Skeleton, Skin (Schmoo), Tissue, Heart, other, Skin (Schmoo), Tissue, Heart, other",1
"Tissue, Heart, other, Skeleton, Heart, other, Heart, other, Skeleton",1
"Skin (Schmoo), Tissue, Skeleton (Schmoo), Skeleton, Tissue (Schmoo)",1
Skin (Skin (wings)) (Skin (wings)),1
skin; Embryo - in alcohol,1
skin; no moult.,1
"Skin (Spread wing) (Spread wing), Tissue (100% ethanol), Skeleton",1
skin; wing & head only (found dead),1
"Skeleton, Skin (Flat skin)",1
Humerus (distal),1
Cast of the Type specimen,1
Dissection (tongue),1
Cast of metatarsus,1
Cast of humerus,1
Def. näbb,1
Skin: Whole; Egg(s),1
Mandible; complete,1
"skull; tissue (frozen); liver (frozen); skeleton, postcranial",1
skin; tissue (frozen); tissue (frozen) sample; tissue (frozen) sample; tissue (frozen) sample; stomach (ethanol),1
"skin; skin sample; heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample",1
tissue (frozen); body mount,1
"skeleton; liver (frozen); skin, flat",1
"wing, flat (dry); muscle (frozen); skeleton",1
skin; skin sample; liver (frozen),1
"skin, flat; skeleton; heart, kidney (frozen); liver (frozen); muscle (frozen); heart (frozen)",1
"skin, flat; heart, liver, muscle (frozen); skeleton",1
"skin, shmoo; wing, spread (dry); skeleton; heart, liver, muscle (frozen)",1
"skull; skeleton, postcranial; heart, muscle (frozen)",1
"skull; skeleton, postcranial; feather",1
"heart, liver (frozen); skeleton, postcranial; heart, liver (frozen)",1
liver (frozen); skin (frozen); liver (frozen) sample,1
"skin; ectoparasite (95% ethanol); heart, liver, muscle (frozen); stomach",1
"skull; skeleton, postcranial; heart, liver (frozen); heart, liver (frozen) sample",1
"heart, muscle (frozen); skeleton; heart, muscle (frozen) sample",1
"skin; skeleton, partial; muscle (RNAlater); muscle (RNAlater) sample",1
"skin; blood (slide smear); blood (frozen); tissue (RNAlater); skeleton, partial; heart, liver, muscle (frozen)",1
"skin; liver, muscle (frozen); heart; skeleton, partial; blood (slide smear); lung (frozen); tissue (RNAlater); blood (frozen); lung (frozen) sample; liver, muscle (frozen) sample",1
"heart, liver, muscle (frozen); skeleton, partial; tissue (RNAlater)",1
"skin; muscle (RNAlater); blood (flash-frozen); blood (slide smear); heart, liver, muscle (frozen); heart, liver, muscle (frozen) sample; heart, liver, muscle (frozen) sample",1
"heart, liver, muscle (frozen); blood (flash-frozen); skeleton, partial; blood (slide smear); muscle (RNAlater); heart, liver, muscle (frozen) sample; heart, liver, muscle (frozen) sample",1
"skin; tissue (frozen); tissue (frozen) sample; lung (frozen); blood (slide smear); heart; skeleton, partial; heart, liver, muscle (frozen); blood (flash-frozen); muscle (RNAlater)",1
"skin; lung (frozen); muscle (RNAlater); skeleton, partial; heart, liver, muscle (frozen)",1
"skeleton, partial; blood (slide smear); brain (frozen); muscle (RNAlater); blood (flash-frozen); heart, liver, muscle (frozen)",1
"skin; eye (frozen); heart, liver, muscle (frozen); skeleton, partial; blood (flash-frozen); muscle (RNAlater); heart, liver, muscle (frozen) sample",1
"skin; blood (slide smear); skeleton, partial; heart, liver, muscle (frozen); blood (frozen); tissue (RNAlater); heart, liver, muscle (frozen) sample; heart, liver, muscle (frozen) sample",1
"heart, liver, muscle (frozen); muscle (RNAlater); blood (slide smear); skeleton, partial; blood (flash-frozen)",1
"skin; skeleton, partial; heart, liver, muscle (frozen); muscle (RNAlater); eye (frozen); heart, liver, muscle (frozen) sample",1
"wing, flat (dry); skeleton, postcranial; muscle (frozen)",1
tissue (frozen); blood (flash-frozen); blood (slide smear); skeleton,1
"skin, study; skeleton; muscle (frozen); muscle (frozen) sample",1
tissue (95% ethanol); skeleton; tissue (95% ethanol) sample,1
"skin, study; stomach (95% ethanol); muscle (frozen); skeleton",1
skin; tissue (frozen); tissue (frozen) sample; skeleton; stomach (95% ethanol); blood (slide smear); ectoparasite (95% ethanol),1
"skin; heart, liver, muscle (frozen); spleen (frozen); skeleton; liver",1
"blood (slide smear); heart, liver, muscle (frozen); skeleton",1
"skin; skeleton, partial; stomach content; heart, muscle (frozen)",1
"skin; heart, liver, muscle (frozen); ectoparasite (frozen); stomach; skeleton",1
skin; tissue (frozen); ectoparasite (95% ethanol); stomach content; skeleton,1
skin; tissue (frozen); tissue (frozen) sample; stomach content (95% ethanol); eye (frozen),1
skin; tissue (frozen); tissue (frozen) sample; stomach (95% ethanol); eye (frozen); eye (frozen) sample,1
"tissue (frozen); wing, spread (dry); stomach (95% ethanol); skeleton",1
"skin; eye (frozen); heart, liver, muscle (frozen)",1
"skeleton, partial; feather; muscle (frozen)",1
liver (frozen); heart (frozen); wing; ectoparasite (70% ethanol); muscle (frozen); skeleton,1
muscle (frozen); whole organism (frozen); heart (frozen),1
"skeleton, postcranial; skin, study; liver (frozen); heart (frozen)",1
"skeleton; feather; muscle (frozen); heart, kidney (frozen); liver (frozen)",1
"skin, study; skeleton; muscle (frozen); heart (frozen); liver (frozen); endoparasite (ethanol)",1
"endoparasite (ethanol); skin, study; muscle (frozen); liver (frozen); heart (frozen); skeleton",1
"liver (frozen); heart, kidney (frozen); muscle (frozen); wing, spread (dry); skeleton",1
"muscle (frozen); skeleton, postcranial; kidney (frozen); liver (frozen)",1
"skeleton, postcranial; muscle (frozen); ectoparasite (ethanol); heart, kidney (frozen); liver (frozen)",1
"skull; muscle (frozen); wing (dry); wing (dry); liver (frozen); heart, kidney (frozen)",1
"liver (frozen); muscle (frozen); kidney, liver (frozen); skeleton",1
"skeleton; muscle (frozen); heart, liver (frozen); heart, liver (frozen) sample; muscle (frozen) sample",1
"skin, study; skeleton, postcranial; muscle (frozen); heart (frozen); liver (frozen)",1
"heart (frozen); muscle (frozen); liver (frozen); skeleton, postcranial; kidney (frozen); skin, study",1
"skeleton, partial; muscle (frozen); skin, study; liver (frozen); heart (frozen)",1
