verbatimPreparations	standardPreparations	standard	checked
L MAXILLA FRAG W P3-M1,MAXILLA FRAG,DENTARY FRAG W P		0	0
L MAXILLA FRAG W P3-M2		0	0
L MAXILLA FRAG W P3-M3		0	0
l maxilla frag w P3-M3 (M2-M3 obscured by matrix)		0	0
L MAXILLA FRAG W P3-M3+DENTARY FRAG		0	0
l maxilla frag w P3-P4		0	0
L MAXILLA FRAG W P3-P4,R P/,L P/		0	0
L maxilla frag w P4		0	0
l maxilla frag w P4-M1		0	0
L maxilla frag w P4-M2		0	0
L maxilla frag w P4-M3		0	0
L MAXILLA FRAG W P4-P5, base of M1		0	0
L MAXILLA FRAG W TEETH		0	0
L maxilla frag w/ M1-2		0	0
L maxilla frag w/ P1-2/		0	0
L maxilla frag, ?assoc bone, m/x		0	0
L maxilla frag, P3-M3/		0	0
L MAXILLA FRAG,/M1		0	0
L MAXILLA FRAG,2 TEETH		0	0
L MAXILLA FRAG,C/		0	0
L MAXILLA FRAG,DENTARY FRAGS		0	0
L MAXILLA FRAG,L PREMAXILLA FRAG		0	0
L MAXILLA FRAG,M2/		0	0
L MAXILLA FRAG,P2-P4/		0	0
L MAXILLA FRAG,P3-M2/		0	0
L maxilla frag.		0	0
L maxilla frag. w. M1/		0	0
L maxilla frag. w. p/2-3		0	0
L Maxilla frag. w/ M2-M3/		0	0
L maxilla fragment		0	0
L maxilla fragment (complete toothrow, no teeth)		0	0
l maxilla fragment (edentulous		0	0
l maxilla fragment w broken M3-4		0	0
L maxilla fragment w M1/		0	0
l maxilla fragment w M2, l M3/, l M4/		0	0
l maxilla fragment w molar		0	0
l maxilla fragment w one molar		0	0
L MAXILLA FRAGMENT: M1/		0	0
L MAXILLA FRAGMENT: M3/		0	0
L MAXILLA FRAGMENT: P4/		0	0
l maxilla fragments+upper cheek teeth		0	0
L maxilla frags w P3, M1-M3		0	0
L maxilla m/1 m/2.		0	0
L maxilla M1/ M/2.		0	0
L maxilla M1/ M2/ M3.		0	0
L maxilla M1/ M2/ M3/.		0	0
L maxilla M1/ M2/.		0	0
L MAXILLA M1/, M3/		0	0
L MAXILLA M1/, PARTIAL M2/		0	0
L maxilla M1/.		0	0
L MAXILLA M1/-M2/		0	0
L MAXILLA M1/-M2/, P3/-P4/ ERUPTING		0	0
L MAXILLA M1/-M2/-M3/		0	0
L MAXILLA M1/-M2/-M3/-M4/		0	0
L maxilla m12		0	0
L MAXILLA M2/		0	0
L maxilla M2/ M3/.		0	0
L maxilla M2/.		0	0
L MAXILLA M2/?		0	0
L MAXILLA M2/-M3/		0	0
L MAXILLA M2/-M3/-M4/		0	0
L MAXILLA M3/, PARTIAL M4/		0	0
L maxilla p/2 p/3 p/4 m/1.		0	0
L maxilla p/3 p/4 m/1 m/2.		0	0
L maxilla p/4 m/1 m/2.		0	0
L maxilla p/4 m/1 m/3.		0	0
L maxilla p=P4/ M1/ M2/.		0	0
L MAXILLA P2/		0	0
L maxilla P2/ P3/ P4/ M1/ M2/ M3/.		0	0
L MAXILLA P2/-P3/		0	0
L MAXILLA P2/-P3/-P4/		0	0
L MAXILLA P2/-P3/-P4/-M1/		0	0
L MAXILLA P2/-P3/-P4/-M1/-M2/		0	0
L MAXILLA P2/-P3/-P4/-M1/-M2/ (P2/ & M2/ BR)		0	0
L MAXILLA P2/-P3/-P4/-M1/-M2/ (P3/ & M2/ BROKEN)		0	0
L MAXILLA P2/-P3/-P4/-M1/-M2/-M3/		0	0
L MAXILLA P3/		0	0
L maxilla P3/ P4/ M1.		0	0
L maxilla p3/ p4/ m1/ m2/		0	0
L maxilla P3/ P4/ M1/ M2/ M3.		0	0
L maxilla P3/ P4/ M1/ M2/ M3/.		0	0
L maxilla P3/ P4/ M1/.		0	0
L MAXILLA P3/-M1/-M2/		0	0
L MAXILLA P3/-P4/		0	0
L MAXILLA P3/-P4/, PARTIAL M1/-M2/		0	0
L MAXILLA P3/-P4/-M1/		0	0
L MAXILLA P3/-P4/-M1/-M2/		0	0
L MAXILLA P3/-P4/-M1/-M2/-M3/		0	0
L maxilla P4		0	0
L maxilla P4, M1		0	0
L maxilla P4, M1, M2		0	0
L MAXILLA P4/		0	0
L maxilla P4/ and palate.		0	0
L maxilla P4/ M1/ M2/ M/3/.		0	0
L maxilla P4/ M1/ M2/ M3/.		0	0
L maxilla P4/ M1/ M2/.		0	0
L maxilla P4/ M1/, elements.		0	0
L maxilla P4/ M1/.		0	0
L MAXILLA P4/ M1-2/		0	0
L maxilla P4/ M2/ M3/.		0	0
L MAXILLA P4/, PARTIAL M1/		0	0
L MAXILLA P4/, PARTIAL P3/		0	0
L maxilla P4/.		0	0
L MAXILLA P4/-M1/		0	0
L MAXILLA P4/-M1/-M2/		0	0
L MAXILLA P4/-M1/-M2/ (M/1 BR)		0	0
L MAXILLA P4/-M1/-M2/-M3		0	0
L MAXILLA P4/-M1/-M2/-M3/		0	0
L MAXILLA P4/-M3/		0	0
L maxilla P4-M1		0	0
L maxilla partial M2/.		0	0
L MAXILLA PARTIAL P3/-P4/M1/		0	0
L maxilla U1/ P4/ M1/ M2/.		0	0
L maxilla w		0	0
L maxilla w ?M3		0	0
L MAXILLA W 12 TEETH		0	0
L MAXILLA W 3 TEETH		0	0
L MAXILLA W C+P2-M2		0	0
L MAXILLA W C+P2-M4		0	0
L MAXILLA W C-M3		0	0
L MAXILLA W C-M4		0	0
L MAXILLA W DP1-4+M1		0	0
L maxilla w dP2-M2		0	0
L MAXILLA W DP2-M3		0	0
L MAXILLA W DP3 ?,C ?		0	0
L MAXILLA W DP3-4		0	0
L MAXILLA W DP3-DP4		0	0
L MAXILLA W DP3-DP4,M1		0	0
L MAXILLA W DP3-DP4+M1-M2		0	0
L maxilla w dP3-M1		0	0
L maxilla w dP3-M2		0	0
l maxilla w DP4/-M1/		0	0
L MAXILLA W DP4-M2		0	0
l maxilla w frag M1, M2-M3		0	0
l maxilla w frag M1/		0	0
L MAXILLA W I1-I3		0	0
L MAXILLA W I3+DP1-M1		0	0
L MAXILLA W I3-C1+P2-M1		0	0
L maxilla w l+rC, l I3/, L P2-P3, R M1or2/		0	0
L MAXILLA W M1		0	0
L maxilla w M1 M2 M3		0	0
l maxilla w M1/-M2/		0	0
l maxilla w M1/-M3/		0	0
L MAXILLA W M1-2		0	0
L MAXILLA W M1-3		0	0
L MAXILLA W M1-3,R MAXILLA W M1-3		0	0
L maxilla w m1-3/		0	0
l maxilla w M1-M2		0	0
L MAXILLA W M1-M2,R MAXILLA W M1-M3,L DENTARY W M1 OR M2		0	0
l maxilla w M1-M2/		0	0
L MAXILLA W M1-M2+M4		0	0
l maxilla w M1-M3		0	0
l maxilla w M1-M3/		0	0
L MAXILLA W M1-M4		0	0
L MAXILLA W M2		0	0
L maxilla w M2 M3		0	0
l maxilla w M2/		0	0
l maxilla w M2/-M3/		0	0
L maxilla w M2-3		0	0
L MAXILLA W M2-3,R DENTARY W M1-2		0	0
L MAXILLA W M2-4		0	0
l maxilla w M2-M3		0	0
l maxilla w M2-M3/		0	0
L MAXILLA W M2-M4		0	0
L MAXILLA W M3		0	0
l maxilla w M3/		0	0
L MAXILLA W M3-4		0	0
L MAXILLA W P		0	0
L MAXILLA W P1-M2		0	0
L MAXILLA W P1-M3		0	0
L MAXILLA W P1-M3,R MAXILLA W P2-M3,R DENTARY W P2-M3		0	0
L MAXILLA W P1-M4		0	0
L MAXILLA W P1-P3+R MAXILLA W P4-M3		0	0
L maxilla w P2		0	0
L MAXILLA W P2,P4		0	0
L MAXILLA W P2?		0	0
L MAXILLA W P2-4		0	0
l maxilla w P2-4, M1-2		0	0
L MAXILLA W P2-M2		0	0
l maxilla w P2-M3		0	0
L MAXILLA W P2-M3,L DENTARY W P4-M3		0	0
L MAXILLA W P2-M3,R DENTARY,L DENTARY		0	0
l maxilla w P2-M3/		0	0
L MAXILLA W P2-M4		0	0
L MAXILLA W P2-P3		0	0
L MAXILLA W P3		0	0
L MAXILLA W P3,M2		0	0
l maxilla w P3/		0	0
l maxilla w P3/, DP4/-M2/		0	0
l maxilla w P3/-M3/		0	0
l maxilla w P3/-P4/		0	0
L MAXILLA W P3+M1-3		0	0
l maxilla w P3-4, M1-3		0	0
L MAXILLA W P3-M1		0	0
L MAXILLA W P3-M1,M/		0	0
L MAXILLA W P3-M1,M3 FRAG		0	0
L MAXILLA W P3-M2		0	0
L MAXILLA W P3-M2,L DENTARY W P4-M3		0	0
L MAXILLA W P3-M3		0	0
L MAXILLA W P3-M3,R DENTARY W P2-M1		0	0
L MAXILLA W P3-M3,R M3/		0	0
L MAXILLA W P3-M3,R MAXILLA W M,R DENTARY W P4-M1,L DENTARY W M1-3,L DENTARY W		0	0
L MAXILLA W P3-M3,R MAXILLA W P4-M3		0	0
l maxilla w P3-M3/		0	0
L MAXILLA W P3-M4		0	0
L MAXILLA W P3-P4		0	0
l maxilla w P3-P4/		0	0
L MAXILLA W P3-P4+M2-M3		0	0
L maxilla w P4		0	0
L maxilla w P4 M1		0	0
L maxilla w P4 M1 M2		0	0
L maxilla w P4 M1 M3		0	0
l maxilla w P4/-M1/		0	0
l maxilla w P4/-M3/		0	0
L MAXILLA W P4+M2		0	0
L maxilla w P4-M1		0	0
L MAXILLA W P4-M2		0	0
l maxilla w p4-m2, broken		0	0
l maxilla w P4-M2/		0	0
l maxilla w P4-M3		0	0
L maxilla w p4-m3, palatal portion R maxilla		0	0
l maxilla w P4-M3, r maxilla w P3-M2+assoc tooth and bone		0	0
l maxilla w P4-M3/		0	0
L MAXILLA W P4-M4		0	0
l maxilla w part M1/-M3/		0	0
l maxilla w part M2+M3 and r P4-M3/		0	0
l maxilla w partial P4, M1-M2		0	0
L MAXILLA W TEETH		0	0
L MAXILLA W TOOTH		0	0
L MAXILLA W TOOTH FRAGS		0	0
L maxilla w u1-m3/		0	0
L maxilla w u2-m2/		0	0
L maxilla w. M3/		0	0
L maxilla w. P2/-M2/		0	0
L maxilla w/ dP3 & dP4		0	0
L Maxilla w/ M1-M2		0	0
L maxilla w/ M1-M3		0	0
L maxilla w/ M2-M3		0	0
L Maxilla W/ P2-M3		0	0
L maxilla w/ P3-M2		0	0
L maxilla w/ P3-M2, R dentary w/ p3+p4, L dentary w/ p3-m2		0	0
L Maxilla W/ P3-M2,L Dentary W/ P4-M3		0	0
L Maxilla w/ P3-M3		0	0
L maxilla w/ P4+M2, R dentary frag, L dentary w/ m1+m2		0	0
L Maxilla W/ P4-M2		0	0
L maxilla w/ P4-M3		0	0
L maxilla with base M1/.		0	0
L maxilla with P3		0	0
L MAXILLA WITH P3-M1+M3		0	0
L MAXILLA WITH P4/-M1/		0	0
L MAXILLA WW M1-M3		0	0
L MAXILLA WW P4-M2		0	0
L maxilla, anterior R maxilla; L M1/ M2/ M3/.		0	0
L maxilla, C1, P1, P2		0	0
L maxilla, i1-m4		0	0
L maxilla, infraorbital process, P2, P4		0	0
L maxilla, infraorbital process, P4, M1, M2		0	0
L maxilla, M1		0	0
L MAXILLA, M1/-M2/		0	0
L maxilla, M12		0	0
L maxilla, M1-2		0	0
L maxilla, m1-3		0	0
L maxilla, Ms		0	0
L Maxilla, no teeth		0	0
L MAXILLA, P2 socket and infraorbital foramen		0	0
L MAXILLA, P3/-P4/		0	0
L MAXILLA, P3/-P4/-M1/		0	0
L MAXILLA, P3/-P4/-M1/-M2/		0	0
L MAXILLA, P4/		0	0
L MAXILLA, P4/-M1/		0	0
L MAXILLA, P4/-M1/-M2/		0	0
L maxilla, p4m1		0	0
L MAXILLA, P4-M2/		0	0
L maxilla, portions of nasals and frontals.		0	0
L maxilla, w teeth		0	0
L MAXILLA,/M1-M3		0	0
L MAXILLA,/M2		0	0
L MAXILLA,/R I1		0	0
L MAXILLA,DP2-M2/		0	0
L MAXILLA,DP3/,P2-M1/		0	0
L MAXILLA,I2-M2/		0	0
L MAXILLA,L DENTARY		0	0
L MAXILLA,M1/		0	0
L MAXILLA,M1-M2/		0	0
L MAXILLA,M1-M3/		0	0
L MAXILLA,M2-M3/		0	0
L MAXILLA,P2/,DP3-DP4/		0	0
L MAXILLA,P2/,P4-M1/		0	0
L MAXILLA,P2-M3		0	0
L MAXILLA,P2-M3/		0	0
L MAXILLA,P2-M3/,SKULL FRAGS		0	0
L MAXILLA,P3-M2/		0	0
L MAXILLA,P3-M3/		0	0
L MAXILLA,P3-M4/		0	0
L MAXILLA,P4		0	0
L MAXILLA,P4-M2/		0	0
L MAXILLA,P4-M3/		0	0
L MAXILLA,PALATE		0	0
L MAXILLA,PREMAXILLA FRAG		0	0
L MAXILLA,W P4-M1		0	0
L maxilla.		0	0
L maxilla. L DP4 M1/ M2/.		0	0
L MAXILLA: DP2/-DP3/-DP4/-M1/, PARTIAL M2/, P2/ IN CRYPT		0	0
L MAXILLA: DP3/-DP4/		0	0
L MAXILLA: DP4/		0	0
L MAXILLA: M1/		0	0
L MAXILLA: M1/, M3/		0	0
L MAXILLA: M1/, PARTIAL P4/		0	0
L MAXILLA: M1/-2/		0	0
L MAXILLA: M1/-3		0	0
L MAXILLA: M1/-M2/		0	0
L MAXILLA: M1/-M2/-M3/		0	0
L MAXILLA: M1/-M3/		0	0
L MAXILLA: M1/-M3/ | Cast		0	0
L MAXILLA: M1/-M3/ + LINGUAL HALF OF P4/		0	0
L MAXILLA: M2/		0	0
L MAXILLA: M2/, PARTIAL M3/		0	0
L MAXILLA: M2/-M3/		0	0
L MAXILLA: M2-3/		0	0
L MAXILLA: M3/		0	0
L MAXILLA: P/3-M/1 | Cast		0	0
L MAXILLA: P1/-P3/		0	0
L MAXILLA: P2/-P3		0	0
L MAXILLA: P2/-P3/		0	0
L MAXILLA: P2/-P3/, LINGUAL HALF P4/		0	0
L MAXILLA: P2/-P3/-P4/-M1/-M2/-M3/		0	0
L MAXILLA: P2/-P4/		0	0
L MAXILLA: P3/		0	0
L MAXILLA: P3/-M1/		0	0
L MAXILLA: P3/-M1/, PARTIAL M2/		0	0
L MAXILLA: P3/-M2/		0	0
L MAXILLA: P3/-M3		0	0
L MAXILLA: P3/-M3/		0	0
L MAXILLA: P3/-P4/		0	0
L MAXILLA: P3/-P4/-M1/		0	0
L MAXILLA: P3/-P4/-M1/M2/		0	0
L MAXILLA: P3/-P4/-M1/-M2/		0	0
L MAXILLA: P3/-P4/-M1/-M2/, BROKEN P2/		0	0
L MAXILLA: P3/-P4/-M1/-M2/-M3/		0	0
L MAXILLA: P4/		0	0
L MAXILLA: P4/-M1		0	0
L MAXILLA: P4/-M1/		0	0
L MAXILLA: P4/-M1/ | Cast		0	0
L MAXILLA: P4/-M1/-M2/		0	0
L MAXILLA: P4/-M1/-M2/-M3/		0	0
L MAXILLA: P4/-M2/		0	0
L MAXILLA: P4/-M3/		0	0
L MAXILLA: PARTIAL M1/		0	0
L MAXILLA: PARTIAL P4/-M1/		0	0
L maxilla; anterior half R maxilla.		0	0
L maxilla; L dentary.		0	0
L maxilla; L frontal.		0	0
L MAXILLA?		0	0
L MAXILLA+JUGAL		0	0
L MAXILLA+L JUGAL		0	0
L MAXILLA+PREMAXILLA FRAG W C-P2		0	0
L MAXILLA+PREMAXILLA W C+P3-M3		0	0
L MAXILLARY FRAG		0	0
L MAXILLARY FRAG W M1-M3		0	0
L maxillary frag w/ DP3-4		0	0
L maxillary frag. w/ frag. P3, P4, M1-2		0	0
L maxillary frag. w/ M1/		0	0
L maxillary fragment		0	0
L maxillary fragment with M1		0	0
L maxillary fragment with M1,M3		0	0
L maxillary fragment with M1-3		0	0
L maxillary fragment with M1-M2		0	0
L MAXILLARY W M4		0	0
L MAXILLARY W P4-M2		0	0
L maxillary w/ M1+ I/		0	0
L Mc II		0	0
L MC II.		0	0
L MC III/IV		0	0
L MC IV.		0	0
L MECKELS CARTILAGE		0	0
l medial phalanx		0	0
L MESOCUNEIFORM		0	0
L mesocuneiform.		0	0
L METACARPAL		0	0
L METACARPAL ?		0	0
L METACARPAL 1		0	0
L metacarpal 1, prox epiphysis		0	0
L METACARPAL 1,NAVICULAR		0	0
L METACARPAL 2		0	0
L METACARPAL 2, 3, 4, JUVENILE		0	0
L METACARPAL 2,METATARSAL 3,METACARPAL 3		0	0
L METACARPAL 2-5		0	0
L METACARPAL 3		0	0
L METACARPAL 3; MAY BELONG TO CM 11393 BUT FOUND 20' AWAY FROM IT		0	0
L METACARPAL 3-4		0	0
L METACARPAL 4		0	0
L METACARPAL 5		0	0
L metacarpal 5, prox phalanx, cuboid frag		0	0
L METACARPAL EXCEPT DISTAL END.  VERY YOUNG.		0	0
L METACARPAL FRAG		0	0
L METACARPAL I		0	0
l metacarpal II		0	0
L metacarpal II.		0	0
L metacarpal III, lacking distal epiphysis.		0	0
L Metacarpal III, no epiphysis.		0	0
L metacarpal III, portion diaphysis missing.		0	0
L metacarpal III.		0	0
L metacarpal III/IV, portion proximal shaft and articular surface missing.		0	0
L metacarpal III/IV.		0	0
L metacarpal IV		0	0
L METACARPAL IV, NEARLY PERFECT		0	0
L metacarpal IV.		0	0
L metacarpal V		0	0
L metacarpal.		0	0
L METACARPALS		0	0
L metacarpals III/IV, distal end missing.		0	0
L metacarpals III/IV, distal epiphysis missing.		0	0
L metacarpals III/IV, distal fifth missing.		0	0
L metacarpals III/IV, distal sixth missing.		0	0
L metacarpals III/IV, distal third missing.		0	0
L metacarpals III/IV.		0	0
L metacarpals.		0	0
L Metacarpus		0	0
l metaloph		0	0
L Metapod. 3		0	0
L METAPODIAL		0	0
L metarpal		0	0
L METATARSAL		0	0
L METATARSAL 1		0	0
L METATARSAL 2		0	0
L METATARSAL 2 ?		0	0
L METATARSAL 2-3		0	0
L METATARSAL 3		0	0
L METATARSAL 3 ?		0	0
L METATARSAL 4		0	0
L METATARSAL 4, L PHALANX 1-1, FRAG		0	0
L METATARSAL 5		0	0
L METATARSAL FRAG		0	0
l metatarsal I		0	0
l metatarsal II		0	0
L metatarsal II.		0	0
L metatarsal III, half of distal end missing.		0	0
L metatarsal III, phalanges I II III, calcaneum, astragalus, ectocueiform, navicular.		0	0
L metatarsal III.		0	0
L metatarsal III/IV, distal end and distak lateral diaphysis missing.		0	0
L metatarsal III/IV, distal end missing.		0	0
L metatarsal III/IV, distal one-fifth missing.		0	0
L metatarsal III/IV, distal one-third missing.		0	0
L metatarsal III/IV, no distal end.		0	0
L metatarsal III/IV, proximal end missing.		0	0
L metatarsal III/IV.		0	0
L metatarsal IV		0	0
L metatarsal IV.		0	0
L METATARSAL MINUS DISTAL END		0	0
l metatarsal V		0	0
L metatarsal V except distal end.		0	0
L metatarsal V.		0	0
L METATARSAL, R METACARPAL, DISTAL EPIPHYSIS OF METAPODIAL, 1ST PHALANX, 2ND PHALANX, UNGUAL PHALANX, R CALCANEUM, L SCAPULA, R ILIUM		0	0
L METATARSALS		0	0
L METATARSUS		0	0
L metatarsus III/IV.		0	0
L MI/ OR M2/		0	0
L MID DENTARY W M2-M3		0	0
L mid-cuneiform.		0	0
L mnd		0	0
L mnd edent		0	0
L mnd M/1		0	0
L mnd M/2		0	0
L mnd M/2 M/3		0	0
L MND P/4-M/2		0	0
l molar		0	0
L molar (M2/ ?).		0	0
l molar in dentary fragment		0	0
l molar in dentary fragment+skull		0	0
l molar talonid		0	0
l molar trigonid		0	0
L MOLAR, INCISOR FRAG		0	0
L MOLAR; L M/# & JAW; JAW, L M/1-M/2		0	0
L MT II.		0	0
L MT III/IV.		0	0
L mx		0	0
L MX frag		0	0
l Mx/		0	0
L MX/ ?		0	0
l Mx/ frag		0	0
L Mx/ frag.		0	0
L Mx/ ling. frag.		0	0
L Mx/ paracone frag.		0	0
L Mx/ parastylar frag.		0	0
L Mx/ post. frag.		0	0
L Mx/, lingual half		0	0
L NASAL		0	0
L NASAL+SEPTOMAXILLA ?		0	0
L NAVICULAR		0	0
L NAVICULAR THIN SECTION		0	0
L navicular.		0	0
L NAVICULAR+CUBOID		0	0
l naviculo-cuboid		0	0
l naviculocuboid, ectocuneiform, fused metatarsals III-IV		0	0
L naviculocuboid.		0	0
L NAVICULOCUBOID; 2 THORACIC SPINES; PARTIAL 3RD OR 4TH CERVICAL VERTEBRA		0	0
L NUCHAL		0	0
L NUCHAL FRAG		0	0
L nuchal-peripheral 1		0	0
L OCCIPITAL CONDYLE		0	0
L occipital condyle and basioccipital.		0	0
L OCCIPUT		0	0
L OPERCLE		0	0
L OPISTHOTIC		0	0
L OR R M/1		0	0
L OSSACRUM, ACETABULUM PRESENT		0	0
L OSSACRUM, NO ACETABULUM		0	0
L OSSACRUM, WHOLE		0	0
L OTIC REGION		0	0
L OXOCCIPITAL PART OF HEAD SHIELD SHOWING ARTICULATION WITH ANTERODORSOLATERAL		0	0
L p		0	0
L P FRAG		0	0
L P or M's/		0	0
L P#/		0	0
L P#/, L P4/-M1/, R P4/-M2/, R M#/, 6 M#/		0	0
L P,HUMERUS,PHALANX		0	0
L P,L M		0	0
L P,L P FRAG,/R M FRAG,M FRAG/,R P,C		0	0
L P/		0	0
L P/#		0	0
L P/# | Cast		0	0
L P/#, M/#		0	0
L P/#, M/1, IN JAW FRAG		0	0
L P/#, R M/1 OR M/2 | Cast		0	0
L P/#, R M/1 OR M/2, R P3/		0	0
L P/#, TOOTH FRAG		0	0
L P/#; CAST OF CM 22036, MOLD# 337		0	0
L P/#; JAW, L M/1-M/3; R P/#; JAW, R M/1-M/2-M/3; MAX, L M#/		0	0
L P/,L M/		0	0
L P/,R P/		0	0
L P/?		0	0
L P/1		0	0
L P/1 IN DENTARY FRAG		0	0
L P/1, P/2		0	0
L P/1; L P/4-M/2 | Cast		0	0
L P/1-M/1		0	0
L P/1-M/3		0	0
L P/1-M/3 | Cast		0	0
L P/1-P/2		0	0
L P/1-P/2 | Cast		0	0
L P/1-P/2, M/3, BONE FRAGS, ASSOCIATED		0	0
L P/1-P/2-P/3, L M/1		0	0
L P/1-P/3; L M/2-M/3 | Cast		0	0
L P/1-P/4 | Cast		0	0
L P/1-P/4, L P/4-M/1		0	0
L p/2		0	0
L p/2 (?).		0	0
l p/2 ?		0	0
L P/2 IN DENTARY FRAG		0	0
l p/2 or p/3		0	0
L p/2 p/3 p/4 m/1 m/2 m/3.		0	0
L p/2 p/3 p/4.		0	0
L p/2 p/3; R p/2 p/3 p/4; tooth fragments.		0	0
L P/2, ANTERIOR HALF		0	0
L P/2, FRAGS		0	0
L P/2, L P/3, L P/4; P4/, R M1/		0	0
L P/2, P/4, M/1; R P/4, M/1; ASSOCIATED		0	0
L P/2, P/4-M/3		0	0
L P/2, R P/2 PARTIAL, MOLAR FRAG		0	0
L p/2.		0	0
L P/2; L P/4-M/1 | Cast		0	0
l p/2?		0	0
L P/2-M/1		0	0
L P/2-M/1 | Cast		0	0
L P/2-M/2		0	0
l p/2-m/2 + r m/1-m/3		0	0
L p/2-m/3		0	0
L P/2-M/3, BROKEN		0	0
L P/2-M/3, JAW | Cast		0	0
L P/2-M/3, L P4/-M3/		0	0
L P/2-M/3, R M/1-M/3, P#/		0	0
L P/2-M/3, R P/4		0	0
L P/2-M/3; P#/		0	0
L P/2-M/4		0	0
L P/2-P/3		0	0
L P/2-P/3 | Cast		0	0
L P/2-P/3-P/4		0	0
L P/2-P/3-P/4 IN DENTARY		0	0
L P/2-P/3-P/4, R P/3-P/4, 3 L M/3, R M/1-M/2, 1 L & 2 R M/2-M/3, R P/2, L M/#, 5 R M/3, L M/1-M/2-M/3, 2 R M/#		0	0
L P/2-P/3-P/4-M/1		0	0
L P/2-P/3-P/4-M/1-M/2		0	0
L P/2-P/3-P/4-M/1-M/2-M/3		0	0
L P/2-P/4		0	0
L P/2-P/4, L M/2-M/3, R P/4, M/1		0	0
L P/2-P/4, M/2-M/3		0	0
l p/3		0	0
L P/3 (3), R P/3 (3)		0	0
L P/3 ?		0	0
L P/3 IN DENTARY		0	0
L P/3 IN DENTARY FRAG		0	0
L P/3 IN JAW FRAG		0	0
l p/3 or p/4		0	0
L P/3 OR P/4, R M/2, R P/#, P#/		0	0
L P/3, BROKEN CANINE		0	0
L P/3, DP/4		0	0
L P/3, FRAGS L M/1 TRIGONID, TALONID		0	0
L P/3, L CALCANEUM, R CALCANEUM		0	0
L P/3, L DP/4-M/1		0	0
L P/3, L M/1-M/2, JAW		0	0
L P/3, L M/1-M/2, R M/2-M/3, FRAGS, ASSOCIATED		0	0
L P/3, L M/2, ASSOCIATED		0	0
L P/3, L M/2, L M/3, R M/1		0	0
L P/3, L P/4		0	0
L P/3, M/1 | Cast		0	0
L P/3, M/1 OR M/2		0	0
L P/3, M/1, M/2, M/3, IN JAW FRAGS		0	0
L P/3, M/1, M/2, M/3; ASSOCIATED		0	0
L P/3, M/2 IN JAW		0	0
L P/3, M/2, M/3, ASSOCIATED		0	0
L P/3, M/3, R M/1 OR M/2, ASSOCIATED?		0	0
L P/3, P#/ FRAG		0	0
L P/3, P/4, M/1, M/2, M/3, ASSOCIATED		0	0
L P/3, R M/#, L M#/; ASSOCIATED		0	0
L P/3, R M/3, MOLAR FRAG		0	0
L P/3, R P/3		0	0
L P/3, R P/3, L M/3		0	0
L p/3.		0	0
L P/3; L CALCANEUM; R DISTAL HUMERUS; MOLAR; POSTCRANIALS		0	0
L p/3; L lower cheektooth.		0	0
L P/3; R CALCANEUM; MOLAR; POSTCRANIALS; R DISTAL HUMERUS; 2 L DISTAL HUMERI		0	0
l p/3?		0	0
L P/3? IN DENTARY FRAG		0	0
L P/3-M/1		0	0
L P/3-M/1 IN JAW FRAG, 3 L P/3, 3 R P/3, 17 MOLARS		0	0
L P/3-M/1, L M/1-M/2		0	0
L P/3-M/1, M/3		0	0
L P/3-M/1, R M/1		0	0
L P/3-M/1, R M/2		0	0
L P/3-M/1-M/2, M#/, ASSOCIATED		0	0
L P/3-M/2		0	0
L P/3-M/2 & ANTERIOR ALVEOLI | Cast		0	0
L P/3-M/2 | Cast		0	0
L P/3-M/2; L M2/-M3/; ASSOCIATED		0	0
l p/3-m/3		0	0
L P/3-M/3 | Cast		0	0
L P/3-M/3, JAW		0	0
L P/3-M/3, JAW | Cast		0	0
L P/3-M/3, L M/2-M/3, P#/		0	0
L P/3-M/3, L P/3-P/4		0	0
L P/3-M/3, R M#/		0	0
L P/3-M/3, R M/1-M/2, ASSOCIATED		0	0
L P/3-M/3; JAW WITH ROOT OF C/#; ALVEOLUS P/1; ROOTS OF P/2 | Cast		0	0
L P/3-M/3; R P3/-M2/; R P/4-M/2; L P3/-M1/; ASSOCIATED		0	0
L P/3-M/4		0	0
L P/3-P/4		0	0
L P/3-P/4 | Cast		0	0
L P/3-P/4 IN JAW FRAG		0	0
L P/3-P/4, M/1-M/2; R P/3-P/4		0	0
L P/3-P/4, M/2-M/3		0	0
L P/3-P/4, M/2-M/3 | Cast		0	0
L P/3-P/4, M/2-M/3; R P/4-M/3, P/2		0	0
L P/3-P/4, M/3		0	0
L P/3-P/4, R M/1, R P/4, R M/2, L M/3		0	0
L P/3-P/4, R M/2-M/3		0	0
L P/3-P/4, R P/2-P/4, L P/2-P/3, L M/3		0	0
L P/3-P/4, T/#; UNASSOCIATED		0	0
L P/3-P/4; L M/2		0	0
L P/3-P/4-M/1		0	0
L P/3-P/4-M/1, L M/2-M/3		0	0
L P/3-P/4-M/1, L P4/-M1/-M2/		0	0
L P/3-P/4-M/1-M/2		0	0
L P/3-P/4-M/1-M/2, BROKEN M/3, IN JAW		0	0
L P/3-P/4-M/1-M/2-M/3		0	0
L P/3-P/4-M/1-M/2-M/3, ASSOCIATED BONE		0	0
L P/3-P/4-M/1-M/2-M/3; R M/1; _ R M/2; FRAGS; ASSOCIATED		0	0
l p/4		0	0
L P/4 & ALVEOLI FOR I/#-P/3		0	0
L P/4 & FRAGS		0	0
L P/4 & L M/2		0	0
L P/4 & L M/3		0	0
