verbatimSex	standardSex	standard	checked
G ?	unknown	0	1
GF	unknown	0	1
gF(3)	female	0	1
gF(4)	female	0	1
gF(5)	female	0	1
gF(6)	female	0	1
gF(7)	female	0	1
gF(8)	female	0	1
gF(9)	female	0	1
gonads destroyed		0	1
gonads destroyed by shot		0	1
gonads not developed		0	1
gonads not found	unknown	0	1
Gonads not found.		0	1
gonads rotted		0	1
Gravid		0	1
Gravid Female	female	0	1
Green		0	1
green background color with two 		0	1
GYNANDROMORPH	gynandromorph	1	1
H	female	0	1
H g	unknown	0	1
H P	unknown	0	1
H R	unknown	0	1
hane	female	0	1
hane?	female	0	1
hatching		0	1
Hatchling		0	1
Hatchling, Liver tissue taken		0	1
hemba	female	0	1
hembra	female	0	1
hembra 2 pares ma	female	0	1
hembra A	female	0	1
hembra ad	female	0	1
hembra ad in	female	0	1
hembra ad ma	female	0	1
hembra ad NI	female	0	1
hembra AI	female	0	1
hembra am	female	0	1
hembra gestal	female	0	1
hembra inm	female	0	1
hembra J	female	0	1
hembra juv	female	0	1
hembra lac	female	0	1
hembra lactando	female	0	1
hembra ma	female	0	1
hembra mamas	female	0	1
hembra no lac	female	0	1
hembra preg 2-2 emb 15mm	female	0	1
hembra SA	female	0	1
hembra?	female	0	1
HERMAPHRODI	hermaphrodite	0	1
hermaphrodidic	hermaphrodite	0	1
hermaphrodite	hermaphrodite	1	1
hg	unknown	0	1
hona	female	0	1
HY		0	1
HY male	male	0	1
Hybrid		0	1
I		0	1
IM	unknown	0	1
Im.	unknown	0	1
IMF	unknown	0	1
IMM	unknown	0	1
IMM ?	unknown	0	1
imm F	female	0	1
imm male	male	0	1
imm.		0	1
Imm. (cat. lists M adult)	male	0	1
imm. F	female	0	1
IMM. FEMALE?	in question	0	1
imm. M	male	0	1
imm.?	unknown	0	1
IMM?	unknown	0	1
immature		0	1
Immature (HY) Female	female	0	1
Immature (HY) Male	male	0	1
immature ?		0	1
Immature [= Fledgling] Male	male	0	1
Immature [Female ?]	in question	0	1
Immature [Male ?]	in question	0	1
Immature [Sex ?]	in question	0	1
Immature Female	female	0	1
Immature Female ?	in question	0	1
immature M	male	0	1
Immature Male	male	0	1
immature Male, juvenile (calf)	male	0	1
immature, nestling		0	1
immature/female	female	0	1
ind	unknown	0	1
indet.	unknown	0	1
indeterminable	indeterminable	1	1
indeterminado	unknown	0	1
Indeterminate	unknown	0	1
J	unknown	0	1
J?	unknown	0	1
JU?. MALE?	in question	0	1
juevenile		0	1
Jul-76	unknown	0	1
juv	unknown	0	1
JUV ?	unknown	0	1
juv.	unknown	0	1
Juv. (cat. lists as F pul)	female	0	1
juv. male	male	0	1
Juv. Nestling		0	1
JUV.?	unknown	0	1
juv.nestln		0	1
JUV?	unknown	0	1
Juvenil	unknown	0	1
juvenile	unknown	0	1
Juvenile [Female ?]	in question	0	1
Juvenile [Female?]	in question	0	1
Juvenile [Male ?]	in question	0	1
Juvenile [Sex ?]	in question	0	1
Juvenile 1 segment + button		0	1
Juvenile Female	female	0	1
Juvenile male	male	0	1
Juvenile Male (?)	in question	0	1
Juvenile Male, liver tissue take	male	0	1
Juvenile Male, SVL 45 mm, tail 6	male	0	1
Juvenile with tail clip tissue		0	1
Juvenile with tissue		0	1
Juvenile, 66 cm SVL,  89g		0	1
Juvenile, Liver tissue taken		0	1
Juvenile, SVL 395 mm, tail 58 mm		0	1
Juvenile, SVL 415 mm		0	1
Juvenile, SVL 662 mm, Tail 239 m		0	1
Juvenile, Tissue- scale clip		0	1
Juvenile, Tissue-liver sample		0	1
Juvenile, Tissue-scale clip		0	1
Juvenile/neonate		0	1
juveniles and eggs	unknown	0	1
JV		0	1
K?	in question	0	1
km		0	1
L	unknown	0	1
Large female w/ eggs	female	0	1
Larva		0	1
Larva when captured		0	1
Larva when collected		0	1
larva, lot of 1		0	1
larva, lot of 7		0	1
larva, lot of one		0	1
larvae		0	1
Larvae lot of 1		0	1
Larvae lot of 2		0	1
Larvae, lot of 16		0	1
larvae, lot of 2		0	1
larvae, lot of 3		0	1
larvae, lot of 5		0	1
larvae, lot of 6		0	1
Larvae, lot of 7		0	1
larvae. lot of 7		0	1
light olive-gray		0	1
Liver tissue		0	1
Liver tissue taken		0	1
Liver tissue Taken, Adult		0	1
long term captive		0	1
LOST		0	1
Lot of 10 larvae		0	1
Lot of 11 larvae		0	1
lot of 16 larvae		0	1
Lot of 21 larvae		0	1
lot of 28 larvae		0	1
Lot of 3 Larvae		0	1
Lot of 5 larvae		0	1
lot of 6 larvae		0	1
Lot of 9 larvae		0	1
lot of Larvae and hatchlings		0	1
lot of six larvae		0	1
lot of three larvae		0	1
M	male	0	1
'm	male	0	1
-M	male	0	1
M'	male	0	1
M-	male	0	1
'M '	male	0	1
M -	male	0	1
M  juvenile	male	0	1
M - the symbol is upside down	male	0	1
M !	male	0	1
M ! F	unknown	0	1
M "hor"	male	0	1
M & F	female | male	0	1
M (?)	in question	0	1
M (?) (M)	in question	0	1
M (=F ?)	in question	0	1
M (=F)	unknown	0	1
m (10x5)	male	0	1
M (10x6.78)	male	0	1
m (12x4)	male	0	1
M (18x9.6)	male	0	1
m (2x1)	male	0	1
m (3x5)	male	0	1
M (4.3x3.5)	male	0	1
m (5*2)	male	0	1
m (5*3 Ling)	male	0	1
m (6x2)	male	0	1
m (8*3)	male	0	1
m (9*5)	male	0	1
M (9x7)	male	0	1
M (BASED ON PLUMAGE)	male	0	1
M (by dissection)	male	0	1
m (by plumage)	male	0	1
M (castrate)	male	0	1
M (cat lists as F, looks like M 	male	0	1
M (dark)	male	0	1
M (F ?)	in question	0	1
M (F!)	unknown	0	1
M (F(	unknown	0	1
M (F)	unknown	0	1
M (gran)	male	0	1
M (HY)	male	0	1
M (IMM 3.9x1.2)	male	0	1
M (imm.?)	male	0	1
M (info from tissue tube)	male	0	1
M (juv.)	male	0	1
m (lap)	male	0	1
M (light)	male	0	1
m (LT:1x1)	male	0	1
M (TSE)	male	0	1
M ?	in question	0	1
M ? (F)	in question	0	1
M ? [=F]	in question	0	1
M ? [=M]	in question	0	1
'M' ? [=M]	in question	0	1
M ? [=surely a F]	in question	0	1
M ? [F]	in question	0	1
M ? = [F]	in question	0	1
M ? =[F]	in question	0	1
M ? F	in question	0	1
M ? F ?	in question	0	1
M -? orig. SUI tag bears dual ma	male	0	1
M ??	in question	0	1
M ?[=F]	in question	0	1
M ?[F]	in question	0	1
M [?]	in question	0	1
M [?]*	in question	0	1
M [= F]	unknown	0	1
M [=F ?]	in question	0	1
M [=F apparently]	unknown	0	1
M [=F?]	in question	0	1
M [=F]	unknown	0	1
M [almost surely F]	female	0	1
M [apparantly F]	unknown	0	1
M [by plumage	male	0	1
M [by plumage]	male	0	1
M [cataloged as F]	male	0	1
M [F ?]	in question	0	1
M [F!]	unknown	0	1
M [F?]	in question	0	1
'M' [F?]	in question	0	1
M [F]	unknown	0	1
M [F]!	unknown	0	1
M [illeg. ?]	in question	0	1
M [illeg]	male	0	1
M [listed in Catalog as F]	male	0	1
M [M]	male	0	1
M [on coll label]	male	0	1
M [or F]	unknown	0	1
M [orig. cataloged as F]	male	0	1
M [perhaps a F]	in question	0	1
M [perhaps F?]	in question	0	1
M [prob. a F]	female	0	1
M [prob. F]	female	0	1
M [tag: "sed M"?]	male	0	1
M +	male	0	1
M + U	male | unknown	0	1
M ++	male	0	1
M = [F]	unknown	0	1
M = F	unknown	0	1
M 1971 HY	male	0	1
M 1977 HY	male	0	1
M 1978 HY	male	0	1
M 1978HY	male	0	1
M 1979 HY	male	0	1
M 1979HY	male	0	1
M 1980HY	male	0	1
M 1981 HY	male	0	1
M 1981HY	male	0	1
M 1984HY	male	0	1
M 1st Spring	male	0	1
M 1st Winter	male	0	1
M 1st year	male	0	1
M 1st yr.	male	0	1
M 2-3 days old	male	0	1
M 3.5 yrs.	male	0	1
M 3rd Winter	male	0	1
m 3x1	male	0	1
M 4yrs.	male	0	1
m abdominal	male	0	1
M AD	male	0	1
M Ad.	male	0	1
M adolescent	male	0	1
M adult	male	0	1
M Adult.	male	0	1
M Age 10 yrs.	male	0	1
M Age 12 yrs.	male	0	1
M age 18 days	male	0	1
M age 3 days	male	0	1
M Age 4 yrs	male	0	1
M age 4 yrs.	male	0	1
M Age 7 yrs	male	0	1
M Asult	male	0	1
M based on bill length	male	0	1
M br	male	0	1
M br.	male	0	1
M by call [?]	male	0	1
M by dissection	male	0	1
M by plumage *	male	0	1
M by plummage	male	0	1
M chick	male	0	1
M 'CHICK'	male	0	1
M ext.	male	0	1
M F	unknown	0	1
M fledgling	male	0	1
m g	male	0	1
M HY	male	0	1
M HY'76	male	0	1
M im.	male	0	1
M imm	male	0	1
M imm.	male	0	1
M imm.?	male	0	1
M immature	male	0	1
M JUV	male	0	1
M juv.	male	0	1
M juv. (fledgling)	male	0	1
M juv. [adolescent]	male	0	1
M juv.?	male	0	1
M juv.nestl	male	0	1
M juvenile	male	0	1
m L.T (8.3*5.6)	male	0	1
m LT (2x1.5)	male	0	1
M M	male	0	1
M mate of # 357	male	0	1
M NESTLING	male	0	1
M o.n.e.	male	0	1
M or F	unknown	0	1
M or F.	unknown	0	1
M OWLET	male	0	1
M P	male	0	1
M prob.	male	0	1
M prop.	male	0	1
M R	male	0	1
M S.Adult?	male	0	1
M SA	male	0	1
m scrotal	male	0	1
M subad.	male	0	1
M subadult	male	0	1
M Test. regr.	male	0	1
M Test. Scr.	male	0	1
M test.scr.	male	0	1
M Yg	male	0	1
M Yg,	male	0	1
M yng	male	0	1
M young	male	0	1
M YY	male	0	1
Mmale	male	0	1
M!	male	0	1
M(?)	in question	0	1
m(?), adult	in question	0	1
M(?F)	in question	0	1
m(3x2)	male	0	1
M(crossed out)	unknown	0	1
M(F)	unknown	0	1
M(F?)	in question	0	1
M(HY)	male	0	1
M(i.e. upside down "F")	unknown	0	1
M(LAP)	male	0	1
M*	male	0	1
M* with [?] written in pencil af	in question	0	1
M, 1st year	male	0	1
m, 2nd-year	male	0	1
m, adult	male	0	1
M, by dissection	male	0	1
M, imm.	male	0	1
m, immature	male	0	1
M, JUV	male	0	1
M, juv.	male	0	1
m, juvenile	male	0	1
M, juvenile?	male	0	1
M,F	unknown	0	1
M.	male	0	1
m. adult	male	0	1
M/08 days old	male	0	1
M/1 day	male	0	1
M/1 day old	male	0	1
M/10 days	male	0	1
M/15 days old	male	0	1
M/17 days old	male	0	1
M/19 days old	male	0	1
M/1st year	male	0	1
M/2 days	male	0	1
M/2 days old	male	0	1
M/2 years	male	0	1
M/24 days old	male	0	1
M/3 days old	male	0	1
M/30 days	male	0	1
M/31 days old	male	0	1
M/4 days	male	0	1
M/41 days	male	0	1
M/42 days old	male	0	1
M/6 days old	male	0	1
M/66 days	male	0	1
M/AD	male	0	1
M/adult	male	0	1
M/adult (?)	male	0	1
m/f	female | male	0	1
M/first year	male	0	1
M/FLEDGLING	male	0	1
M/HY	male	0	1
M/IMM	male	0	1
M/imm.	male	0	1
M/immature	male	0	1
M/JUV	male	0	1
M/juv.	male	0	1
M/juvenile	male	0	1
M/NA	male	0	1
M/NESTLING	male	0	1
M/second year	male	0	1
M/sub-ad.	male	0	1
M/sub-adult	male	0	1
M/third year	male	0	1
M/yearling	male	0	1
M/yrlg.	male	0	1
M; confirmed by dissection	male	0	1
M; imm.	male	0	1
M?	in question	0	1
M-?	in question	0	1
M? (indicated on mount)	male	0	1
M? *	in question	0	1
M? adult-long tusks	male	0	1
M? juvenile	male	0	1
M? or M	in question	0	1
M?(F)	in question	0	1
M?(Fjuv.)	in question	0	1
M?*	in question	0	1
m?, adult	in question	0	1
M?, juv	in question	0	1
M??	in question	0	1
M?[=illeg]	in question	0	1
M?F	in question	0	1
M?F?	in question	0	1
M[* with ? below *]	in question	0	1
M[?]	in question	0	1
M[?]*	in question	0	1
M[=F?]	in question	0	1
M[=F]	unknown	0	1
M[app=F]	unknown	0	1
M[app'y = F]WM.	unknown	0	1
M[F?]	in question	0	1
M[F]	unknown	0	1
M[illeg]	male	0	1
M[M]	male	0	1
M]	male	0	1
M`	male	0	1
M~	male	0	1
M=[F ?]	in question	0	1
M=[F] C.H.R.	unknown	0	1
M7	male	0	1
Ma	male	0	1
MAÁE	male	0	1
macho	male	0	1
macho A	male	0	1
macho ad	male	0	1
macho ad TA	male	0	1
macho ad Tes	male	0	1
macho ad tes 3x4	male	0	1
macho ad tes 6x4	male	0	1
macho ad Tes 7x4	male	0	1
macho ad test 9x5	male	0	1
macho inm	male	0	1
macho inmad.	male	0	1
Macho J	male	0	1
macho juv	male	0	1
macho juv test 5x3	male	0	1
macho sa Tes 5x3	male	0	1
macho subad	male	0	1
macho Tes 10x6	male	0	1
macho test	male	0	1
macho test 15x9	male	0	1
macho Test 16x9	male	0	1
macho test 18x13	male	0	1
macho test 20x13	male	0	1
macho test 20x14	male	0	1
macho test 5x3	male	0	1
macho test 5x4	male	0	1
macho test 8x4	male	0	1
macho test esc	male	0	1
macho?	in question	0	1
make	male	0	1
male	male	1	1
Male - 6 months	male	0	1
MALE  M	male	0	1
male & female	female | male	0	1
male (? - see note)	male	0	1
male (? - see note)/female (? - 	in question	0	1
male (?)	in question	0	1
male (?)/female	female | male	0	1
male ('?male' on label)	male	0	1
Male (1st year)	male	0	1
male (3.7x2.4)	male	0	1
Male (6.0x4.4)	male	0	1
Male (by bleeding?)	in question	0	1
male (by gonads)	male	0	1
male (by plumage)	male	0	1
male (HY)	male	0	1
male (imm.)	male	0	1
male (immature)	male	0	1
male (in text)/female (on label)	in question	0	1
male (in text; female on label)	in question	0	1
male (juv.)	male	0	1
male (juvenile)	male	0	1
male (LAP)	male	0	1
male (later identified as)	male	0	1
Male (likely)	male	0	1
male (not breeding)	male	0	1
male (on label)	male	0	1
male (on plumage)	male	0	1
male (plumage)	male	0	1
male (printed in error as female	male	0	1
male ('probably')	male	0	1
male (see note)	male	0	1
male (see notes)	male	0	1
male (sub-adult)	male	0	1
male (summer)	male	0	1
male (t=10mm)	male	0	1
male (t=4mm)	male	0	1
male (young)	male	0	1
male , male	male	0	1
Male ?	in question	0	1
Male ?, testes 3mm???	male	0	1
Male [?]	in question	0	1
Male [Adult]	male	0	1
Male [Female ?]	in question	0	1
Male [Female?]	in question	0	1
Male [Female]	female | male	0	1
Male 51 mm SVL	male	0	1
Male Adult	male	0	1
Male and Female	female | male	0	1
Male br.	male	0	1
Male by plumage	male	0	1
male downy young	male	0	1
Male Female	female | male	0	1
male juvenile	male	0	1
male male	male	0	1
Male of pair	male	0	1
malefemale	female | male	0	1
maleundet.	male | unknown	0	1
Male(?)	in question	0	1
male(imm.)	male	0	1
male(s) & female(s)-certain	female | male	0	1
male(s) & female(s)-uncertain	in question	0	1
male(s)-certain	male	0	1
male(s)-uncertain	in question	0	1
male, ?	male	0	1
Male, 2nd winter	male	0	1
Male, 31 mm SVL	male	0	1
Male, 52 mm SVL, 28 mm tail	male	0	1
male, adult	male	0	1
male, female	female | male	0	1
male, HY	male	0	1
male, HY?	male	0	1
Male, Imm.	male	0	1
male, immature	male	0	1
Male, liver tissue collected	male	0	1
Male, liver tissue taken	male	0	1
Male, nest	male	0	1
Male, SVL 319mm, Tail 64 mm	male	0	1
Male, SVL 436 mm, Tail 157	male	0	1
Male, SVL 75 mm, Tail 87 mm w/ 2	male	0	1
Male, SVL=365mm,Tail=31mm	male	0	1
Male, testes 2 X 3 mm	male	0	1
Male, Tissue-liver sample	male	0	1
Male, Tissue-Liver sample taken	male	0	1
Male, Tissue-scale clip	male	0	1
Male, Tissue-scale clips	male	0	1
male, yy	male	0	1
male.female	female | male	0	1
male/adult	male	0	1
male/female	female | male	0	1
male/female (in text)	unknown	0	1
male/female (labelled as)	unknown	0	1
male/female (on label)	unknown	0	1
Male?	in question	0	1
male[	male	0	1
Male[?]	in question	0	1
Male+Female	female | male	0	1
Male6	male	0	1
males	male	0	1
Males + Females	female | male	0	1
males, females	female | male	1	1
Mandible only, no teeth	unknown	0	1
marked as both F and M	unknown	0	1
mascle	male	0	1
mascle | indeterminable	male | indeterminable	0	1
mascle femella	female | male	0	1
metamorph		0	1
MF	female | male	0	1
M-F	unknown	0	1
mid-ventral white line		0	1
mid-ventral white line, brown ve		0	1
MISSING		0	1
missing tail and legs		0	1
Mixed Sexes	female | male	0	1
M-juv.	male	0	1
mle	male	0	1
M--looks F 4/2011ceo	male	0	1
MM	male	0	1
Mm.	male	0	1
Mn	male	0	1
Mn.	male	0	1
mo data	unknown	0	1
Mother to UAZ 35197-35208	female	0	1
N	unknown	0	1
n.s.	unknown	0	1
n/	unknown	0	1
N/A	unknown	0	1
NA	unknown	0	1
NA (HY)	unknown	0	1
NA 3rd year	unknown	0	1
NA Ad.	unknown	0	1
NA chick	unknown	0	1
NA Imm.	unknown	0	1
NA Juv.	unknown	0	1
NA/1 day	unknown	0	1
NA/1 day old	unknown	0	1
NA/1 month	unknown	0	1
NA/10 days old	unknown	0	1
NA/11 days old	unknown	0	1
NA/3 days old	unknown	0	1
NA/3 weeks	unknown	0	1
NA/4 days old	unknown	0	1
NA/5 days	unknown	0	1
NA/5 days old	unknown	0	1
NA/5 months	unknown	0	1
NA/6 days	unknown	0	1
NA/7 days old	unknown	0	1
NA/9 days	unknown	0	1
NA/imm.	unknown	0	1
NA/juv.	unknown	0	1
NA/nestling	unknown	0	1
NA/sub-adult	unknown	0	1
Neonate		0	1
Nest. juv.		0	1
Nesting Colony		0	1
Nestling [Female ?]	in question	0	1
Nestling [Sex ?]	in question	0	1
Nestling Female	female	0	1
Nestling Male	male	0	1
Nestlings [Sex ?]	in question	0	1
newborn		0	1
newly hatched chick		0	1
No	unknown	0	1
no aplicable		0	1
no data	unknown	0	1
no gonads found.		0	1
No nuptial pads, throat white, n		0	1
no sex	unknown	0	1
no sex given	unknown	0	1
None		0	1
not determined	unknown	0	1
not found	unknown	0	1
not listed	unknown	0	1
not observed	unknown	0	1
not recorded	unknown	0	1
not sexed	unknown	0	1
not visible		0	1
NOTES		0	1
NR	unknown	0	1
O	unknown	0	1
O (CMJ catalog lists as undeterm	unknown	0	1
o ?	in question	0	1
O.B	unknown	0	1
o/p	unknown	0	1
O?	unknown	0	1
O~	unknown	0	1
O'B	unknown	0	1
orange head		0	1
Pima		0	1
pink tail		0	1
POSSIBLY FEMALE	in question	0	1
POSSIBLY MALE	male	0	1
Post Partum female	female	0	1
Preg?	female	0	1
Prob. F	female	0	1
Prob. Female	female	0	1
probable adult female	female	0	1
Probably [Male]	male	0	1
probably F	female	0	1
PROBABLY FEMALE	female	0	1
PROBABLY MALE	male	0	1
prop. F.	female	0	1
Q		0	1
S&S		0	1
SEE Notes		0	1
see spec. label!	unknown	0	1
sex	unknown	0	1
Sex ?	in question	0	1
Sex ? - Male plumage	in question	0	1
Sex Unknown	unknown	0	1
Sex?	in question	0	1
sin datos	unknown	0	1
skin tissue sample taken		0	1
SS		0	1
Stomach contents: Leaf cutter an		0	1
Striped		0	1
Striped pattern		0	1
Striped; unusual broad dorsal st		0	1
Sub Adult		0	1
Subadult		0	1
Sub-Adult [Male ?]	in question	0	1
Sub-adult [Sex ?]	in question	0	1
subadult female	female	0	1
Sub-adult Female	female	0	1
subadult femle	female	0	1
subadult male	male	0	1
Sub-adult Male	male	0	1
subadult male, Liver Tissue take	male	0	1
Subadult, liver tissue taken		0	1
SVL 181 mm, tail 67 mm		0	1
SVL 449 mm, Tail 770 mm, 1979g		0	1
Tadpoles	unknown	0	1
tagged M, bag note and orig. d/b	male	0	1
Term embryos		0	1
testes	male	0	1
throat balck, belly salt and pep		0	1
throat black; white line from ti		0	1
throat white		0	1
throat white; narrow mid-dorsal 		0	1
Tissue at LSU		0	1
tissue taken (DGM)		0	1
Tissue- ventrolateral scale clip		0	1
Tissue-liver sample		0	1
Tissue-Liver sample taken		0	1
Tissue-liver, blood ASU & UTEP		0	1
Tissue-retrolateral scaleclip ta		0	1
tissues		0	1
Tissue-scale clip		0	1
Tissue-scale clip taken		0	1
Tissue-scale clips		0	1
Tissue-tail tip		0	1
Tissue-Tail tip taken		0	1
to	unknown	0	1
toadlet		0	1
Transformed or nearly so		0	1
Transforming larva		0	1
u	unknown	0	1
Ufemale	female | unknown	0	1
Umale	male | unknown	0	1
Uundet.	unknown	0	1
u, adult	unknown	0	1
u, immature	unknown	0	1
u, immautre	unknown	0	1
u, juvenile	unknown	0	1
u, u	unknown	0	1
u. adult	unknown	0	1
U.female	female | unknown	0	1
U.male	male | unknown	0	1
U.S.	unknown	0	1
U?	in question	0	1
UAZ egg clutch 3, 1967		0	1
uknown	unknown	0	1
un	unknown	0	1
un.det.	unknown	0	1
uncertain	unknown	0	1
underlined M	male	0	1
Underside of tail red, belly and		0	1
undet.	unknown	0	1
undet.female	female | unknown	0	1
undet.male	male | unknown	0	1
undet..female	female | unknown	0	1
undet..male	male | unknown	0	1
undeterminable	indeterminable	0	1
undetermined	unknown	0	1
undetermined (shot in abdomen)		0	1
unk	unknown	0	1
unk  juv.	unknown	0	1
Unk - Juv. or neonatal	unknown	0	1
unk (imm. ?)	unknown	0	1
UNK imm.	unknown	0	1
unk, adult	unknown	0	1
Unk, imm	unknown	0	1
unk, imm.	unknown	0	1
unk, mixed symbol	unknown	0	1
unk, probably M	male	0	1
unk.	unknown	0	1
unk. - Imm	unknown	0	1
unk. (imm.)	unknown	0	1
unk. (juvenile)	unknown	0	1
unk. juvenile	unknown	0	1
Unk., (HY)	unknown	0	1
unk., Juv.	unknown	0	1
unknowable	indeterminable	0	1
Unknowm	unknown	0	1
unknown	unknown	1	1
unknown (downy young 1-3 days ol	unknown	0	1
unknown (juvenile)	unknown	0	1
unknown (shot in abdomen)		0	1
unknown , female ?	in question	0	1
unknown , male	male	0	1
unknown , unknown	unknown	0	1
unknown adult	unknown	0	1
unknown downy young	unknown	0	1
unknown female	female	0	1
unknown fledgling	unknown	0	1
unknown juvenile	unknown	0	1
unknown sex	unknown	0	1
unknown(imm.)	unknown	0	1
unknown/adult	unknown	0	1
unknown; SEE ER	unknown	0	1
Unknwon	unknown	0	1
Unkown	unknown	0	1
Unsexable	indeterminable	0	1
Unsexed	unknown	0	1
venter immaculate; throat interm		0	1
venter immaculate; throat white 		0	1
Ventral scales black with powder		0	1
Ventral scales powder blue; whit		0	1
ventral scales yellowish-cream w		0	1
Ventrals white & powder blue on 		0	1
winter phase		0	1
with light turquoise dorsal spec		0	1
X		0	1
xxx	unknown	0	1
Y.O.Y. female	female	0	1
Yankee Pond	unknown	0	1
Yearling female	female	0	1
yearling?		0	1
Yg	unknown	0	1
young		0	1
Young [Female ?]	in question	0	1
Young [Sex ?]	in question	0	1
Young adult		0	1
Young Adult Male	male	0	1
Young Female	female	0	1
Young Male	male	0	1
yy male	male	0	1
