verbatimLifeStage	standardLifeStage	standard	checked
11		0	0
11 adult and medium		0	0
11 adult, 7 larvae		0	0
11 ADULT; 14 JUVENILE		0	0
11 ADULT; 4 JUVENILE		0	0
11 ADULT; 47 JUVENILE		0	0
11 ADULT; 6 JUVENILE		0	0
11 ADULT; 9 JUVENILE		0	0
11 adults		0	0
11 days		0	0
11 days of incubation		0	0
11 days post-laying		0	0
11 days; Downy chick		0	0
11 juveniles		0	0
11 large embryos, 1 medium embry		0	0
11 large embryos, 1 medium embryo		0	0
11 moderate, 3 fresh		0	0
11 months		0	0
11 MONTHS OLD		0	0
11 MONTHS OLD, BASED ON BANDING		0	0
11 MONTHS OLD, BASED ON BANDING;		0	0
11 years		0	0
11 yr		0	0
11.5 days of incubation		0	0
11/10		0	0
1-1/3, 1 trace		0	0
1-1/3; 4 half		0	0
1-10 fresh; 11 large embryo; 12 		0	0
1-10 fresh; 11 large embryo; 12 not recorded		0	0
1-10 fresh; 11 small embryo		0	0
1-10 fresh; 11-12 large embryos		0	0
1-10 fresh; 11-12 small embryos		0	0
1-1-1		0	0
11-12 days		0	0
11-12 days old		0	0
11-13 days		0	0
114g wet, 67g dry		0	0
1-15 Fresh; 16 eyes formed; 17 b		0	0
1-15 Fresh; 16 eyes formed; 17 broken in nest.		0	0
116		0	0
1184 moderate-dead; 1185 moderat		0	0
1184 moderate-dead; 1185 moderate		0	0
1186 slight-dead-addled; 1187-11		0	0
1186 slight-dead-addled; 1187-1188 slight.		0	0
1189, 1191 fresh; 1190 slight		0	0
11K		0	0
11m, 16d		0	0
11yrs		0	0
12		0	0
1-2		0	0
12 ADULT; 34 JUVENILE		0	0
12 ADULT; 40 JUVENILE		0	0
1-2 år		0	0
12 d		0	0
1-2 day		0	0
12 Days		0	0
1-2 Days		0	0
12 days of incubation		0	0
12 days old	12 days old	0	1
12 days or more		0	0
1-2 DAYS POST-FLEDGLING; SKULL 0		0	0
12 days post-laying		0	0
12 days, 10 days, 8 days		0	0
1-2 days; Downy chick		0	0
12 Eggs Bloodshot		0	0
1-2 eggs starting		0	0
12 far advanced; 7 fresh		0	0
1-2 fresh; 3-4 large embryo; 5 n		0	0
1-2 fresh; 3-4 large embryo; 5 not recorded		0	0
12 hatched, 4 broken		0	0
12 juveniles		0	0
12 mi		0	0
12 or 13 days		0	0
12 or 14 days		0	0
12 or more		0	0
12 tadpoles		0	0
12 to 14 days		0	0
12 to 15 days		0	0
1-2 to pipped		0	0
1-2 weeks		0	0
12 years		0	0
12 years old		0	0
12 yr		0	0
1-2 yr		0	0
12 yrs		0	0
1-2 yrs		0	0
1-2 yrs.		0	0
12+ years		0	0
120		0	0
12-13 days		0	0
12-14 days		0	0
12-14 days old		0	0
12-15 days		0	0
12-16 days		0	0
1239a- Large embryo/ 1239b- Smal		0	0
1260 moderate-viable; 1261-1262 		0	0
1291 slight-moderate; 1292 moder		0	0
1291 slight-moderate; 1292 moderate		0	0
12K		0	0
12K+		0	0
13		0	0
13 ADULT; 4 JUVENILE		0	0
13 adults		0	0
1-3 advanced		0	0
13 days		0	0
1-3 days		0	0
13 days of incubation		0	0
13 days post-laying		0	0
1-3 fresh; 4 large embryo		0	0
13 hatched, 10 broken		0	0
13 larvae		0	0
13 mos		0	0
1-3 to 1-2		0	0
13 to 14 days		0	0
13 wks		0	0
13 years old		0	0
13 yr.		0	0
13.5 days of incubation		0	0
13+ years		0	0
1300-01 fresh, 1302 slight		0	0
1303-05 slight; 1304 no developm		0	0
1303-05 slight; 1304 no development		0	0
1306-07 fresh; 1308 very slight		0	0
13-1/3; 4-1/4		0	0
1312-14 slight; 1315 very slight		0	0
13-15 days		0	0
1320 Fresh; 1321 slight		0	0
1322 fresh; 1323 slight; 1324 sl		0	0
1322 fresh; 1323 slight; 1324 slight-viable		0	0
1335 fresh; 1336-37 slight		0	0
1351-52 Fresh; 1353 slight		0	0
1357-58 Fresh; 1359 slight		0	0
1360		0	1
1381 fresh; 1382 slight-- yolk l		0	0
1381 fresh; 1382 slight-- yolk lumpy; 1383 slight		0	0
1384 slight; 1385 fresh; 1386 ve		0	0
1384 slight; 1385 fresh; 1386 very slight		0	0
1387-88 fresh; 1389 very slight		0	0
1390-91 fresh; 1392 very slight;		0	0
1390-91 fresh; 1392 very slight; 1393 slight and d		0	0
13days		0	0
14		0	0
14 Days		0	0
1-4 days		0	0
14 days incubated		0	0
14 days of incubation		0	0
14 days old		0	0
14 days old chick		0	0
14 days post laying		0	0
1-4 days, 1 fresh		0	0
1-4 days, 1-2days, Black-billed 		0	0
1-4 days, 1-2days, Black-billed about 3 days		0	0
14 Days, Fragments		0	0
1-4 fresh		0	0
1-4 fresh; 5-12 small embryos		0	0
1-4 fresh; 5-7 large embryos		0	0
14 mos		0	0
1-4 small embryos; 5-7 fresh		0	0
14 to 16 days		0	0
14 WEEKS OLD		0	0
14.5 days of incubation		0	0
14+mo *		0	0
14-15 days		0	0
14-16 days		0	0
14-18 days		0	0
1429-30 fresh; 1431 slight		0	0
1436 fresh; 1437 slight; 1438 br		0	0
1436 fresh; 1437 slight; 1438 broken in nest; peck		0	0
1439-40 fresh; 1441 slight		0	0
1449 fresh; 1448, 40 slight		0	0
1451-52 fresh; 1453 slight		0	0
1454-55 fresh; 1456 slight		0	0
1457-58 fresh; 1459 slight		0	0
14D		0	0
14day min.		0	0
14days		0	0
14th calendar year		0	0
15		0	0
15 ADULT; 7 JUVENILE		0	0
15 adults		0	0
15 adults, 2 juveniles		0	0
15 Days		0	0
15 days of incubation		0	0
15 days post-laying		0	0
15 days, 1 egg fresh		0	0
15 days, 1 rotten		0	0
15 days.		0	0
15 days; Downy chick		0	0
15 jours		0	0
15 JUVENILE, 24 ADULT		0	0
15 larvae in tube		0	0
15 mo.		0	0
15 to 20 days		0	0
15 years		0	0
15%		0	0
15% incubated		0	0
15½ -16 days		0	0
15-18 days		0	0
15-18 days old		0	0
15-20 days		0	0
1551 fresh		0	0
1553 fresh		0	0
1555-56 fresh		0	0
1559 fresh		0	0
1562 slight; 1563 fresh		0	0
1566 fresh		0	0
1569-70 very slight		0	0
1572 fresh		0	0
1576 fresh		0	0
1578 advanced; 1579 infertile?		0	0
1582 fresh/infertile; 1583 moder		0	0
1582 fresh/infertile; 1583 moderate.		0	0
159		0	0
15K		0	0
16		0	0
16 day old chicks		0	0
16 days		0	0
16 days for 3, 1 addled		0	0
16 days incub.		0	0
16 days of incubation		0	0
16 days old		0	0
1-6 fresh; 7 small embryo		0	0
1-6 large embryos, 7-10 no embry		0	0
1-6 large embryos, 7-10 no embryos		0	0
16 to 18 days		0	0
16 year old female		0	1
16 years		0	0
16 yrs		0	0
16.5 days of incubation		0	0
16/7/85		0	0
16-20 days		0	0
16-fresh 17-advanced		0	0
16g		0	0
16K		0	0
16K+		0	0
17		0	0
17 ADULT; 50 JUVENILE		0	0
1-7 år		0	0
17 days		0	0
17 days of incubation		0	0
17 days post-laying		0	0
17 eggs, 10 left the nest		0	0
1-7 fresh, 8 small embryo, 9 lar		0	0
1-7 fresh, 8 small embryo, 9 large embryo		0	0
1-7 fresh; 8-11 large embryos		0	0
17 Rotten 1 Very Large Embryo		0	0
17 YEARS OLD		0	0
17-18 days		0	0
18 d		0	0
18 days	18 days	0	1
18 days of incubation		0	0
18 days old	18 days old	0	1
18 days post-laying		0	0
18 months		0	0
18 mos		0	0
18 to 20 days		0	0
18 years		0	0
18-20 days		0	0
1845 and 1848 advanced; 1846 no 		0	0
1861-63 slight		0	0
1866-67 fresh; 1864 cracked in n		0	0
1866-67 fresh; 1864 cracked in nest		0	0
1870 slight		0	0
1875-77 fresh		0	0
1880-81 fresh		0	0
1884-85 slight		0	0
1887-89 moderate		0	0
1891		0	0
1892 advanced		0	0
1897-98 fresh		0	0
19		0	0
19 ADULT; 24 JUVENILE		0	0
19 broken, 11 hatched, 3 develop		0	0
19 broken, 11 hatched, 3 developed and broken		0	0
19 days of incubation		0	0
19 days post-laying		0	0
1-9 fresh; 10 small embryo		0	0
1-9 fresh; 10-15 small embryo; 1		0	0
1-9 fresh; 10-15 small embryo; 16-17 large embryo		0	0
19 larvae		0	0
1-9 small embryos; 10-14 fresh		0	0
19 yrs		0	0
1901 fresh		0	0
1902		0	0
1904 fresh		0	0
195		0	0
195g wet, 85g dry		0	0
1995 Fragments!		0	0
1-addled- balance 1/3 to 2/3		0	0
1adv. 3 addled		0	0
1äggk.		0	0
1day		0	0
1-day juv.		0	0
1-dried up, 3-embryos large and 		0	0
1-embryo large and sof, 4-embryo		0	0
1-embryo large and soft, 2-a lit		0	0
1-embryo large and soft, 2-embry		0	0
1-embryo large and soft, 3-embry		0	0
1-embryo visible, 2-embryo large		0	0
1-faint trace of blood, 2-pronou		0	0
1-faint trace of blood, 3-pronou		0	0
1fresh:others begun		0	0
1-fresh; see card		0	0
1-infertile, 2-embryo		0	0
1j		0	0
1juv		0	0
1K		0	0
1K (juv.)		0	0
1K?		0	0
1K+		0	0
1KFl		0	0
1-large embryo, 1-infertile		0	0
1-one half, 2-two thirds incubat		0	0
1-one half, 2-two thirds incubated		0	0
1-pronounced trace of blood, 1-e		0	0
1-pronounced trace of blood, 2-e		0	0
1-pronounced trace of blood, 3-e		0	0
1-Showing blood, 2-Infertile		0	0
1small,2fresh,3small,4runt W Yol		0	0
1small,2fresh,3small,4runt W Yolk		0	0
1st		0	0
1st - few days, 3rd - Fresh		0	0
1ST BASIC PLUM.; BURSA 16 X 10 M		0	0
1st clutch frag- broke in nest. 		0	0
1st clutch frag- broke in nest. Also, 1 addled egg		0	0
1st cycle		0	0
1ST CYCLE; BURSA 15 X 15 MM		0	0
1st egg April 1, set taken Apr. 		0	0
1st egg layed 28th, 2nd layed 29		0	0
1st egg layed 28th, 2nd layed 29th		0	0
1st egg of season		0	0
1st spring	1st spring	0	1
1st stage		0	0
1st summer		0	0
1st summer SNFO		0	0
1st winter	1st winter	0	1
1st winter bird		0	0
1st y		0	0
1st y.		0	0
1st year		0	0
1st year bird		0	0
1st year bird; Immature		0	0
1st Year Female	first year	0	1
1st Year Male	first year	0	1
1ST YEAR SKIN		0	0
1st year skull		0	0
1st year skull /snco		0	0
1st year/snco		0	0
1st yr		0	0
1st yr.		0	0
1st yr. Male		0	0
1st yr. Spr		0	0
1st yr.?		0	0
1st yr?		0	0
1st.		0	0
1-strictly fresh, 1-faint trace 		0	0
1-strictly fresh, 2-faint trace 		0	0
1-strictly fresh, 2faint trace o		0	0
1x20%, 2 rotten		0	0
1y		0	0
1yr?		0	0
2		0	0
-2		0	0
2  - fresh		0	0
2 - 1/3; 1 - 1/2		0	0
2 - 1/4; 1 - 1/3		0	0
2 - 3 days		0	0
2 - fresh, 2 - showing blood		0	0
2 & 3yr.		0	0
2 & 4 days		0	0
2 + 3 days		0	0
2- 28 days, 1 infertile		0	0
2 3" larvae		0	0
2 6-7 days, 1 infertile		0	0
2 abandoned and dented eggs.		0	0
2 about 5/8, 1 infertile		0	0
2 about 50%, 1 infertile		0	0
2 addled		0	0
2 addled - 1 advanced		0	0
2 addled - 2 advanced		0	0
2 addled - 2 slight		0	0
2 addled , 2 about 1/3		0	0
2 addled 2 slight		0	0
2 addled eggs		0	0
2 Addled Eggs Plus Fragments		0	0
2 addled eggs, 3 young		0	0
2 Addled eggs, broken; 1 fragmen		0	0
2 Addled eggs, broken; 1 fragments only		0	0
2 addled eggs: others had hatche		0	0
2 addled eggs: others had hatched.		0	0
2 addled other about 1/2		0	0
2 addled, 1 advanced		0	0
2 addled, 1 half		0	0
2 addled, 1 hatched in lab, 1 di		0	0
2 addled, 1 hatched in lab, 1 died in lab		0	0
2 addled, 1 pipped		0	0
2 addled, 1 ready to hatch		0	0
2 addled, 1 small embryo		0	0
2 addled, 1 young bird		0	0
2 addled, 2 fresh		0	0
2 addled, 2 young hatched		0	0
2 addled, 2 young just hatched		0	0
2 adult		0	0
2 ADULT; 11 JUVENILE		0	0
2 ADULT; 16 JUVENILE		0	0
2 ADULT; 27 JUVENILE		0	0
2 ADULT; 28 JUVENILE		0	0
2 ADULT; 3 JUVENILE		0	0
2 ADULT; 38 JUVENILE		0	0
2 ADULT; 63 LARVA		0	0
2 adults		0	0
2 adults, 1 juvenile		0	0
2 adults, 2 small		0	0
2 adults, 3 juveniles		0	0
2 adv. 2 infertile		0	0
2 adv. 4 addled		0	0
2 advanced - 1 addled		0	0
2 advanced 2 infertile		0	0
2 advanced to feathers; 1 unfert		0	0
2 advanced, 1 addled		0	0
2 advanced, 1 fresh		0	0
2 advanced, 1 infertile		0	0
2 advanced, 2 addled		0	0
2 advanced, 2 begun		0	0
2 advanced, 2 infertile		0	0
2 advanced, 2 rotten		0	0
2 advanced, 3 addled		0	0
2 advanced, 3 advanced & rotten		0	0
2 advanced; 1 infert.		0	0
2 advanced; 1 one third; 2 fresh		0	0
2 almost hatching		0	0
2 already pipped for hatching.		0	0
2 and 4 days		0	0
2 bad eggs, 2 young.		0	0
2 begun		0	0
2 begun, 1 addled		0	0
2 begun, 1 fresh		0	0
2 begun, 1 half-hatched, 2 nearl		0	0
2 begun, 2 a fifth		0	0
2 begun, 2 fresh		0	0
2 begun, 2 medium		0	0
2 begun; 1 fresh		0	0
2 begun; 3 fresh.		0	0
2 big embryos, 3 small embryos, 		0	0
2 big embryos, 3 small embryos, 2 with blood		0	0
2 broken		0	0
2 broken, 1 fresh		0	0
2 C yr		0	0
2 chicks		0	0
2 chicks - 4-5 days old		0	0
2 chicks + 1 egg		0	0
2 chicks + 1 egg in nest		0	0
2 chicks 4 weeks + 1 egg		0	0
2 chicks approx. 2.5 weeks old +		0	0
2 chicks approx. 2.5 weeks old + 1 egg		0	0
2 chicks wfvz#5993 & 5994 + 1 eg		0	0
2 chicks wfvz#5993 & 5994 + 1 egg broken		0	0
2 chicks, 1 egg		0	0
2 chicks, 5 weeks + 1 broken egg		0	0
2 clutch		0	0
2 comm, 2 fresh		0	0
2 commenced 2 fresh		0	0
2 commenced, 1 fresh		0	0
2 commenced, 2 fresh		0	0
2 contained live young and 1 was		0	0
2 contained live young and 1 was rotten		0	0
2 cracked + dry, 1 addled		0	0
2 day		0	0
2 dayas (nest held 1 egg Mar. 27		0	0
2 dayas (nest held 1 egg Mar. 27)		0	0
2 days		0	0
2 days - 4 eggs Apr 22		0	0
2 days - found before		0	0
2 days - Trace in 1		0	0
2 days - trace of red		0	0
2 days (1 egg, lighter than the 		0	0
2 days (4), fresh (2)		0	0
2 days (but fresh)		0	0
2 days (held 3 on the 28th)		0	0
2 days (is apparently infertile)		0	0
2 days (trace of red)		0	0
2 Days At Least. 2 Eggs Bloodsho		0	0
2 Days At Least. 2 Eggs Bloodshot		0	0
2 days but fresh		0	0
2 days definitely slightly inc. 		0	0
2 days incubated		0	0
2 days old		0	0
2 days old; Downy chick		0	0
2 days on last egg		0	0
2 days or so		0	0
2 days, 1 fresh		0	0
2 days, 4 very slight, 4 inferti		0	0
2 days, 4 very slight, 4 infertile		0	0
2 days, appear fresh		0	0
2 days, trace and fresh		0	0
2 days.		0	0
2 Days. Not Visible In Blowing		0	0
2 days; 1 infertile		0	0
2 decomposing small embryos		0	0
2 dev. And broken, 1 addled and 		0	0
2 dev. And broken, 1 addled and broken (covered wi		0	0
2 died in incubator, 1 hatched		0	0
2 egg fresh or infertile, 5 egg 		0	0
2 egg fresh or infertile, 5 egg slight to 6 days.		0	0
2 egg much incubated; 1 egg addl		0	0
2 egg much incubated; 1 egg addled		0	0
2 eggs - same nest		0	0
2 eggs & 1 young 3 weeks old		0	0
2 eggs + 1 young		0	0
2 eggs 1/4 advanced, 2 eggs 1/3 		0	0
2 eggs 1/4 advanced, 2 eggs 1/3 advanced		0	0
2 eggs 3/4 set, 1 egg nearly hat		0	0
2 eggs 4/5 set; 2 eggs 2/3 set		0	0
2 eggs addled and 2 started.		0	0
2 eggs addled, 1 egg inc. 10 -12		0	0
2 eggs addled, 1 egg inc. 10 -12 days		0	0
2 eggs addled, 2 incubated		0	0
2 eggs advanced, 2 addled		0	0
2 eggs and 2 chicks in nest		0	0
2 eggs failed- both contained fe		0	0
2 eggs failed- both contained feathered embryos		0	0
2 eggs fertile, 2 eggs seven eig		0	0
2 eggs fertile, 2 eggs seven eighths		0	0
2 eggs fresh, 1 trace, 1 slight		0	0
2 eggs fresh, 2830a very incubat		0	0
2 eggs fresh; 2 slightly incubat		0	0
2 eggs fresh; 5 incubated very s		0	0
2 eggs fresh; 5 incubated very slightly.		0	0
2 eggs hatched in wild		0	0
2 eggs hatched under a chicken, 		0	0
2 eggs hatched under a chicken, 1 addled		0	0
2 Eggs Hatching & I Addled		0	0
2 eggs in failed nest		0	0
2 eggs incubated		0	0
2 eggs incubated other two are n		0	0
2 eggs infertile, 3 eggs incubat		0	0
2 eggs infertile, 3 eggs incubated 1 week		0	0
2 eggs May 24		0	0
2 eggs rotten, others about 3/4 		0	0
2 eggs rotten, others about 3/4 incubated.		0	0
2 eggs showing, 2 fresh		0	0
2 eggs slight, 2 well along		0	0
2 eggs slight, others not starte		0	0
2 eggs slight, others not started		0	0
2 eggs- very large embryo, 2 egg		0	0
2 eggs- very large embryo, 2 egg- infertile		0	0
2 eggs with fully formed embryos		0	0
2 eggs with fully formed embryos, 5 were addled.		0	0
2 eggs, 1 chick (2/2 ready to ha		0	0
2 eggs, 1 chick (2/2 ready to hatch)		0	0
2 embryo full grown, 1 infertile		0	0
2 embryos, 1 infertile.		0	0
2 embryos, both in first 1/4 of 		0	0
2 Eyases Produced		0	0
2 failed eggs + 1 young		0	0
2 faint trace of blood, 3 pronou		0	0
2 fairly fresh, 1 well set		0	0
2 Far advanced, 1 Infertile		0	0
2 far advanced, 1 rotten		0	0
2 feathered, 1 infertile		0	0
2 Female Eyases Produced		0	0
2 five days 1 infertile		0	0
2 for ad; 1 1/28 2 infertile		0	0
2 formed		0	0
2 Fresh		0	0
2 fresh & 1 incubated		0	0
2 Fresh & 2 started		0	0
2 fresh & others well along		0	0
2 fresh (incubation for other 4 		0	0
2 fresh a & b; other varying		0	0
2 fresh and 1 small embryo		0	0
2 fresh and 2 started		0	0
2 fresh and 4 begun		0	0
2 Fresh And 4 Started		0	0
2 fresh and others one-third		0	0
2 fresh eggs and one badly incub		0	0
2 fresh, + 2 small embryos		0	0
2 fresh, 1 addled		0	0
2 fresh, 1 advanced		0	0
2 fresh, 1 ancient		0	0
2 fresh, 1 bloody		0	0
2 fresh, 1 broke during preparat		0	0
2 fresh, 1 broke during preparation		0	0
2 Fresh, 1 dried up		0	0
2 fresh, 1 inc		0	0
2 fresh, 1 incu.		0	0
2 fresh, 1 just showing blood		0	0
2 fresh, 1 just started		0	0
2 fresh, 1 one day		0	0
2 fresh, 1 rotten		0	0
2 fresh, 1 showing		0	0
2 Fresh, 1 Showing Blood		0	0
2 fresh, 1 showing blood, 1 very		0	0
2 fresh, 1 showing blood, 1 very small embryos		0	0
2 fresh, 1 slight		0	0
2 Fresh, 1 Slight Trace Of Blood		0	0
2 fresh, 1 slight, 1 addled		0	0
2 fresh, 1 small embryo		0	0
2 fresh, 1 small embryos		0	0
2 Fresh, 1 Started		0	0
2 fresh, 1 started, 1 broken		0	0
2 fresh, 1 trace		0	0
2 fresh, 1 trace of blood		0	0
2 fresh, 1 trace, 3 slight		0	0
2 fresh, 1 very slight		0	0
2 fresh, 1 well begun		0	0
2 fresh, 2 about 5 or 6 days		0	0
2 fresh, 2 addled		0	0
2 fresh, 2 advanced		0	0
2 fresh, 2 badly incubated, 1 bl		0	0
2 fresh, 2 badly incubated, 1 blackened		0	0
2 fresh, 2 begun		0	0
2 Fresh, 2 Commeced		0	0
2 fresh, 2 commenced		0	0
2 fresh, 2 feathered embryos		0	0
2 fresh, 2 incubated		0	0
2 fresh, 2 just started		0	0
2 fresh, 2 one day		0	0
2 fresh, 2 showing blood		0	0
2 fresh, 2 showing blood, 1 infe		0	0
2 fresh, 2 showing blood, 1 infertile		0	0
2 fresh, 2 showing blood, 2 very		0	0
2 fresh, 2 showing blood, 2 very small embryos.		0	0
2 fresh, 2 slight		0	0
2 Fresh, 2 Slight Trace Of Blood		0	0
2 Fresh, 2 Slight Trace, 2 Trace		0	0
2 fresh, 2 slightly incubated		0	0
2 fresh, 2 started		0	0
2 fresh, 2 started, 1 -1/5		0	0
2 fresh, 2 trace		0	0
2 fresh, 2 well advanced		0	0
2 Fresh, 2 with blood traces		0	0
2 fresh, 3 begun		0	0
2 fresh, 3 just started		0	0
2 Fresh, 3 Showing Blood		0	0
2 fresh, 3 showing blood.		0	0
2 fresh, 3 slight		0	0
2 fresh, 3 small embryos		0	0
2 Fresh, 3 started.		0	0
2 fresh, 3 trace of blood		0	0
2 fresh, 4 showing blood		0	0
2 fresh, 4 started		0	0
2 fresh, 5 showing blood		0	0
2 fresh, a trace of red in 1		0	0
2 fresh, dead embryo		0	0
2 fresh, others begun		0	0
2 Fresh, Others Slight To 2/3		0	0
2 fresh. 3 about 1/3		0	0
2 fresh. 4 just started		0	0
2 fresh. 5 just started		0	0
2 fresh/1 small embryo		0	0
2 Fresh; 1 Begun		0	0
2 fresh; 1 commenced		0	0
2 fresh; 1 half incubated		0	0
2 fresh; 1 just begun		0	0
2 fresh; 1 just started		0	0
2 fresh; 1 slightly inc.		0	0
2 Fresh; 1 Started		0	0
2 fresh; 1 trace; 1 begun		0	0
2 fresh; 1 with trace of blood		0	0
2 fresh; 2 commenced		0	0
2 fresh; 2 infert.		0	0
2 fresh; 2 slightly incubated		0	0
2 Fresh; 2 Started		0	0
2 fresh; 2 started; no yolk in 1		0	0
2 fresh; 2 started; no yolk in r		0	0
2 fresh; 2 started; no yolk in runt		0	0
2 fresh; 3 started		0	0
2 fresh; 4 commenced		0	0
2 fresh; 4 faint trace		0	0
2 fresh; one slight		0	0
2 frogs		0	0
2 GHO eggs + 1 chick from '93 RS		0	0
2 GHO eggs + 1 chick from '93 RSH nest.		0	0
2 hacked, 1 radioed; 97-SC07-ES-		0	0
2 hacked, 1 radioed; 97-SC07-ES-1, fragments		0	0
2 had pipped		0	0
2 half rotten, 1 fresh		0	0
2 half, 1 infertile		0	0
2 half; 1 infertile		0	0
2 hard embryos, 2 infertile		0	0
2 hard, 1 addled		0	0
2 Hatched		0	0
2 hatched eggs of host, 5 cowbir		0	0
2 hatched in captivity, 1 infert		0	0
2 hatched in captivity, 1 infertile		0	0
2 hatched young died in nest		0	0
2 hatched, 1 embryo		0	0
2 hatched, one still being incub		0	0
2 hatched, one still being incubated		0	0
2 hatching, 2 infertile		0	0
2 heavy, 1 clear		0	0
2 heavy, 1 infertile		0	0
2 highly incubated, 2 infertile		0	0
2 highly incubated; 1 infertile		0	0
2 host fresh, 1 host started, 1 		0	0
2 host infertile, 2 host full in		0	0
2 host slight, 1 host addled, al		0	0
2 host slight, 2 host and cowbir		0	0
2 HOURS OLD		0	0
2 immature		0	0
2 incubated 5 days, 2 rotten		0	0
2 incubated eggs		0	0
2 incubated, 1 infertile		0	0
2 infert. 2 advanced		0	0
2 infert.; one 18 days gone		0	0
2 Infertile		0	0
2 infertile 2 about half		0	0
2 Infertile, 1 3/4		0	0
2 infertile, 1 advanced		0	0
2 infertile, 1 begun		0	0
2 infertile, 1 large fledgling		0	0
2 infertile, 1 slight		0	0
2 infertile, 2 advanced		0	0
2 infertile, 2 at .4		0	0
2 infertile, 2 young		0	0
2 infertile, 2-15 to 18 days		0	0
2 infertile, 3 about 2/3		0	0
2 infertile, 3 chicks (natal dow		0	0
2 infertile, one 1/2		0	0
2 infertile. The other 3 hatched		0	0
2 infertile. The other 3 hatched and reared.		0	0
2 infertile/ 1 with dead embryos		0	0
2 infertile; 1 advanced		0	0
2 infertile; 2 advanced		0	0
2 infertile; 2 three days		0	0
2 infertile; 2 well begun		0	0
2 infertile; 3 started		0	0
2 infertile; fresh - trace		0	0
2 infertile-2 about 2/3		0	0
2 J		0	0
2 jars		0	0
2 just begun, 1 none		0	0
2 just started; 1 - 1/4		0	0
2 juv		0	0
2 juvenile		0	0
2 JUVENILE*; 1 ADULT		0	0
2 JUVENILE, 10 ADULT		0	0
2 JUVENILE; 1 ADULT		0	0
2 JUVENILE; 1 ADULT M		0	0
2 JUVENILE; 2 ADULT		0	0
2 JUVENILE; 2 ADULT*		0	0
2 JUVENILE; 3 ADULT		0	0
2 JUVENILE; 4 ADULT		0	0
2 juveniles		0	0
2 K		0	0
2 large embryo, 1 fresh		0	0
2 Large Embryos		0	0
2 large embryos ; abandoned		0	0
2 large embryos 1 infertile		0	0
2 large embryos, 1 infertile		0	0
2 large embryos, 1 no developmen		0	0
2 large embryos, 1 no development		0	0
2 large embryos, 2 infertile (da		0	0
2 large embryos; 1 infertile		0	0
2 large embryos; abandoned		0	0
2 large embryos; these and all o		0	0
2 large embryos; these and all others rotten, crac		0	0
2 large embyros, 1 infertile		0	0
2 large tough embryos, 3 down st		0	0
2 large, 1 medium embryo		0	0
2 larva		0	0
2 larvae		0	0
2 larvae (yearlings)		0	0
2 må		0	0
2 MALES, 2 FEMALES		0	0
2 Med, 2 Small embryos		0	0
2 med. Embryos		0	0
2 med. Embryos, 1 addled		0	0
2 medium embryos		0	0
2 medium embryos, 1 large embryo		0	0
2 medium embryos, 1 small embryo		0	0
2 medium, 1 small embryo		0	0
2 medium, 3 large embryos		0	0
2 Melozone biarcuatum showing bl		0	0
2 mo		0	0
2 moderate (bird just formed), 1		0	0
2 moderate (bird just formed), 1 fresh [?un]		0	0
2 moderate embryos, 1 unfertiliz		0	0
2 moderate embryos, 1 unfertilized		0	0
2 moderate embryos, 2 rotten		0	0
2 moderate, 2 unfertile		0	0
2 months		0	0
2 nearly fresh, 1 well incubated		0	0
2 Nestlings	nestlings	0	1
2 Nestlings [Sex ?]	nestling	0	1
2 nestlings 3.5 weeks in nest		0	0
2 nestlings also collected (RC29		0	0
2 nestlings also collected (RC2924 & 2925)		0	0
2 nestlings collected (RC2786 & 		0	0
2 nestlings collected (RC2786 & RC2787)		0	0
2 nestlings collected (wfvz#'s 5		0	0
2 nestlings collected (wfvz#'s 54961, 62)		0	0
2 nests		0	0
2 none, 3 advanced		0	0
2 not fertile, started		0	0
2 of 5 eggs laid in captivity		0	0
2 of them natural size. Eggs in 		0	0
2 of them natural size. Eggs in nest in 15 inst.		0	0
2 on 3 days		0	0
2 one-half; rest three-fourths		0	0
2 one-third; 2 infert.		0	0
2 one-third; others infert.		0	0
2 Or 3 Days		0	0
2 or 3 days advanced		0	0
2 or 3 days started		0	0
2 or 4 days		0	0
2 pipped - practically hatching!		0	0
2 pulli		0	0
2 recently hatched young. 1 egg 		0	0
2 recently hatched young. 1 egg Infertile		0	0
2 rotten; 2 soft embryos		0	0
2 runts fresh, trace of yolk in 		0	0
2 runts fresh, trace of yolk in both; Nest also he		0	0
2 samples		0	0
2 samples, both fragments; Layer		0	0
2 samples, both fragments; Layer A; Layer B		0	0
2 sets eggshell fragments; addle		0	0
2 sets eggshell fragments; addled		0	0
2 sets fragments collected; addl		0	0
2 sets fragments collected; addled		0	0
2 sets of fragments in on foil		0	0
2 show blood, 3 small, 1 med. em		0	0
2 show blood, 3 small, 1 med. embryos		0	0
2 Showing Blood		0	0
2 showing blood, 1 fresh		0	0
2 showing blood, 1 infertile		0	0
2 showing blood, 1 small embryo		0	0
2 showing blood, 1 v. small embr		0	0
2 showing blood, 1 v. small embryo		0	0
2 showing blood, 1 very small em		0	0
2 showing blood, 1 very small embryo		0	0
2 Showing blood, 2 Small embryos		0	0
2 showing blood; 1 fresh		0	0
2 showing blood; 1 small embryo		0	0
2 showing, 1 fresh		0	0
2 showing, 3 fresh		0	0
2 showing; 1 fresh		0	0
2 slight + 1 advanced		0	0
2 slight 2 well advanced		0	0
