"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
"Small & Very Small Embryos",,,0,"John Wieczorek","2017-08-25"
"Small (dead) embryo #2
infertil",,,0,"John Wieczorek","2018-10-10"
"small ad.","young adult",,1,"John Wieczorek","2017-08-25"
"small adult",,,0,"John Wieczorek","2017-08-25"
"small advanced - medium, about 1",,,0,"John Wieczorek","2017-08-25"
"small amount of dev.;eye spot",,,0,"John Wieczorek","2018-10-10"
"small amount of development; eye",,,0,"John Wieczorek","2018-10-10"
"small amt. of dev.; eye spot",,,0,"John Wieczorek","2018-10-10"
"Small and large embryos",,,0,"John Wieczorek","2017-08-25"
"small and medium embryos",,,0,"John Wieczorek","2017-08-25"
"Small bird formed",,,0,"John Wieczorek","2017-08-25"
"small bloody embryos",,,0,"John Wieczorek","2017-08-25"
"small bones",,,0,"John Wieczorek","2017-08-25"
"Small Cc-red thread, Rest fresh",,,0,"John Wieczorek","2017-08-25"
"Small central skull windows",,,0,"John Wieczorek","2017-08-25"
"small chick",,,0,"John Wieczorek","2017-08-25"
"small clot of red",,,0,"John Wieczorek","2017-08-25"
"Small dead embryo, nest was dese",,,0,"John Wieczorek","2017-08-25"
"small decomposing embryos",,,0,"John Wieczorek","2017-08-25"
"Small Emb",,,0,"John Wieczorek","2017-08-25"
"small emb.",,,0,"John Wieczorek","2017-08-25"
"small embreo",,,0,"John Wieczorek","2017-08-25"
"Small Embros",,,0,"John Wieczorek","2017-08-25"
"small embroys",,,0,"John Wieczorek","2017-08-25"
"small embry",,,0,"John Wieczorek","2017-08-25"
"Small embryo",,,0,"John Wieczorek","2017-08-25"
"small embryo - addled",,,0,"John Wieczorek","2017-08-25"
"Small Embryo &  Very Small Embry",,,0,"John Wieczorek","2017-08-25"
"Small Embryo &  Very Small Embryos",,,0,"John Wieczorek","2017-08-25"
"Small Embryo & Addled (fresh?)",,,0,"John Wieczorek","2017-08-25"
"small embryo & showing blood",,,0,"John Wieczorek","2017-08-25"
"Small Embryo & Two Young",,,0,"John Wieczorek","2017-08-25"
"Small embryo (1), Infertile (1)",,,0,"John Wieczorek","2017-08-25"
"Small embryo (5 days)",,,0,"John Wieczorek","2017-08-25"
"small embryo (about 5 days).",,,0,"John Wieczorek","2017-08-25"
"small embryo ; little vasculariz",,,0,"John Wieczorek","2018-10-10"
"small embryo + 2 young",,,0,"John Wieczorek","2018-10-10"
"small embryo 2 infertile",,,0,"John Wieczorek","2017-08-25"
"small embryo, embryo",,,0,"John Wieczorek","2017-08-25"
"small embryo, hatched",,,0,"John Wieczorek","2017-08-25"
"small embryo, or about 6 days",,,0,"John Wieczorek","2017-08-25"
"Small embryo. Nest contained 1 y",,,0,"John Wieczorek","2017-08-25"
"Small embryo. Nest contained 1 young",,,0,"John Wieczorek","2017-08-25"
"Small embryo. Pellets collected",,,0,"John Wieczorek","2017-08-25"
"Small embryo;  heavily spotted e",,,0,"John Wieczorek","2017-08-25"
"Small embryo; cracked and rotten",,,0,"John Wieczorek","2017-08-25"
"small embryo; vascularized",,,0,"John Wieczorek","2018-10-10"
"Small embryos",,,0,"John Wieczorek","2017-08-25"
"Small embryos - 1 addled",,,0,"John Wieczorek","2017-08-25"
"small embryos - 2",,,0,"John Wieczorek","2017-08-25"
"small embryos - sterile",,,0,"John Wieczorek","2017-08-25"
"small embryos (1 infertile)",,,0,"John Wieczorek","2017-08-25"
"small embryos (2 unfertile)",,,0,"John Wieczorek","2017-08-25"
"small embryos (4 days)",,,0,"John Wieczorek","2017-08-25"
"small embryos (5 days)",,,0,"John Wieczorek","2017-08-25"
"small embryos (about 7 days)",,,0,"John Wieczorek","2017-08-25"
"Small embryos (caustic)",,,0,"John Wieczorek","2017-08-25"
"small embryos (eggs incubated 4 ",,,0,"John Wieczorek","2017-08-25"
"Small embryos (eyes)",,,0,"John Wieczorek","2017-08-25"
"small embryos (showing blood)",,,0,"John Wieczorek","2017-08-25"
"small embryos (the small egg ""ad",,,0,"John Wieczorek","2017-08-25"
"small embryos (the small egg ""addle"")",,,0,"John Wieczorek","2017-08-25"
"small embryos (three eggs on Jun",,,0,"John Wieczorek","2017-08-25"
"Small embryos (variable)",,,0,"John Wieczorek","2017-08-25"
"small embryos , 2 addled",,,0,"John Wieczorek","2017-08-25"
"small embryos -> large embryos",,,0,"John Wieczorek","2017-08-25"
"small embryos formed",,,0,"John Wieczorek","2017-08-25"
"small embryos in 3 and c.b.; 1 a",,,0,"John Wieczorek","2017-08-25"
"small embryos in 3 host and cowb",,,0,"John Wieczorek","2017-08-25"
"Small embryos in all eggs",,,0,"John Wieczorek","2017-08-25"
"small embryos in both eggs",,,0,"John Wieczorek","2017-08-25"
"Small Embryos In Most Advanced",,,0,"John Wieczorek","2017-08-25"
"small embryos in some",,,0,"John Wieczorek","2017-08-25"
"Small embryos to advanced",,,0,"John Wieczorek","2017-08-25"
"small embryos to slight",,,0,"John Wieczorek","2017-08-25"
"Small embryos, 2 eggs more incub",,,0,"John Wieczorek","2017-08-25"
"Small embryos, 2 eggs more incubated",,,0,"John Wieczorek","2017-08-25"
"small embryos, 2 infertile",,,0,"John Wieczorek","2017-08-25"
"small embryos, about five days",,,0,"John Wieczorek","2017-08-25"
"small embryos, large embryos",,,0,"John Wieczorek","2017-08-25"
"small embryos, soft bones",,,0,"John Wieczorek","2017-08-25"
"Small Embryos, Variable",,,0,"John Wieczorek","2017-08-25"
"Small embryos.",,,0,"John Wieczorek","2017-08-25"
"Small Embryos. #3 Very Small Emb",,,0,"John Wieczorek","2017-08-25"
"Small Embryos. #3 Very Small Embryo",,,0,"John Wieczorek","2017-08-25"
"small embryos: 1
large embryos:",,,0,"John Wieczorek","2018-10-10"
"Small Embryos: -2   ;   Infertil",,,0,"John Wieczorek","2017-08-25"
"Small Embryos: -2   ;   Infertile: -1",,,0,"John Wieczorek","2017-08-25"
"small embryos: 5",,,0,"John Wieczorek","2017-08-25"
"Small embryos: large embryos",,,0,"John Wieczorek","2017-08-25"
"Small embryos; 1 broken but patc",,,0,"John Wieczorek","2017-08-25"
"small embryos; large embryos",,,0,"John Wieczorek","2017-08-25"
"small embryos; see card.",,,0,"John Wieczorek","2017-08-25"
"small embryos; slightly variable",,,0,"John Wieczorek","2017-08-25"
"Small Embryos>very Small Embryos",,,0,"John Wieczorek","2017-08-25"
"small embryros",,,0,"John Wieczorek","2017-08-25"
"Small embs",,,0,"John Wieczorek","2017-08-25"
"Small embs.",,,0,"John Wieczorek","2017-08-25"
"Small embyo",,,0,"John Wieczorek","2017-08-25"
"small embyros",,,0,"John Wieczorek","2017-08-25"
"small embyros; showing blood",,,0,"John Wieczorek","2018-10-10"
"small emryos",,,0,"John Wieczorek","2017-08-25"
"Small enbryos",,,0,"John Wieczorek","2017-08-25"
"Small eyes",,,0,"John Wieczorek","2017-08-25"
"Small eyes in embryos",,,0,"John Wieczorek","2017-08-25"
"Small feather stage; one egg inf",,,0,"John Wieczorek","2017-08-25"
"Small feather stage; one egg infertile",,,0,"John Wieczorek","2017-08-25"
"small feet formed (well along)",,,0,"John Wieczorek","2017-08-25"
"small germ spot",,,0,"John Wieczorek","2018-10-10"
"small germ spot present",,,0,"John Wieczorek","2018-10-10"
"small is infertile, large is ful",,,0,"John Wieczorek","2017-08-25"
"small is infertile, large is fully incubated",,,0,"John Wieczorek","2017-08-25"
"small juv in down",,,0,"John Wieczorek","2017-08-25"
"Small rotten embryo",,,0,"John Wieczorek","2017-08-25"
"Small skull window",,,0,"John Wieczorek","2017-08-25"
"Small skull windows",,,0,"John Wieczorek","2017-08-25"
"Small soft embryo",,,0,"John Wieczorek","2017-08-25"
"small soft embryos",,,0,"John Wieczorek","2017-08-25"
"Small soft embryos.",,,0,"John Wieczorek","2017-08-25"
"Small soft embs.",,,0,"John Wieczorek","2017-08-25"
"Small to large embryos",,,0,"John Wieczorek","2017-08-25"
"Small trace",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood, Fresh",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood>trace Of Bl",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood>trace Of Blood",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood>very Small ",,,0,"John Wieczorek","2017-08-25"
"Small Trace Of Blood>very Small Emb",,,0,"John Wieczorek","2017-08-25"
"small white circular area on yol",,,0,"John Wieczorek","2018-10-10"
"Small, soft embroys",,,0,"John Wieczorek","2017-08-25"
"small, soft embryos",,,0,"John Wieczorek","2017-08-25"
"smallembryos",,,0,"John Wieczorek","2017-08-25"
"Smaller cuckoo red thread, Rest ",,,0,"John Wieczorek","2017-08-25"
"smaller egg fresh, larger fairly",,,0,"John Wieczorek","2017-08-25"
"smaller egg fresh, larger fairly well set",,,0,"John Wieczorek","2017-08-25"
"smallish embryos",,,0,"John Wieczorek","2018-10-10"
"small-med embryos",,,0,"John Wieczorek","2017-08-25"
"smashed, small embryo",,,0,"John Wieczorek","2017-08-25"
"Smull windows",,,0,"John Wieczorek","2017-08-25"
"snco",,,0,"John Wieczorek","2017-08-25"
"snco ?",,,0,"John Wieczorek","2017-08-25"
"snco late",,,0,"John Wieczorek","2017-08-25"
"snco, nearly complete",,,0,"John Wieczorek","2017-08-25"
"snco, not ossified anteriorly",,,0,"John Wieczorek","2017-08-25"
"snco, skull nearly open",,,0,"John Wieczorek","2017-08-25"
"snco/ 1st year skull",,,0,"John Wieczorek","2017-08-25"
"snco/base of bill bright yellow",,,0,"John Wieczorek","2017-08-25"
"snco/bill black",,,0,"John Wieczorek","2017-08-25"
"snco; Adult",,,0,"John Wieczorek","2017-08-25"
"snco?",,,0,"John Wieczorek","2017-08-25"
"SNFO",,,0,"John Wieczorek","2017-08-25"
"SNFO 1 st winter",,,0,"John Wieczorek","2017-08-25"
"SNFO ad",,,0,"John Wieczorek","2017-08-25"
"SNFO ad breeding",,,0,"John Wieczorek","2017-08-25"
"SNFO, imm",,,0,"John Wieczorek","2017-08-25"
"SNO",,,0,"John Wieczorek","2017-08-25"
"SNO juv",,,0,"John Wieczorek","2017-08-25"
"SNO juv.",,,0,"John Wieczorek","2017-08-25"
"SO",,,0,"John Wieczorek","2017-08-25"
"Soft",,,0,"John Wieczorek","2017-08-25"
"Soft bone embryos",,,0,"John Wieczorek","2017-08-25"
"soft bones",,,0,"John Wieczorek","2017-08-25"
"Soft bones formed",,,0,"John Wieczorek","2017-08-25"
"Soft bones forming",,,0,"John Wieczorek","2017-08-25"
"Soft bones forming.",,,0,"John Wieczorek","2017-08-25"
"Soft bones in 3. 5 addled.",,,0,"John Wieczorek","2017-08-25"
"Soft bones well formed",,,0,"John Wieczorek","2017-08-25"
"soft but well developed embryos",,,0,"John Wieczorek","2017-08-25"
"soft but well formed embryos",,,0,"John Wieczorek","2017-08-25"
"soft but well-formed embryos",,,0,"John Wieczorek","2017-08-25"
"Soft embroys",,,0,"John Wieczorek","2017-08-25"
"Soft embryis",,,0,"John Wieczorek","2017-08-25"
"Soft Embryo",,,0,"John Wieczorek","2017-08-25"
"soft embryo - probably four days",,,0,"John Wieczorek","2017-08-25"
"soft embryo in all",,,0,"John Wieczorek","2017-08-25"
"Soft Embryos",,,0,"John Wieczorek","2017-08-25"
"soft embryos - bones just formed",,,0,"John Wieczorek","2017-08-25"
"soft embryos (10 days inc.)",,,0,"John Wieczorek","2017-08-25"
"Soft embryos (2 on May 13)",,,0,"John Wieczorek","2017-08-25"
"Soft embryos (4 days)",,,0,"John Wieczorek","2017-08-25"
"Soft embryos (originally 8 eggs ",,,0,"John Wieczorek","2017-08-25"
"Soft embryos (originally 8 eggs - 3 broken)",,,0,"John Wieczorek","2017-08-25"
"Soft embryos (probably 1 week)",,,0,"John Wieczorek","2017-08-25"
"soft embryos 1/3",,,0,"John Wieczorek","2017-08-25"
