verbatimIdentificationQualifier	standardIdentificationQualifier	standard	checked
sp. (xantha ms)	sp.	0	1
sp. ?	species in question	0	1
sp. ??	species in question	0	1
sp. ???	species in question	0	1
sp. [? terminata]	cf. terminata	0	1
sp. “adiposa larga”	sp. nov.	0	1
sp. “banded”	sp. nov.	0	1
sp. “brown”	sp. nov.	0	1
sp. “bryconamericus”	sp. nov.	0	1
sp. “bullocki”	sp. nov.	0	1
sp. “chata”	sp. nov.	0	1
sp. “chatta”	sp. nov.	0	1
sp. “cheirodon”	sp. nov.	0	1
sp. “circle E”	sp. nov.	0	1
sp. “comma”	sp. nov.	0	1
sp. “common”	sp. nov.	0	1
sp. “dark”	sp. nov.	0	1
sp. “deep body”	sp. nov.	0	1
sp. “ditto”	sp. nov.	0	1
sp. “dorsal spot”	sp. nov.	0	1
sp. “dorsal white spots”	sp. nov.	0	1
sp. “essequibo”	sp. nov.	0	1
sp. “flat”	sp. nov.	0	1
sp. “fused saddles”	sp. nov.	0	1
sp. “ghost”	sp. nov.	0	1
sp. “guapuche”	sp. nov.	0	1
sp. “half stripe”	sp. nov.	0	1
sp. “huge scales”	sp. nov.	0	1
sp. “incomplete”	sp. nov.	0	1
sp. “ireng”	sp. nov.	0	1
sp. “line”	sp. nov.	0	1
sp. “long”	sp. nov.	0	1
sp. “membrane”	sp. nov.	0	1
sp. “Muscadine darter”	sp. nov.	0	1
sp. “muy larga”	sp. nov.	0	1
sp. “no spot”	sp. nov.	0	1
sp. “no spots”	sp. nov.	0	1
sp. “no stripe”	sp. nov.	0	1
sp. “orange humeral”	sp. nov.	0	1
sp. “plain”	sp. nov.	0	1
sp. “pseudo-browni”	sp. nov.	0	1
sp. “pseudogephyrocharax”	sp. nov.	0	1
sp. “pseudomicrostomus”	sp. nov.	0	1
sp. “Sawfin Shiner”	sp. nov.	0	1
sp. “short anal fin”	sp. nov.	0	1
sp. “short”	sp. nov.	0	1
sp. “silver stripe”	sp. nov.	0	1
sp. “slender”	sp. nov.	0	1
sp. “slim”	sp. nov.	0	1
sp. “small saddle”	sp. nov.	0	1
sp. “spot”	sp. nov.	0	1
sp. “spots in stripe”	sp. nov.	0	1
sp. “stripetail”	sp. nov.	0	1
sp. “takutu 2”	sp. nov.	0	1
sp. “takutu”	sp. nov.	0	1
sp. “tencuanensis”	sp. nov.	0	1
sp. “upper caudal spot”	sp. nov.	0	1
sp. “ventuari”	sp. nov.	0	1
sp. “white dots”	sp. nov.	0	1
sp. “wide line”	sp. nov.	0	1
sp. “wide stripe”	sp. nov.	0	1
sp. “yupukari”	sp. nov.	0	1
sp. 1	sp.	0	1
sp. '1'	sp.	0	1
sp. 1 (cf. macrophthalma)	cf. macrophthalma	0	1
sp. 10	sp.	0	1
sp. 11	sp.	0	1
sp. 12	sp. 12	0	1
sp. 13	sp. 13	0	1
sp. 14	sp. 14	0	1
sp. 15	sp. 15	0	1
sp. 16	sp. 16	0	1
sp. 17	sp. 17	0	1
sp. 18	sp. 18	0	1
sp. 19	sp. 19	0	1
sp. 2	sp.	0	1
sp. '2'	sp.	0	1
sp. 20	sp. 20	0	1
sp. 21	sp. 21	0	1
sp. 22	sp. 22	0	1
sp. 23	sp. 23	0	1
sp. 24	sp. 24	0	1
sp. 25	sp. 25	0	1
sp. 26	sp. 26	0	1
sp. 27	sp. 27	0	1
sp. 28	sp.	0	1
sp. 29	sp. 29	0	1
sp. 3	sp.	0	1
sp. 3 - Colorado	sp.	0	1
sp. 3 (cf. orientalis)	cf. orientalis	0	1
sp. 30	sp. 30	0	1
sp. 303	sp.	0	1
sp. 304	sp.	0	1
sp. 305 longimanus	sp. 305 longimanus	0	1
sp. 306 (paracanthus)	sp. 306 (paracanthus)	0	1
sp. 307 (bilineatus)	sp. 307 (bilineatus)	0	1
sp. 308 (comatus)	sp. 308 (comatus)	0	1
sp. 309 (rectisetus)	sp. 309 (rectisetus)	0	1
sp. 31	sp. 31	0	1
sp. 311	sp.	0	1
sp. 312	sp.	0	1
sp. 314 xavierfilhoi	sp. 314 xavierfilhoi	0	1
sp. 316 holdenae	sp. 316 holdenae	0	1
sp. 319 marinhoi	sp. 319 marinhoi	0	1
sp. 32	sp. 32	0	1
sp. 324	sp.	0	1
sp. 325	sp.	0	1
sp. 326 amati	sp. 326 amati	0	1
sp. 328 riccardiae	sp. 328 riccardiae	0	1
sp. 33	sp. 33	0	1
sp. 330	sp.	0	1
sp. 338 nocturnigrus	sp. 338 nocturnigrus	0	1
sp. 34	sp. 34	0	1
sp. 35	sp. 35	0	1
sp. 36	sp.	0	1
sp. 37	sp. 37	0	1
sp. 38	sp. 38	0	1
sp. 39	sp. 39	0	1
sp. 4	sp.	0	1
sp. 4 dfh	sp.	0	1
sp. 40	sp. 40	0	1
sp. 41	sp. 41	0	1
sp. 42	sp. 42	0	1
sp. 43	sp. 43	0	1
sp. 44	sp. 44	0	1
sp. 45	sp. 45	0	1
sp. 46	sp. 46	0	1
sp. 47	sp. 47	0	1
sp. 48	sp. 48	0	1
sp. 49	sp. 49	0	1
sp. 5	sp.	0	1
sp. 5 "wa allporti"	sp.	0	1
sp. 50	sp. 50	0	1
sp. 51	sp. 51	0	1
sp. 52	sp. 52	0	1
sp. 53	sp. 53	0	1
sp. 54	sp. 54	0	1
sp. 55	sp. 55	0	1
sp. 56	sp. 56	0	1
sp. 57	sp. 57	0	1
sp. 58	sp. 58	0	1
sp. 59	sp. 59	0	1
sp. 6	sp.	0	1
sp. 60	sp. 60	0	1
sp. 62	sp.	0	1
sp. 7	sp.	0	1
sp. 7 dfh	sp.	0	1
sp. 8	sp.	0	1
sp. 9	sp.	0	1
sp. 9 dfh	sp.	0	1
sp. A	sp.	0	1
sp. A  (n. sp.)	sp. nov.	0	1
sp. A aff. granulosus	sp. A aff. granulosus	0	1
sp. a cf. pseudoforbesi	sp. a cf. pseudoforbesi	0	1
sp. A Johnson	sp. A Johnson	0	1
sp. A sensu Ristedt	sp. A sensu Ristedt	0	1
sp. A Witzke 1976	sp. A Witzke 1976	0	1
sp. A Witzke and Strimple	sp. A Witzke and Strimple	0	1
sp. A.	sp.	0	1
sp. A/C	sp.	0	1
sp. aff. galaxias	aff. galaxias	0	1
sp. aff. lavenbergi	aff. lavenbergi	0	1
sp. aff. lysina	aff. lysina	0	1
sp. aff. marinus	aff. marinus	0	1
sp. aff. punctitaeniatus	aff. punctitaeniatus	0	1
sp. albogularis	sp.	0	1
sp. B	sp.	0	1
sp. B (D?)		0	1
sp. B aff. granulosus	sp. B aff. granulosus	0	1
sp. b cf. paraforbesi	sp. b cf. paraforbesi	0	1
sp. B sensu Ristedt	sp. B sensu Ristedt	0	1
sp. B Witzke 1976	sp. B Witzke 1976	0	1
sp. B Witzke and Strimple	sp. B Witzke and Strimple	0	1
sp. B.	sp.	0	1
sp. BBN1	sp.	0	1
sp. BBP1	sp.	0	1
sp. BBP2	sp.	0	1
sp. BBP3	sp.	0	1
sp. bennetti	sp.	0	1
sp. 'Bluestone sculpin'	sp.	0	1
sp. bongolonensis	sp.	0	1
sp. 'brindisi'	sp.	0	1
sp. 'broadtail'	sp.	0	1
sp. BSN1	sp.	0	1
sp. BSN2	sp.	0	1
sp. BSN9	sp.	0	1
sp. BSNX	sp.	0	1
sp. BSP1	sp.	0	1
sp. BSP2	sp.	0	1
sp. BSP4	sp.	0	1
sp. C	sp.	0	1
sp. C Witzke and Strimple	sp. C Witzke and Strimple	0	1
sp. C&K	sp. C&K	0	1
sp. c.f. arcticus	cf. arcticus	0	1
sp. c.f. carbonaria	cf. carbonaria	0	1
sp. c.f. nigrofasciata	cf. nigrofasciata	0	1
sp. cf pteroides	cf. pteroides	0	1
sp. cf.	cf.	0	1
sp. cf. aestivalis	cf. aestivalis	0	1
sp. cf. aestivalis “A”	cf. aestivalis “A”	0	1
sp. cf. aestivalis “B”	cf. aestivalis “B”	0	1
sp. cf. aestivalis “C”	cf. aestivalis “C”	0	1
sp. cf. aestivalis A	cf. aestivalis A	0	1
sp. cf. aestivalis B	cf. aestivalis B	0	1
sp. cf. aestivalis C	cf. aestivalis C	0	1
sp. cf. aestivalis D	cf. aestivalis D	0	1
sp. cf. aestivalis 'D'	cf. aestivalis D	0	1
sp. cf. albifimbria	cf. albifimbria	0	1
sp. cf. alfari	cf. alfari	0	1
sp. cf. asperifrons	cf. asperifrons	0	1
sp. cf. asprigene	cf. asprigene	0	1
sp. cf. aureum	cf. aureum	0	1
sp. cf. austrinum	cf. austrinum	0	1
sp. cf. bairdi	cf. bairdi	0	1
sp. cf. bairdi 'hubbsi'	cf. bairdi 'hubbsi'	0	1
sp. cf. bairdi 'smoky'	cf. bairdi 'smoky'	0	1
sp. cf. bairdii	cf. bairdii	0	1
sp. cf. balteatus	cf. balteatus	0	1
sp. cf. bardi	cf. bairdi	0	1
sp. cf. beldingi	cf. beldingi	0	1
sp. cf. bellator	cf. bellator	0	1
sp. cf. buchianus	sp. cf. buchianus	0	1
sp. cf. caeruleomentum	cf. caeruleomentum	0	1
sp. cf. caeruleum	cf. caeruleum	0	1
sp. cf. caprodes	cf. caprodes	0	1
sp. cf. carbonaria	cf. carbonaria	0	1
sp. cf. carolinae	cf. carolinae	0	1
sp. cf. clarki	cf. clarki	0	1
sp. cf. cognatus	cf. cognatus	0	1
sp. cf. coosae	cf. coosae	0	1
sp. cf. cubana	cf. cubana	0	1
sp. cf. cyprinus	cf. cyprinus	0	1
sp. cf. cyprinus x velifer	cf. cyprinus x velifer	0	1
sp. cf. cyrano	cf. cyrano	0	1
sp. cf. ditrema	cf. ditrema	0	1
sp. cf. duryi	cf. duryi	0	1
sp. cf. elongatus	cf. elongatus	0	1
sp. cf. episcopa	cf. episcopa	0	1
sp. cf. erythrogaster	cf. erythrogaster	0	1
sp. cf. fenestratum	cf. fenestratum	0	1
sp. cf. floridae	cf. floridae	0	1
sp. cf. gagei	cf. gagei	0	1
sp. cf. hemiurus	cf. hemiurus	0	1
sp. cf. hypselopterus	cf. hypselopterus	0	1
sp. cf. lachneri	cf. lachneri	0	1
sp. cf. lentignosum	cf. lentignosum	0	1
sp. cf. leptacanthus	cf. leptacanthus	0	1
sp. cf. leuciodus	cf. leuciodus	0	1
sp. cf. longirostris	cf. longirostris	0	1
sp. cf. macrocephala	cf. macrocephala	0	1
sp. cf. maculata	cf. maculata	0	1
sp. cf. melanonotata	cf. melanonotata	0	1
sp. cf. munitus	cf. munitus	0	1
sp. cf. mykiss	cf. mykiss	0	1
sp. cf. occidentalis	cf. occidentalis	0	1
sp. cf. palmaris	cf. palmaris	0	1
sp. cf. pantostictum	cf. pantostictum	0	1
sp. cf. parvus	cf. parvus	0	1
sp. cf. pectinoides	sp. cf. pectinoides	0	1
sp. cf. phaeton	cf. phaeton	0	1
sp. cf. platiceps	cf. platiceps	0	1
sp. cf. poecilurum	cf. poecilurum	0	1
sp. cf. punctulatum	cf. punctulatum	0	1
sp. cf. ramseyi	cf. ramseyi	0	1
sp. cf. rhytisma	cf. rhytisma	0	1
sp. cf. rubellus	cf. rubellus	0	1
sp. cf. sapo	cf. sapo	0	1
sp. cf. saylori	cf. saylori	0	1
sp. cf. septemfasciatum	cf. septemfasciatum	0	1
sp. cf. sollasi	cf. sollasi	0	1
sp. cf. spectabile	cf. spectabile	0	1
sp. cf. spectrunculus	cf. spectrunculus	0	1
sp. cf. stigmaeum	cf. stigmaeum	0	1
sp. cf. swaini	cf. swaini	0	1
sp. cf. velifer	cf. velifer	0	1
sp. cf. vitreum	cf. vitreum	0	1
sp. cf. vitreus	cf. vitreus	0	1
sp. cf. vulgaris	cf. vulgaris	0	1
sp. cf. winchelli	cf. winchelli	0	1
sp. cf. zonistium	cf. zonistium	0	1
sp. 'chacamax'	sp.	0	1
sp. 'chomba'	sp.	0	1
sp. 'Clinch sculpin'	sp.	0	1
sp. D	sp.	0	1
sp. D Witzke and Strimple	sp. D Witzke and Strimple	0	1
sp. div.	sp. div.	0	1
sp. E	sp.	0	1
sp. E Witzke and Strimple	sp. E Witzke and Strimple	0	1
sp. E.	sp. nov.	0	1
sp. 'ebano'	sp.	0	1
sp. egg cases		0	1
sp. F	sp.	0	1
sp. G	sp.	0	1
sp. 'grammarion' ms	sp.	0	1
sp. green	sp.	0	1
sp. H		0	1
sp. H sensu Ristedt	sp. H sensu Ristedt	0	1
sp. 'Holston sculpin'	sp.	0	1
sp. hybrid	sp.	0	1
sp. I	sp.	0	1
sp. II	sp.	0	1
sp. II-a	sp. nov.	0	1
sp. III	sp.	0	1
sp. incert	sp. incert.	0	1
sp. incert.	sp. incert.	0	1
sp. indet	sp.	0	1
sp. indet.	sp. indet.	1	1
Sp. IV		0	1
sp. J	sp.	0	1
sp. J sensu Ristedt	sp. J sensu Ristedt	0	1
sp. K	sp.	0	1
sp. K sensu Ristedt	sp. K sensu Ristedt	0	1
sp. kim-2	sp.	0	1
sp. L260	sp. nov.	0	1
sp. L333	sp. nov.	0	1
sp. L340	sp. nov.	0	1
sp. L66	sp. nov.	0	1
sp. large tail nov.sp.A	sp. large tail nov.sp.A	0	1
sp. 'las flores'	sp.	0	1
sp. lemon	sp.	0	1
sp. 'lemon'	sp.	0	1
sp. lentigriosum	sp.	0	1
sp. linea	sp.	0	1
sp. 'linea'	sp.	0	1
sp. lissmanni	sp.	0	1
sp. M	sp. M	0	1
sp. magnostipes	sp.	0	1
sp. missing	sp.	0	1
sp. morph A	sp. morph A	0	1
sp. morph B	sp. morph B	0	1
sp. N	sp. N	0	1
sp. new	sp. nov.	0	1
sp. ngouniensis	sp.	0	1
sp. nigrum	sp.	0	1
sp. nov	sp. nov.	0	1
sp. nov 2	sp. nov.	0	1
sp. nov.	sp. nov.	0	1
sp. nov. (citrinipectus) Clancy & Lawson	sp. nov.	0	1
sp. nov. (sirintarae)	sp. nov.	0	1
sp. nov. (spinulosa)	sp. nov.	0	1
sp. nov. 1	sp. nov.	0	1
sp. nov. 2	sp. nov.	0	1
sp. nov. 2	sp. nov.	0	1
sp. nov. A	sp. nov. A	0	1
sp. nov. angustirostris hellmayri	sp. nov.	0	1
sp. nov. B	sp. nov. B	0	1
sp. nov. bonariensis	sp. nov.	0	1
sp. nov. C	sp. nov. C	0	1
sp. nov. Fitzpatrick	sp. nov.	0	1
sp. nov. ms	sp. nov.	0	1
sp. NZO	sp. nov.	0	1
sp. offouensis	sp.	0	1
sp. Ojo pequeno	sp.	0	1
sp. okanoensis	sp.	0	1
sp. 'o-lugubris'	sp.	0	1
sp. 'o-walacii'	sp.	0	1
sp. 'o-wallacii'	sp.	0	1
sp. palida	sp.	0	1
sp. parsegnis	sp.	0	1
sp. puffinus	sp.	0	1
sp. robertsi	sp.	0	1
sp. rufina	sp.	0	1
sp. rw-32	sp.	0	1
sp. scissor tail	sp.	0	1
sp. 'scissor tail'	sp.	0	1
sp. 'sicklefin'	sp.	0	1
sp. slender	sp.	0	1
sp. 'slender'	sp.	0	1
sp. small	sp. small	0	1
sp. small eye	sp. nov.	0	1
sp. SN3	sp.	0	1
sp. SN4	sp.	0	1
sp. SN9	sp.	0	1
sp. 'spotted'	sp.	0	1
sp. striped	sp.	0	1
sp. szaboi	sp.	0	1
sp. T	sp. T	0	1
sp. tail moyenne,nov.sp.B	sp. tail moyenne,nov.sp.B	0	1
sp. 'Tallapoosa sculpin'	sp.	0	1
sp. 'Teapa'	sp.	0	1
sp. tenuicauda	sp.	0	1
sp. undet.	sp. incert.	0	1
sp. unnamed	sp.	0	1
sp. vadamans	sp.	0	1
sp. vel Juglans sp.	sp. vel Juglans sp.	0	1
Sp. VII		0	1
sp. w1	sp.	0	1
sp. w2	sp.	0	1
sp. w4	sp.	0	1
sp. white-chest	sp.	0	1
sp. X	sp.	0	1
sp. X sp.	sp. X sp.	0	1
sp. X venustus	sp. X venustus	0	1
sp. Y	sp.	0	1
sp.	sp.	0	1
sp..	sp.	0	1
sp.;	sp.	0	1
sp.”ventuari”	sp. nov.	0	1
sp.1	sp.	0	1
sp.10	sp.10	0	1
sp.11	sp.	0	1
sp.12	sp.12	0	1
sp.1-2	sp.1-2	0	1
sp.13	sp.	0	1
sp.14	sp.	0	1
sp.15	sp.15	0	1
sp.16	sp.16	0	1
sp.17	sp.17	0	1
sp.18	sp.18	0	1
sp.19	sp.19	0	1
sp.2	sp.	0	1
sp.21	sp.21	0	1
sp.3	sp.	0	1
sp.4	sp.	0	1
sp.4 (cf.diastema)	cf. diastema	0	1
sp.4.	sp.	0	1
sp.5	sp.	0	1
sp.6	sp.	0	1
sp.7	sp.	0	1
sp.8	sp.	0	1
sp.9	sp.	0	1
sp.A	sp.	0	1
sp.A.	sp.	0	1
sp.A`	sp.A`	0	1
sp.b	sp.	0	1
sp.B (cf.bransfordii)	cf. bransfordii	0	1
sp.C		0	1
sp.cf. winchelli	cf. winchelli	0	1
sp.D	sp.D	0	1
sp.E	sp.E	0	1
sp.F	sp.F	0	1
sp.G	sp.G	0	1
sp.H	sp.H	0	1
sp.I	sp.I	0	1
sp.III (c.f.cruentes)	sp.	0	1
sp.indet.	sp.	0	1
sp.juv.	sp.juv.	0	1
sp.K	sp.K	0	1
sp.L	sp.L	0	1
sp.M	sp.M	0	1
sp.n	sp. nov.	0	1
sp.--not M. mogollonensis	sp.	0	1
sp.nov.	sp. nov.	0	1
sp.nov.-Laetoli	sp.nov.-Laetoli	0	1
sp.O	sp.O	0	1
sp.'o-walacii'	sp.	0	1
sp.Q	sp.Q	0	1
sp.R	sp.R	0	1
sp.S	sp.S	0	1
sp.T	sp.T	0	1
sp.U	sp.U	0	1
sp.X	sp.X	0	1
sp?	species in question	0	1
sp?, worn	species in question	0	1
sp?; L > 4mm (Weil 2004)	species in question	0	1
sp?; not available to GPW	species in question	0	1
sp?; not id-able to sp. (Weil 2004)	species in question	0	1
sparveria (subsp.)	ssp.	0	1
spcf	cf.	0	1
species in question	species in question	1	1
species questioned	species in question	0	1
spiralocucullata sp. ined.	spiralocucullata sp. ined.	0	1
ss ?	subspecies in question	0	1
ss cf	cf.	0	1
ssp	ssp.	0	1
ssp.	ssp.	1	1
STICTOS N.SP.	sp. nov.	0	1
subadult		0	1
subadult?		0	1
subcl. elasmobranchii		0	1
Suborder= Acanthuroidei		0	1
subsp cf	cf.	0	1
subsp. 	ssp.	0	1
subspecies in question	subspecies in question	1	1
subspecies questioned	subspecies in question	0	1
Subspecies uncertain		0	1
tabira ssp. 1	ssp.	0	1
tblidentificationqualifier.identqualifiername: Genus and Species uncertain, Family identified; tblidentificationqualifier.identqualifiercode: Genus ? species ?, Family known;		0	1
tblidentificationqualifier.identqualifiername: Genus and Species unknown, Family identified; tblidentificationqualifier.identqualifiercode: Genus blank and species blank or "sp.", Family known;		0	1
tblidentificationqualifier.identqualifiername: Genus identified, Species uncertain; tblidentificationqualifier.identqualifiercode: Genus species ? or ("species 1/A or species 2/B") or "affin";	sp.	0	1
tblidentificationqualifier.identqualifiername: Genus identified, Species unknown; tblidentificationqualifier.identqualifiercode: Genus "sp.";	sp.	0	1
tblidentificationqualifier.identqualifiername: Genus uncertain, Species unknown, Family identified; tblidentificationqualifier.identqualifiercode: Genus ? "sp." but Family known;	?	0	1
tblidentificationqualifier.identqualifiername: Genus, Species and Family uncertain; tblidentificationqualifier.identqualifiercode: Genus ? species ? Family ?;		0	1
tblidentificationqualifier.identqualifiername: Some uncertainty as to identification; tblidentificationqualifier.identqualifiercode: Common name ? or "identity uncertain" in notes;	?	0	1
tblidentificationqualifier.identqualifiername: Subspecies uncertain; tblidentificationqualifier.identqualifiercode: Genus species subspecies ?;	ssp.	0	1
tblidentificationqualifier.identqualifiername: Unidentified; tblidentificationqualifier.identqualifiercode: Genus AND species AND family vacant or blank;		0	1
tent sp	species in question	0	1
tribe: Microtini		0	1
trimerorhachis also		0	1
Uintasoricinae		0	1
unidentata parv		0	1
unidentata pras		0	1
unidentata sebe		0	1
Unidentified		0	1
venusta x sp.	venusta X sp.	0	1
Vespertilionoidea cf fm	cf.	0	1
vivax X sp.	vivax X sp.	0	1
websteri sp.nov.	sp. nov.	0	1
willii gen & sp		0	1
wood-masoni n.	sp. nov.	0	1
worn		0	1
worn, not id-able (Weil 2004)		0	1
x "hybrid"	hybrid	0	1
x americana	x americana	1	1
x caerulescens	x caerulescens	1	1
x cafer	x cafer	1	1
x genus changed from Amphispiza according to Clements 6.7		0	1
x geolthlypis	x geolthlypis	1	1
x harlani	x harlani	1	1
x hybrid	x hybrid	1	1
x lupus	x lupus	1	1
x luteus	x luteus	1	1
x macrovra	x macrovra	1	1
x oreganus	x oreganus	1	1
x punctulata	x punctulata	1	1
x tolmiei	x tolmiei	1	1
x virginianus	x virginianus	1	1
