"verbatimReproductiveCondition","standardReproductiveCondition","uri","checked","opinionBy","opinionDate"
"HOW SEXED: GONADS, TESTES CIRCA 1 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1 X 3 MM, FLESH COLOR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.0 X 1.0 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.2 X 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.2 X 0.8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.2 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.5 X 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.5 X 1.5 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 1.5 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 MM. SEMINAL VESICLES ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 5 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 6 MM, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 6 MM. SEXED AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 10 X 6 OR 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 11 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 11 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 11 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 11 X 8 MM, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 12 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 12 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 12 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 12 X 7 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 12 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 13 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 14 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 14 X 7 MM, QUITE DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 14 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 14 X 8 MM. SEXED AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 15 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 15 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 15 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 16 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 17 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1 MM, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1 MM, WHITE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1 MM. SEXED AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1.25 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 2 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 2 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 2.6 X 1.8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 20 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 20 X 9 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 2 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 3 X 2 MM. SEXED AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 2 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 4.5 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 1 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 3.5, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 5 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 5 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6 X 9, GRAYISH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6.5 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6.5 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 6.5 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 5.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 6 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 7.5 X 1 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 5 MM, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 5 MM. SEXED AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 6.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 8 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 9 MM, 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 9 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 9 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA 9 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CIRCA RIGHT 4 X 1.5, LEFT 2 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CONSIDERABLY ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CREAM COLORED, LEFT 3 X 2 MM, RIGHT 2 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CREAM-COLORED, 1.5 X 0.75 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CREAM-COLORED, CIRCA 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES CVA 1.5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DAMAGED BY SHOT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DAMAGED, CIRCA 3.5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DAMAGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DARK GRAY, 6 X 9 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DARK, LEFT 7 X 5 MM, RIGHT 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED BUT VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 11 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 14 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 22 X 14 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 3 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 3 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 5 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 8 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, CIRCA 8 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED, LEFT 12 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSED: APPROXIMATELY 12 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSING, CIRCA 14 X 9 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DECOMPOSING, CIRCA 9 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DEGENERATED, PARTLY ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DESTROYED BY SHOT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DESTROYED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DIAGRAM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DIAMETER LEFT 0.5 MM, RIGHT 1.0 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DIFFUSE, CIRCA 1.5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DISTINCT BUT VERY SMALL.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DISTINCT, < 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DISTINCT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN - 7 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN - LEFT LARGER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN (BLACK).",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN (GRAY).",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN (UNDERDEVELOPED).",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN 13 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN 2 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN 6 MM X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN 9 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN CIRCA 4 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN ON TAG.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 10 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 10 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 10 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 11 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 11 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 11 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 11 X 9 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 12 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 13 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 13 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 15 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 17 X 11 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 2 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 2 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 2.5 X 12 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 20 X 13 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 22 X 15 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 3 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 3 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 4 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 5 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 5 X 3 MM, RIGHT DARK.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 5 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 5 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 5.5 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 6 X 14 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 6 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 6 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 6 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 7.5 X 5.1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 8 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 8 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 8 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 8 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 9 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, 9 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, BLACK.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, BREEDING SIZE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, BREEDING.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 1 X 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 1.5 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 2 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 6 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, CIRCA 8 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, ENLARGED 12/6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, ENLARGED, BREEDING.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, EXCEPTIONALLY LARGE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, GREATLY ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, LARGE BURSA.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, LEFT 8 X 5.5, RIGHT 7 X 5.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, MALE PLUMAGE, FEMALE SIZE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, MINUTE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, MUCH ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, NOT BREEDING.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, NOT ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS, TESTES DRAWN, POST BREEDING.",,,0,"John Wieczorek","2017-08-25"
