Waterbody	IslandGroup	Island
		Alexander
		Anticosti
		Aquidneck
		Artificial
		Artificial Island
		Avery
		Baillie-Hamilton
		Bakers
		Banty
		Barbonis
		Barren
		Belle
		Bellows
		Bermuda
		Big
		Billys
		Bird
		Bird Rock
		Borneo
		Boscawen
		Bread and Cheese
		Burdell
		Calumet
		Campbell
		Canyon
		Cape Breton
		Captree
		Carroll
		Cat
		Cedar
		Cedros
		Center
		Chañaral
		Channel
		Chimon
		Cobblestone
		Cochrane's
		Cockburn
		Contramaestre
		Cooper's
		Copper
		Cove
		Craig
		Cross
		Cypress
		Dauphin
		Davis
		De Horsey
		Dewees
		Disko
		Doame
		Dog
		Drayton
		Duck
		Duke of York
		East Timbalier
		Egg
		Eider
		Emerald Isle
		Fairfield
		Fidalgo
		Fir
		Fire
		Fisherman's
		Flat
		Flood
		Galveston
		Gillham
		Goeree-Overflakkee
		Goose
		Gorgona
		Grand
		Grand Isle
		Grassy
		Greeenland
		Green
		Greenland
		Griffith
		Guadalupe
		Guadelupe
		Harker's
		Heather
		Herschel
		Hilton Head
		Hispaniola
		Hog
		Hokkaido
		Honshu
		Hutchinson
		Hypluxo
		Ihla Grande
		Ilha de Maracá
		Ilha do Cardoso
		Isla de Pascua
		Isla Victoria
		Isle of Sarkardlet
		Itaparica
		James
		Jekyll
		Jones
		Jupiter
		Kiger
		Knotts
		Kuiu
		Kyushu
		Laguna Dam
		Little Galoo
		Little Land
		Little Pine
		Long
		Long Island
		Longboat Key
		Macaca
		Madagascar
		Magdalena
		Marion
		Marsh
		Merritt
		Mocha
		Mohawk
		Monkey
		Moosehead Treasure
		Mud
		Mustang
		New Guinea
		Nonamesset
		Nonsuch
		Norton
		Ocracoke
		Ono
		Otter
		Pelee
		Point Lobos
		Port George
		Prince Edward
		Princess Royal
		Pupuya
		Radio
		Ransom Point
		Rattlesnake
		Riverside
		Rock
		Sado
		Saint Helena
		Saint James
		Sakhalin
		Salicornia
		Samish
		San Esteban
		San José
		Sandy Hook
		Santa Rosa
		Santo
		Seal
		Seymour
		Shell
		Shelter
		Sicilia
		Sjælland
		Skidaway
		Socorro
		Staten
		Staten Island
		Stock
		Sullivan's
		Table
		Taipa
		Taiwan
		Tholen
		Tierra del Fuego
		Treasure Island
		Trinidad
		Tubbs
		Turr
		Upper Sugar Loaf
		Van Grachin
		Vancouver
		Vita Rocks
		Wainwright
		Walpole
		Wassaw
		Wendle
		Whale
		White Marsh
		Willard
		Willow
	Aasiaat Archipelago	Aasiaat
	ABC Islands	Curaçao
	Aldabra Atoll	Ile Picard
	Aleutian Islands	Aleun
	Alexander Archipeago	Noyes
	Alexander Archipelago	Canyon
	Alexander Archipelago	Castle
	Alexander Archipelago	Cat
	Alexander Archipelago	Prince of Wales
	Alor Islands	Alor
	Andaman Islands	Middle Andaman
	Andaman Islands	North Andaman
	Andaman Islands	North Andaman Island
	Andaman Islands	South Andaman
	Archipiélago de Chiloé	Chiloé
	Archipiélago de Chiloé	Isla Grande de Chiloé
	Archipiélago de Chiloé	Laitec
	Archipiélago de las Guaitecas	Elvira
	Archipiélago de las Guaitecas	Isla Gran Guaiteca
	Archipiélago de Tierra del Fuego	Desolación
	Archipiélago de Tierra del Fuego	Londonderry
	Archipiélago de Tierra del Fuego	Navarino
	Archipiélago de Tierra del Fuego	Noir
	Archipiélago Juan Fernández	Alejandro Selkirk
	Archipiélago Juan Fernández	Robinson Crusoe
	Archipiélago Juan Fernández	Santa Clara
	Bahamas	Grand Bahama
	Bahamas	Great Ragged Island
	Bahamas	Long Island
	Bahamas	Ragged Island
	Bahamas	San Salvador
	Banda Islands	Banda
	Banda Islands	Banda Besar
	Bangka-Belitung Islands	Bangka
	Berkeley Islands	Seymour
	Biak Islands	Biak
	Biak Islands	Yapen
	Bismarck Archipelago	New Britain
	British Isles	Hexham
	British Isles	Tiree
	Canadian Arctic Archipelago	Baffin
	Canadian Arctic Archipelago	Baillie
	Canadian Arctic Archipelago	Banks
	Canadian Arctic Archipelago	Bantes
	Canadian Arctic Archipelago	Beloeil
	Canadian Arctic Archipelago	Southampton
	Canadian Arctic Archipelago	Victoria
	Cape Breton Islands	Bird
	Cape Breton Islands	Cape Breton
	Channel Islands	Catalina
	Dry Tortugas	Loggerhead Key
	Florida Keys	Key West
	Fox Islands	Sanak
	Gorong Islands	Gorom
	Greater Antilles	Culebra
	Greater Antilles	Culebrita
	Greater Antilles	Desecheo
	Greater Antilles	Hispaniola
	Greater Antilles	Jamaica
	Greater Antilles	Luis Peña
	Greater Antilles	Magueyes
	Greater Antilles	Mona
	Greater Antilles	Puerto Rico
	Greater Antilles	Rat
	Greater Antilles	Vieques
	Greater Sunda Islands	Java
	Greater Sunda Islands	Sulawesi
	Greater Sunda Islands	Sumatra
	Greater Sunda Islands	Togian
	Guadeloupe	Grand-Terre
	Hoorn Islands	Alofi
	Islas Coronados	Coronado
	Islas de las Perlas	Pedro González
	Islas de los Timbales	Timbales
	Islas Desventuradas	San Ambrosio
	Japanese Archipelago	Hokkaido
	Japanese Archipelago	Honshu
	Japanese Archipelago	Kyushu
	Japanese Archipelago	Yaku
	Juan Fernández Islands	Alejandro Selkirk
	Juan Fernández Islands	Robinson Crusoe
	Kai Islands	Kai Besar
	Kai Islands	Kai Kecil
	Kai Islands	Taam
	Kepulauan Banggai	Peling
	LaHave Islands	Indian
	Leeward Antilles	Curaçao
	Lesser Sunda Islands	Bali
	Lesser Sunda Islands	Flores
	Lesser Sunda Islands	Komodo
	Lesser Sunda Islands	Lembata
	Lesser Sunda Islands	Lombok
	Lesser Sunda Islands	Nusa Penida
	Lesser Sunda Islands	Savu
	Lesser Sunda Islands	Sumba
	Lesser Sunda Islands	Sumbawa
	Lesser Sunda Islands	Timor
	Long Island and New York City Barrier Islands	East Fire Island
	Long Island and New York City Barrier Islands	Fire Island
	Malay Archipelago	Papua
	Maluku Islands	Ambon
	Maluku Islands	Batjan
	Maluku Islands	Buru
	Maluku Islands	Halmahera
	Maluku Islands	Haruku
	Maluku Islands	Molucca
	Maluku Islands	Seram
	Maluku Islands	Seram Laut
	Maluku Islands	Teor
	Maluku Islands	Ternate
	Maluku Islands	Timur Laut
	Marshall Islands	Janet
	Marshall Islands	Rongelap Atoll
	Maurelle Islands	Anguilla
	Mindanao	Mindanao
	Natuna Islands	Natuna Besar
	Newfoundland	Newfoundland
	Nias Islands	Nias
	North Atlantic Ocean	Sea Islands
	Outer Banks	Hatteras
	Puget Sound	Whidbey
	Queen Elizabeth Islands	Baillie-Hamilton
	Queen Elizabeth Islands	Bathurst
	Queen Elizabeth Islands	Cornwallis
	Queen Elizabeth Islands	Ellesmere
	Queen Elizabeth Islands	Melville
	Queen Elizabeth Islands	Pim
	Queen Elizabeth Islands	Prince of Wales
	Raja Ampat Islands	Batanta
	Raja Ampat Islands	Misool
	Raja Ampat Islands	Waigeo
	Riau Islands	Batam
	Sammish Bay	Sammish
	San Juan Islands	Bird Rock
	San Juan Islands	Blakely
	San Juan Islands	Brown
	San Juan Islands	Colville
	San Juan Islands	Decatur
	San Juan Islands	Flattop
	San Juan Islands	Johns
	San Juan Islands	Jones
	San Juan Islands	Lopez
	San Juan Islands	Orcas
	San Juan Islands	Penguin
	San Juan Islands	Shaw
	San Juan Islands	Waldron
	Sangihe Islands	Sangir Besar
	São Tomé and Príncipe	Príncipe
	São Tomé and Príncipe	São Tomé
	Schouten Islands	Yapen
	Sea Islands	Amelia
	Sea Islands	Edisto
	Selayar Islands	Tanah Jampea
	Singapore	Palawan
	Singapore	Salu
	Singapore	Singapore
	Sula Islands	Mangole
	Sula Islands	Sula Besi
	Sula Islands	Taliabu
	Sverdrup Islands	Ellef Ringnes
	Texas Barrier Islands	Padre
	Tierra del Fuego	Isla Grande de Tierra del Fuego
	Upernavik Archipelago	Kittorsaq
	Visayas	Negros
	Windward Islands	Dominica
Adriatic Sea		Korčula
Adriatic Sea	North-Dalmation Archipelago	Pag
Aegean Sea		Falconera Island
Aegean Sea	Cyclades	Naxos
Aegean Sea	Dodecanese	Kos
Ais River	Bismarck Archipelago	New Britain
Amazonas		Caviana
Amazonas		Marajó
Amazonas	Arquipélago do Marajó	Marajó
Arabian Sea	Khuriya Muriya Islands	Al-Hasikiyah
Aransas Bay		Lydia Ann
Arcata Bay		Daby
Arctic Ocean	Anzhu Islands	New Siberia
Arctic Ocean	Sverdrup Islands	Axel Heiberg
Arep River	Bismarck Archipelago	New Britain
Back Bay		Cedar
Baffin Bay		Devon
Bahía Amortajada		San José
Bahía Independencia		Isla de las Viejas
Bahía Paria		Isla de Patos
Baltic Sea		Bornholm
Baltic Sea		Fehmarn
Baltic Sea		Lolland
Baltic Sea		Öland
Barents Sea		Kildin
Barents Sea		Kolguyev
Barents Sea	Svalbard	Bjørnøya
Barents Sea	Svalbard	Spitsbergen
Barents Sea	Svalbard	Spitzbergen
Barrow Strait	Queen Elizabeth Islands	Cornwallis
Bass Strait		King
Bass Strait		Phillip
Bay of Bengal	Andaman Islands	Narcondam
Bay of Bengal	Nicobar Islands	Car Nicobar
Bay of Bengal	Nicobar Islands	Great Nicobar
Bay of Fundy		Campobello
Bay of Fundy		White Horse
Bay of Fundy	Grand Manan Archipelago	Grand Manan
Bay of Fundy	Grand Manan Archipelago	Hay
Bay of Fundy	Grand Manan Archipelago	Kent
Bay of Fundy	Grand Manan Archipelago	Outer Wood
Bay of Fundy	Grand Manan Archipelago	Sheep
Bay of Fundy	Grand Manan Archipelago	Wood
Bay of Fundy	Grand Manan Islands	Grand Manan
Bay of Isles		Knight
Bay of Isles	South Georgia Islands	South Georgia
Beagle Channel	Tierra del Fuego	Gable
Beaufort Sea		Baillie
Beaufort Sea		Barter
Beaufort Sea		Doctor
Beaufort Sea		Flaxman
Beaufort Sea		Herschel
Beaufort Sea		Herschel Island
Beaufort Sea		Langley Island
Beaufort Sea		Richards
Beaufort Sea		Richards Island
Beaufort Sea		Stump
Beaufort Sea	Plover Islands	Cooper
Beaufort Sea	Plover Islands	Deadman's
Behm Canal		Grant
Bellingham Bay		Eliza
Bering Sea		Big Punuk
Bering Sea		Deer
Bering Sea		Glen
Bering Sea		Green
Bering Sea		Kigigak
Bering Sea		King
Bering Sea		Nelson
Bering Sea		Nunivak
Bering Sea		Operl
Bering Sea		Pinnacle Reef
Bering Sea		Punuk
Bering Sea		Saint Lawrence
Bering Sea		Saint Matthew
Bering Sea		Seal
Bering Sea		Sledge
Bering Sea	Aleutian Islands	Igitkin
Bering Sea	Aleutian Islands	Ogliuga
Bering Sea	Aleutian Islands	Shemya
Bering Sea	Commander Islands	Medny
Bering Sea	Pribilof Islands	Otter
Bering Sea	Pribilof Islands	Saint George
Bering Sea	Pribilof Islands	Saint Paul
Bering Sea	Pribilof Islands	Walrrus
Bering Sea	Pribilof Islands	Walrus
Bering Strait		Sarichef
Bering Strait	Diomede Islands	Big Diomede
Bering Strait	Diomede Islands	Little Diomede
Bismarck Sea		Admosin
Bismarck Sea		Dampier Island
Block Island Sound		Block
Block Island Sound		Plum
Bolinas Lagoon		Kent
Boothbay Harbor		Damariscove
Boston Harbor		Calf
Boston Harbor		Peddocks
Boston Harbor		Thompson
Bradore Bay		Paroque
Bristol Bay	Walrus Islands	Round
Broken Bay		Lion
Buzzards Bay		Bird
Buzzards Bay		Ram
Buzzards Bay	Elizabeth Islands	Cuttyhunk
Buzzards Bay	Elizabeth Islands	Nashawena
Buzzards Bay	Elizabeth Islands	Naushon
Buzzards Bay	Elizabeth Islands	Pasque
Buzzards Bay	Elizabeth Islands	Penikese
Buzzards Bay	Weepecket Islands	Weepecket
Cambridge Bay	Canadian Arctic Archipelago	Victoria
Cape Fear River		Battery
Caribbean  Sea		Cancún
Caribbean Sea		Caye Caulker
Caribbean Sea		Cozumel
Caribbean Sea		Cuba
Caribbean Sea		Cubagua
Caribbean Sea		Hispaniola
Caribbean Sea		La Blanquilla
Caribbean Sea		La Orchila
Caribbean Sea		La Tortuga
Caribbean Sea		Margarita
Caribbean Sea		Mujeres
Caribbean Sea		Navassa
Caribbean Sea		Quiribrí
Caribbean Sea		Tobago
Caribbean Sea	ABC Islands	Aruba
Caribbean Sea	ABC Islands	Bonaire
Caribbean Sea	ABC Islands	Curaçao
Caribbean Sea	Archipiélago de los Canarreos	Isla de la Juventud
Caribbean Sea	Archipiélago de San Andrés, Providencia y Santa Catalina	Providencia
Caribbean Sea	Archipiélago de San Andrés, Providencia y Santa Catalina	San Andrés
Caribbean Sea	Archipiélago Las Aves	Aves de Sotavento
Caribbean Sea	Archipiélago Los Roques	Cayo Espenquí
Caribbean Sea	Archipiélago Los Roques	Los Roques
Caribbean Sea	Bocas Islands	Monos
Caribbean Sea	Cayman Islands	Cayman Brac
Caribbean Sea	Cayman Islands	Grand Cayman
Caribbean Sea	Greater Antilles	Alta Velo
Caribbean Sea	Greater Antilles	Beata
Caribbean Sea	Greater Antilles	Catalina
Caribbean Sea	Greater Antilles	Culebra
Caribbean Sea	Greater Antilles	Gonâve
Caribbean Sea	Greater Antilles	Hispaniola
Caribbean Sea	Greater Antilles	Île à Vache
Caribbean Sea	Greater Antilles	Île de la Tortue
Caribbean Sea	Greater Antilles	Jamaica
Caribbean Sea	Greater Antilles	Puerto Rico
Caribbean Sea	Greater Antilles	Saona
Caribbean Sea	Grenadines	Bequia
Caribbean Sea	Grenadines	Bettowia
Caribbean Sea	Grenadines	Union
Caribbean Sea	Guadeloupe	Basse-Terre
Caribbean Sea	Guadeloupe	Grande-Terre
Caribbean Sea	Guadeloupe	La Désirade
Caribbean Sea	Guadeloupe	Marie-Galante
Caribbean Sea	Islas de la Bahía	Barbareta
Caribbean Sea	Islas de la Bahía	Bonaca
Caribbean Sea	Islas de la Bahía	Guanaja
Caribbean Sea	Islas de la Bahía	Roatán
Caribbean Sea	Islas de la Bahía	Útila
Caribbean Sea	Islas Santanilla	Great Swan
Caribbean Sea	Leeward Islands	Anguilla
Caribbean Sea	Leeward Islands	Antigua
Caribbean Sea	Leeward Islands	Barbuda
Caribbean Sea	Leeward Islands	Dog
Caribbean Sea	Leeward Islands	Green Island
Caribbean Sea	Leeward Islands	Montserrat
Caribbean Sea	Leeward Islands	Nevis
Caribbean Sea	Leeward Islands	Saba
Caribbean Sea	Leeward Islands	Saint Barthélemy
Caribbean Sea	Leeward Islands	Saint Kitts
Caribbean Sea	Leeward Islands	Saint Martin
Caribbean Sea	Leeward Islands	Sint Eustatius
Caribbean Sea	Lesser Antilles	Barbados
Caribbean Sea	Lesser Antilles	Tobago
Caribbean Sea	Lesser Antilles	Trinidad
Caribbean Sea	The Grenadines	Grenada
Caribbean Sea	Turneffe Islands	Calabash Caye
Caribbean Sea	Virgin Islands	Anegada
Caribbean Sea	Virgin Islands	Beef
Caribbean Sea	Virgin Islands	Camanoe
Caribbean Sea	Virgin Islands	Cooper
Caribbean Sea	Virgin Islands	Guana
Caribbean Sea	Virgin Islands	Hassell
Caribbean Sea	Virgin Islands	Jost Van Dyke
Caribbean Sea	Virgin Islands	Little Saint James
Caribbean Sea	Virgin Islands	Little Thatch
Caribbean Sea	Virgin Islands	Mosquito
Caribbean Sea	Virgin Islands	Necker
Caribbean Sea	Virgin Islands	Norman
Caribbean Sea	Virgin Islands	Peter
Caribbean Sea	Virgin Islands	Saint Croix
Caribbean Sea	Virgin Islands	Saint John
Caribbean Sea	Virgin Islands	Saint Thomas
Caribbean Sea	Virgin Islands	Salt
Caribbean Sea	Virgin Islands	Tortola
Caribbean Sea	Virgin Islands	Virgin Gorda
Caribbean Sea	Windward Islands	Dominica
Caribbean Sea	Windward Islands	Martinique
Caribbean Sea	Windward Islands	Palm Island
Caribbean Sea	Windward Islands	Saint Lucia
Caribbean Sea	Windward Islands	Saint Vincent
Caribbean Sea	Windward Islands	Union
Carribean Sea		Galeta
Casco Bay		Bailey
Casco Bay		Halfway Rock
Casco Bay		Orr's
Case Inlet		Harstine
Cedar Bay		Block
Celebes Sea	Greater Sunda Islands	Sulawesi
Celtic Sea	Isles of Scilly	Bryher
Celtic Sea	Isles of Scilly	St Mary's
Charleston Harbor		Hog
Chehalis River		Sand
Chesapeake Bay		Carroll
Chesapeake Bay		Deal
Chesapeake Bay		Hart Miller
Chesapeake Bay		Kent
Chesapeake Bay		Poplar
Chesapeake Bay		Tilghman
Chincoteague Bay		Big Bay Marsh
Chincoteague Bay		Chincoteague
Chincoteague Bay		Robbins Tump
Chokoloskee Bay		Chokoloskee
Choptank River		Rooster
Chuckchi Sea	Seahorse Islands	Seahorse
Clear Lake		Rattlesnake
Clearwater River		Fir
Columbia River		East Sand
Columbia River		Government
Columbia River		Kirk
Columbia River		Miller
Columbia River		Puget
Columbia River		Rice
Columbia River		Rock Island
Columbia River		Sauvie
Columbia River		Washburn
Columbia River		Whitcomb
Columbia River	Blalock Islands	Blalock
Columbia River	Bridgeport Bar Islands	Bridgeport Bar Island #1
Columbia River	Bridgeport Bar Islands	Bridgeport Bar Island #10
Columbia River	Bridgeport Bar Islands	Bridgeport Bar Island #11
Columbia River	Bridgeport Bar Islands	Bridgeport Bar Island #2
Columbia River	Bridgeport Bar Islands	Bridgeport Bar Island #9
Columbia River	Bridgeport Bar Islands	Bridgeport Island #3
Columbia River	Bridgeport Bar Islands	Bridgeport Island #7
Coral Sea		Double
Coral Sea		Dunk
Coral Sea		Hinchinbrook
Crab Bay		Evans
Crater Lake		Wizard
Currituck Sound		Knotts
Danau Lindu	Greater Sunda Islands	Sulawesi
Danau Poso	Greater Sunda Islands	Sulawesi
Dease Strait	Finlayson Islands	Finlayson
Deep Creek		Long Island
Delaware River		Pea Patch
Detroit River		Grassy
Devil's Lake		Graham
Disko Bay		Greenland
Dry Bay		Bear
Dutch Harbor	Fox Islands	Amaknak
Duwamish Waterway		Kellogg
East Penobscot Bay		Oak
Eastern North Pacific Ocean	Aleutian Islands	Unimak
Eastern North Pacific Ocean	Alexander Archipelago	Prince of Wales
Eastern North Pacific Ocean	Alexander Archipelago	Revillagigedo
Eastern North Pacific Ocean	Hawaiian Islands	Oahu
English Channel	British Isles	Isle of Wight
English Channel	Channel Islands	Guernsey
English Channel	Channel Islands	Jersey
Essequibo River		Kaow
Essequibo River		Leguan
Essequibo River		Wakenaam
Firth of Clyde	British Isles	Arran
Firth of Clyde	British Isles	Isle of Arran
Flatehead  Lake		Wild Horse
Foxe Basin		Rowley
Fraser River		Lulu
Fraser River		Nicoman
Fraser River		Sea
Fraser River		Westham
Friday Harbor	San Juan Islands	Brown
Frobisher Bay	Canadian Arctic Archipelago	Baffin
Frobisher Bay	Canadian Arctic Archipelago	Coffin
Galveston Bay		Bird
Gambier Bay	Alexander Archipelago	Admiralty
Gardiners Bay		Gardiners
Georgian Bay		Griffith
Glacier Bay		North Marble
Golfo de Guayaquil		Santa Clara
Golfo de Panamá	Islas de las Perlas	Pedro González
Grays Harbor		Mini-Moon
Grays Harbor		Moon
Grays Harbor		Rennie
Grays Harbor		Whitcomb
Great Australian Bight		Sandy Hook
Great Salt Lake		Egg
Great Salt Lake		Gunnison
Great Salt Lake		Hat
Great Slave Lake		Stoney
Great South Bay		Gilgo
Green Bay		Washington
Guantánamo Bay		Cuba
Gulf of Alaska		Augustine
Gulf of Alaska		Channel
Gulf of Alaska		Chenega
Gulf of Alaska		Cheval
Gulf of Alaska		Chisik
Gulf of Alaska		Culross
Gulf of Alaska		Danger
Gulf of Alaska		Egg
Gulf of Alaska		Elizabeth
Gulf of Alaska		Elrington
Gulf of Alaska		Evans
Gulf of Alaska		Fish
Gulf of Alaska		Grass
Gulf of Alaska		Gravina
Gulf of Alaska		Green
Gulf of Alaska		Gull
Gulf of Alaska		Hawkins
Gulf of Alaska		Heart
Gulf of Alaska		Herendeen
Gulf of Alaska		Hesketh
Gulf of Alaska		Hinchinbrook
Gulf of Alaska		Ingot
Gulf of Alaska		Kalgin
Gulf of Alaska		Kayak
Gulf of Alaska		Kokinhenik
Gulf of Alaska		Latouche
Gulf of Alaska		Little Green
Gulf of Alaska		Martin
Gulf of Alaska		Matushka
Gulf of Alaska		Middleton
Gulf of Alaska		Montague
Gulf of Alaska		Naked
Gulf of Alaska		Natoa
Gulf of Alaska		Nuka
Gulf of Alaska		Olsen
Gulf of Alaska		Rugged
Gulf of Alaska		Tanker
Gulf of Alaska		Twoheaded
Gulf of Alaska		Ushagat
Gulf of Alaska		Whale
Gulf of Alaska		Yukon
Gulf of Alaska	Barren Islands	East Amatuli
Gulf of Alaska	Barren Islands	Sugarloaf
Gulf of Alaska	Barren Islands	West Amatuli
Gulf of Alaska	Chugach Islands	Chugach
Gulf of Alaska	Chugach Islands	Perl
Gulf of Alaska	Evans Island	Bishop Rock
Gulf of Alaska	Kodiak Archipelago	Afognak
Gulf of Alaska	Kodiak Archipelago	Afognak or Shuyak
Gulf of Alaska	Kodiak Archipelago	Big Fort
Gulf of Alaska	Kodiak Archipelago	Chiniak
Gulf of Alaska	Kodiak Archipelago	Chirikof
Gulf of Alaska	Kodiak Archipelago	Hog
Gulf of Alaska	Kodiak Archipelago	Kateekuk
Gulf of Alaska	Kodiak Archipelago	Kodiak
Gulf of Alaska	Kodiak Archipelago	Long Island
Gulf of Alaska	Kodiak Archipelago	Marmot
Gulf of Alaska	Kodiak Archipelago	Nuka
Gulf of Alaska	Kodiak Archipelago	Raspberry
Gulf of Alaska	Kodiak Archipelago	Shuyak
Gulf of Alaska	Kodiak Archipelago	Sitkalidak
Gulf of Alaska	Kodiak Archipelago	Spruce
Gulf of Alaska	Kodiak Island Archipelago	Ladder
Gulf of Alaska	Kodiak Island Archipelago	Lamb
Gulf of Alaska	Kodiak Island Archipelago	Mary
Gulf of Alaska	Kodiak Island Archipelago	Raspberry
Gulf of Alaska	Kodiak Island Archipelago	Spruce
Gulf of Alaska	Kodiak Island Archipelago	Woody
Gulf of Alaska	Pye Islands	Ragged
Gulf of Alaska	Semidi Islands	Chowiet
Gulf of Alaska	Semidi Islands	North Semidi
Gulf of Alaska	Trinity Islands	Sitkinak
Gulf of Alaska	Trinity Islands	Tugidak
Gulf of Aqaba		El Hamira
Gulf of Aqaba		Fara'un
Gulf of Chiriquí	Islas Contreras	Brincancon
Gulf of Guinea		Bioko
Gulf of Guinea	São Tomé and Príncipe	Príncipe
Gulf of Guinea	São Tomé and Príncipe	São Tomé
Gulf of Maine		Green
Gulf of Maine		Little Duck Isle
Gulf of Maine		Machias Seal
Gulf of Maine		Old Man
Gulf of Maine		Petit Manan
Gulf of Mexico		Anna Maria
Gulf of Mexico		Breton
Gulf of Mexico		Captiva
Gulf of Mexico		Cat
Gulf of Mexico		Cayo Costa
Gulf of Mexico		Chandeleur
Gulf of Mexico		Chatham Bend
Gulf of Mexico		Deer
Gulf of Mexico		Estero
Gulf of Mexico		Galveston
Gulf of Mexico		Gasparilla
Gulf of Mexico		Horn
Gulf of Mexico		Marco
Gulf of Mexico		Matagorda
Gulf of Mexico		Mustang Island
Gulf of Mexico		Palmetto
Gulf of Mexico		Paradise Key
Gulf of Mexico		Pine
Gulf of Mexico		Rock Island
Gulf of Mexico		Saint George
Gulf of Mexico		Sanibel
Gulf of Mexico		Santa Rosa
Gulf of Mexico		Shell Keys
Gulf of Mexico		Smith
Gulf of Mexico		South Padre
Gulf of Mexico		Terra Ceia
Gulf of Mexico	Cedar Keys	Cedar Key
Gulf of Mexico	Cedar Keys	Snake Key
Gulf of Mexico	Cedar Keys	Way Key
Gulf of Mexico	Dry Tortugas	Bird Key
Gulf of Mexico	Dry Tortugas	Bush Key
Gulf of Mexico	Dry Tortugas	Garden Key
Gulf of Mexico	Dry Tortugas Islands	Bird Keys
Gulf of Mexico	Florida Keys	Big Content Key
Gulf of Mexico	Florida Keys	Big Pine Key
Gulf of Mexico	Florida Keys	Big Torch Key
Gulf of Mexico	Florida Keys	Boca Chica Key
Gulf of Mexico	Florida Keys	Boca Chita Key
Gulf of Mexico	Florida Keys	Cudjoe Key
Gulf of Mexico	Florida Keys	East Rockland Key
Gulf of Mexico	Florida Keys	El Radabob Key
Gulf of Mexico	Florida Keys	Grassy Key
Gulf of Mexico	Florida Keys	Howe Key
Gulf of Mexico	Florida Keys	Johnston Key
Gulf of Mexico	Florida Keys	Kay Largo
Gulf of Mexico	Florida Keys	Key Biscayne
Gulf of Mexico	Florida Keys	Key Largo
Gulf of Mexico	Florida Keys	Key West
Gulf of Mexico	Florida Keys	Lignumvitae Key
Gulf of Mexico	Florida Keys	Little Torch Key
Gulf of Mexico	Florida Keys	Long
Gulf of Mexico	Florida Keys	Lower Sugarloaf Key
Gulf of Mexico	Florida Keys	Matecumbe Key
Gulf of Mexico	Florida Keys	Middle Content Key
Gulf of Mexico	Florida Keys	Middle Torch Key
Gulf of Mexico	Florida Keys	Pigeon Key
Gulf of Mexico	Florida Keys	Plantation Key
Gulf of Mexico	Florida Keys	Raccoon Key
Gulf of Mexico	Florida Keys	Ramrod Key
Gulf of Mexico	Florida Keys	Saddlebunch Key
Gulf of Mexico	Florida Keys	Stock
Gulf of Mexico	Florida Keys	Sugarloaf Key
Gulf of Mexico	Florida Keys	Summerland Key
Gulf of Mexico	Florida Keys	Upper Matecumbe Key
Gulf of Mexico	Florida Keys	Upper Sugarloaf Key
Gulf of Mexico	Florida Keys	Water Key
Gulf of Mexico	Texas Barrier Islands	Mustang
Gulf of Panama	Las Perlas	Isla del Rey
Gulf of Paria	Five Islands	Nelson
Gulf of Saint Lawrence		Bonaventure
Gulf of Saint Lawrence		Perroquets
Gulf of Saint Lawrence		Prince Edward Island
Gulf of Saint Lawrence	Bonaventure	Bonaventure
Gulf of Saint Lawrence	Îles de la Madeleine	Alright
Gulf of Saint Lawrence	Îles de la Madeleine	Cap-aux-Meules
Gulf of Saint Lawrence	Îles de la Madeleine	Rochers-aux-Oiseaux
Gulf of Saint Lawrence	Isle-aux-Grues	Grosse Île
Gulf of Saint Lawrence	Isle-aux-Grues	Grosse Isle
Gulf of Saint Lawrence	Magdalen Islands	Great Bird
Gulf of Saint Lawrence	Magdalen Islands	Grosse Isle
Gulf of Saint Lawrence	Magdalen Islands	Magdalen
Gulf of St. Lawrence	Îles de la Madeleine	Cap-aux-Meules
Gulf of Thailand		Ko Khram Yai
Hanauma Bay	Hawaiian Islands	Oahu
Hecate Strait		Porcher
Hecate Strait	Gibson Group	Gibson
Herring Bay		Knight
Herring Bay	Alexander Archipelago	Admiralty
Hidden Bay		Culross
Hingham Bay		Grape
Hingham Bay		Sheep
Hingham Bay		Slate
Hingham Bay		Spinnaker
Hodges Narrows		Hog
Horseshoe Bay	Bermuda	Main Island
Housatonic River		Duck
Howe Sound		Bowen
Hudson Bay		Bill Of Portland
Hudson Bay		Dunne Foxe
Hudson Bay		Savage
Hudson Bay		Southampton
Hudson Bay	Belcher Islands	Belcher
Hudson Bay	Belcher Islands	Wiegand
Hudson River		Green
Hudson River		Van Schaick
Hudson Strait	Button Islands	Lacy
Hudson Strait	Canadian Arctic Archipelago	Big
Hudson Strait	Canadian Arctic Archipelago	Mill
Indian Ocean		Barrow
Indian Ocean		Christmas
Indian Ocean		Eclipse
Indian Ocean		Heard
Indian Ocean		Kangaroo
Indian Ocean		Lancelin
Indian Ocean		Madagascar
Indian Ocean		Marion
Indian Ocean		Mombasa Island
Indian Ocean		Nosy Be
Indian Ocean		Nosy Boraha
Indian Ocean		Nouvelle Amsterdam
Indian Ocean		Roma
Indian Ocean		Rottnest
Indian Ocean		Saint-Paul
Indian Ocean		Sri Lanka
Indian Ocean		Thevenard
Indian Ocean	Aldabra Group	Aldabra Atoll
Indian Ocean	Aldabra Group	Assumption
Indian Ocean	Aldabra Group	Picard
Indian Ocean	Alphonse Group	Alphonse Atoll
Indian Ocean	Alphonse Group	St. François Atoll
