"verbatimSex","standardSex","uri","checked","opinionBy","opinionDate"
"Adult Male, SVL 210 mm, tail 259","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, SVL 560 mm, tail 290","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, SVL 71 mm","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, Tissue at LSU","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, tissue-liver sample ","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, Tissue-scale clips","male",,1,"John Wieczorek","2017-08-25"
"Adult Male, total length (visual","male",,1,"John Wieczorek","2017-08-25"
"Adult SVL 312mm,Tail 144mm",,,1,"John Wieczorek","2017-08-25"
"Adult tail clip tissue",,,1,"John Wieczorek","2017-08-25"
"Adult tail tissue clip",,,1,"John Wieczorek","2017-08-25"
"Adult with tail clip tissue",,,1,"John Wieczorek","2017-08-25"
"Adult with tissue",,,1,"John Wieczorek","2017-08-25"
"Adult,  SVL 216 mm, tail 20 mm, ",,,1,"John Wieczorek","2017-08-25"
"Adult,  SVL 235 mm, tail 30 mm, ",,,1,"John Wieczorek","2017-08-25"
"Adult, 361 mm SVL, Tail 67 mm, 1",,,1,"John Wieczorek","2017-08-25"
"Adult, 43 cm TL",,,1,"John Wieczorek","2017-08-25"
"Adult, 64 cm total length",,,1,"John Wieczorek","2017-08-25"
"Adult, black phase",,,1,"John Wieczorek","2017-08-25"
"Adult, ca 65 cm total length",,,1,"John Wieczorek","2017-08-25"
"Adult, cereberus",,,1,"John Wieczorek","2017-08-25"
"Adult, female?","female",,1,"John Wieczorek","2017-08-25"
"Adult, female? (short tail; did ","female",,1,"John Wieczorek","2017-08-25"
"Adult, liver tissue",,,1,"John Wieczorek","2017-08-25"
"Adult, Liver Tissue taken",,,1,"John Wieczorek","2017-08-25"
"Adult, skin clip tissue taken",,,1,"John Wieczorek","2017-08-25"
"Adult, SVL 235 mm",,,1,"John Wieczorek","2017-08-25"
"Adult, SVL 237mm, Tail 41 mm",,,1,"John Wieczorek","2017-08-25"
"Adult, SVL 265 mm, Tail 58 mm",,,1,"John Wieczorek","2017-08-25"
"Adult, SVL 63 mm, Tail 58 mm",,,1,"John Wieczorek","2017-08-25"
"Adult, SVL 633 mm, Tail 102.0 mm",,,1,"John Wieczorek","2017-08-25"
"Adult, tail tissue taken",,,1,"John Wieczorek","2017-08-25"
"Adult, tissue (tail) taken",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue at LSU",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue liver sample",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue- scale clip",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue scale clips",,,1,"John Wieczorek","2017-08-25"
"Adult, tissue taken from left le",,,1,"John Wieczorek","2017-08-25"
"Adult, tissue taken from right l",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue-liver",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue-liver sample",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue-liver sample taken",,,1,"John Wieczorek","2017-08-25"
"Adult, Tissue-scale clips",,,1,"John Wieczorek","2017-08-25"
"Adult,Liver tissue taken",,,1,"John Wieczorek","2017-08-25"
"adult/female","female",,1,"John Wieczorek","2017-08-25"
"Adults + Nestlings",,,1,"John Wieczorek","2017-08-25"
"AHY MALE","male",,1,"John Wieczorek","2017-08-25"
"AHY-M","male",,1,"John Wieczorek","2017-08-25"
"ALC.","unknown",,1,"John Wieczorek","2017-08-25"
"Amplexing with UAZ50272",,,1,"John Wieczorek","2017-08-25"
"Amplexing with UAZ50273",,,1,"John Wieczorek","2017-08-25"
"aOR at 0933 hrs, accidentally hi",,,1,"John Wieczorek","2017-08-25"
"AOR at 1705 hrs, accidentally hi",,,1,"John Wieczorek","2017-08-25"
"Apr","unknown",,1,"John Wieczorek","2017-08-25"
"Banded",,,1,"John Wieczorek","2017-08-25"
"belly mottled; throat dark; narr",,,1,"John Wieczorek","2017-08-25"
"belly mottled; throat salt and p",,,1,"John Wieczorek","2017-08-25"
"bicolored dewlap dark orange bas",,,1,"John Wieczorek","2017-08-25"
"bicolored dewlap-dark orange bas",,,1,"John Wieczorek","2017-08-25"
"black throat",,,1,"John Wieczorek","2017-08-25"
"Black throat with white spots",,,1,"John Wieczorek","2017-08-25"
"BLANK","unknown",,1,"John Wieczorek","2017-08-25"
"blue belly and throat",,,1,"John Wieczorek","2017-08-25"
"Body with slightly more green th",,,1,"John Wieczorek","2017-08-25"
"Born 7/18/1971 to UAZ34319",,,1,"John Wieczorek","2017-08-25"
"Born 7/19/1971 from UAZ34328",,,1,"John Wieczorek","2017-08-25"
"both","hermaphrodite",,1,"John Wieczorek","2017-08-25"
"breeding adult female","female",,1,"John Wieczorek","2017-08-25"
"broad orange line mid-dorsal; th",,,1,"John Wieczorek","2017-08-25"
"brown in life",,,1,"John Wieczorek","2017-08-25"
"Brown nuptial pads, throat yello",,,1,"John Wieczorek","2017-08-25"
"brown nuptial pads, yellow throa",,,1,"John Wieczorek","2017-08-25"
"captive for ca 1 year",,,1,"John Wieczorek","2017-08-25"
"cat. says M, label says M; mount","male",,1,"John Wieczorek","2017-08-25"
"Chick",,,1,"John Wieczorek","2017-08-25"
"chick 3-6 days",,,1,"John Wieczorek","2017-08-25"
"Cochise",,,1,"John Wieczorek","2017-08-25"
"could not determine","indeterminable",,1,"John Wieczorek","2017-08-25"
"D","unknown",,1,"John Wieczorek","2017-08-25"
"dark phase",,,1,"John Wieczorek","2017-08-25"
"desconegut","unknown",,1,"John Wieczorek","2017-08-25"
"Desconocido","unknown",,1,"David Bloom","2017-08-26"
"determine","unknown",,1,"John Wieczorek","2017-08-25"
"dewlap bicolor-darl orange basal",,,1,"John Wieczorek","2017-08-25"
"dewlap tricolored dark orange ba",,,1,"John Wieczorek","2017-08-25"
"died in container",,,1,"John Wieczorek","2017-08-25"
"Discarded",,,1,"John Wieczorek","2017-08-25"
"Dissect","unknown",,1,"John Wieczorek","2017-08-25"
"dorsum olive with scattered brow",,,1,"John Wieczorek","2017-08-25"
"downy","unknown",,1,"John Wieczorek","2017-08-25"
"Downy Young [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"EGG",,,1,"John Wieczorek","2017-08-25"
"Egg masses",,,1,"John Wieczorek","2017-08-25"
"Eggs",,,1,"John Wieczorek","2017-08-25"
"EMB 1 emb. 18mm","female",,1,"John Wieczorek","2017-08-25"
"Embryo",,,1,"John Wieczorek","2017-08-25"
"ETOH tissue sample taken",,,1,"John Wieczorek","2017-08-25"
"F","female",,1,"John Wieczorek","2017-08-25"
"F-","female",,1,"John Wieczorek","2017-08-25"
"F  [=M]","unknown",,1,"John Wieczorek","2017-08-25"
"F  [F struck through]","female",,1,"John Wieczorek","2017-08-25"
"F  Adult","female",,1,"John Wieczorek","2017-08-25"
"F  Age 5 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F  juvenile","female",,1,"John Wieczorek","2017-08-25"
"F !","female",,1,"John Wieczorek","2017-08-25"
"F & 2 juv.","female",,1,"John Wieczorek","2017-08-25"
"F (? M)","in question",,1,"John Wieczorek","2017-08-25"
"F (?)","in question",,1,"John Wieczorek","2017-08-25"
"F (=?)","in question",,1,"John Wieczorek","2017-08-25"
"F (=M)","unknown",,1,"John Wieczorek","2017-08-25"
"F (1st year)","female",,1,"John Wieczorek","2017-08-25"
"F (by dissection)","female",,1,"John Wieczorek","2017-08-25"
"f (by plumage)","female",,1,"John Wieczorek","2017-08-25"
"F (cat. lists as F juv.)","female",,1,"John Wieczorek","2017-08-25"
"F (cat. says none, looks like F)","female",,1,"John Wieczorek","2017-08-25"
"F (cataloged M)","female",,1,"John Wieczorek","2017-08-25"
"F (dark)","female",,1,"John Wieczorek","2017-08-25"
"F (flacid)","female",,1,"John Wieczorek","2017-08-25"
"F (full dev. eggs)","female",,1,"John Wieczorek","2017-08-25"
"f (gran)","female",,1,"John Wieczorek","2017-08-25"
"f (Gran.)","female",,1,"John Wieczorek","2017-08-25"
"F (HY)","female",,1,"John Wieczorek","2017-08-25"
"F (LF 15x8)","female",,1,"John Wieczorek","2017-08-25"
"F (LF=0.7)","female",,1,"John Wieczorek","2017-08-25"
"F (light)","female",,1,"John Wieczorek","2017-08-25"
"F (M ?)","in question",,1,"John Wieczorek","2017-08-25"
"F (M juv.)","unknown",,1,"John Wieczorek","2017-08-25"
"F (M)","unknown",,1,"John Wieczorek","2017-08-25"
"f (mp)","female",,1,"John Wieczorek","2017-08-25"
"f (no emb)","female",,1,"John Wieczorek","2017-08-25"
"F (originally cataloged as F)","female",,1,"John Wieczorek","2017-08-25"
"F (OSE)","female",,1,"John Wieczorek","2017-08-25"
"F (Perf)","female",,1,"John Wieczorek","2017-08-25"
"F (probably)","female",,1,"John Wieczorek","2017-08-25"
"F (with curved line resting on t","female",,1,"John Wieczorek","2017-08-25"
"F )?)","in question",,1,"John Wieczorek","2017-08-25"
"F *","female",,1,"John Wieczorek","2017-08-25"
"F ?","in question",,1,"John Wieczorek","2017-08-25"
"F ? (M ?)","in question",,1,"John Wieczorek","2017-08-25"
"F ? (M J)","in question",,1,"John Wieczorek","2017-08-25"
"F ? (M)","in question",,1,"John Wieczorek","2017-08-25"
"F ? [=F]","in question",,1,"John Wieczorek","2017-08-25"
"F ? [=M]","in question",,1,"John Wieczorek","2017-08-25"
"F ? [M]","in question",,1,"John Wieczorek","2017-08-25"
"F ? ARP","in question",,1,"John Wieczorek","2017-08-25"
"F ? IMM","in question",,1,"John Wieczorek","2017-08-25"
"F ? JUV","in question",,1,"John Wieczorek","2017-08-25"
"F ? M","in question",,1,"John Wieczorek","2017-08-25"
"F ? or M?","in question",,1,"John Wieczorek","2017-08-25"
"F ??","in question",,1,"John Wieczorek","2017-08-25"
"F ?[=M]","in question",,1,"John Wieczorek","2017-08-25"
"F [!]","female",,1,"John Wieczorek","2017-08-25"
"F [?]","in question",,1,"John Wieczorek","2017-08-25"
"F [= M]","unknown",,1,"John Wieczorek","2017-08-25"
"F [=almost sure M]","male",,1,"John Wieczorek","2017-08-25"
"F [=M ?]","in question",,1,"John Wieczorek","2017-08-25"
"F [=M?]","in question",,1,"John Wieczorek","2017-08-25"
"F [=M]","unknown",,1,"John Wieczorek","2017-08-25"
"'F' [=M]","unknown",,1,"John Wieczorek","2017-08-25"
"F [01710 cataloged as M, 35517 a","female",,1,"John Wieczorek","2017-08-25"
"F [F M]","unknown",,1,"John Wieczorek","2017-08-25"
"F [F]","female",,1,"John Wieczorek","2017-08-25"
"F [illeg.]","female",,1,"John Wieczorek","2017-08-25"
"F [illeg]","female",,1,"John Wieczorek","2017-08-25"
"f [juvenile]","female",,1,"John Wieczorek","2017-08-25"
"F [likely a M]","male",,1,"John Wieczorek","2017-08-25"
"F [M ?]","in question",,1,"John Wieczorek","2017-08-25"
"F [M listed on tag]","female",,1,"John Wieczorek","2017-08-25"
"F [M!]","unknown",,1,"John Wieczorek","2017-08-25"
"F [M?]","in question",,1,"John Wieczorek","2017-08-25"
"F [M]","unknown",,1,"John Wieczorek","2017-08-25"
"'F' [M]","unknown",,1,"John Wieczorek","2017-08-25"
"F [M] ?","in question",,1,"John Wieczorek","2017-08-25"
"F [M] CHECK","female",,1,"John Wieczorek","2017-08-25"
"F [M]!","unknown",,1,"John Wieczorek","2017-08-25"
"F [M=]","unknown",,1,"John Wieczorek","2017-08-25"
"F [perhaps M ?]","in question",,1,"John Wieczorek","2017-08-25"
"F [Sign not very legible]","female",,1,"John Wieczorek","2017-08-25"
"F [sure=M]","male",,1,"John Wieczorek","2017-08-25"
"F +","female",,1,"John Wieczorek","2017-08-25"
"F ++","female",,1,"John Wieczorek","2017-08-25"
"F =","female",,1,"John Wieczorek","2017-08-25"
"F = [M Juv.]?","in question",,1,"John Wieczorek","2017-08-25"
"F = [M]","unknown",,1,"John Wieczorek","2017-08-25"
"F = M","unknown",,1,"John Wieczorek","2017-08-25"
"F =[M]","unknown",,1,"John Wieczorek","2017-08-25"
"F =M ?","in question",,1,"John Wieczorek","2017-08-25"
"F 10 days old","female",,1,"John Wieczorek","2017-08-25"
"F 1971HY","female",,1,"John Wieczorek","2017-08-25"
"F 1976 HY","female",,1,"John Wieczorek","2017-08-25"
"F 1977HY","female",,1,"John Wieczorek","2017-08-25"
"F 1979HY","female",,1,"John Wieczorek","2017-08-25"
"F 1980 HY","female",,1,"John Wieczorek","2017-08-25"
"F 1980HY","female",,1,"John Wieczorek","2017-08-25"
"F 1981 HY","female",,1,"John Wieczorek","2017-08-25"
"F 1981HY","female",,1,"John Wieczorek","2017-08-25"
"F 1st year","female",,1,"John Wieczorek","2017-08-25"
"F 1st yr.","female",,1,"John Wieczorek","2017-08-25"
"F 1st yr. HY","female",,1,"John Wieczorek","2017-08-25"
"F 3 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F 5 yr.","female",,1,"John Wieczorek","2017-08-25"
"F 6 days old","female",,1,"John Wieczorek","2017-08-25"
"F 6 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F 74HY","female",,1,"John Wieczorek","2017-08-25"
"F AD","female",,1,"John Wieczorek","2017-08-25"
"F Ad.","female",,1,"John Wieczorek","2017-08-25"
"F Adu.","female",,1,"John Wieczorek","2017-08-25"
"F adult","female",,1,"John Wieczorek","2017-08-25"
"F Age 3 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F age 31 days","female",,1,"John Wieczorek","2017-08-25"
"F Age 7 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F Age 8 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F age 9 yrs.","female",,1,"John Wieczorek","2017-08-25"
"F AHY","female",,1,"John Wieczorek","2017-08-25"
"F br","female",,1,"John Wieczorek","2017-08-25"
"F br.","female",,1,"John Wieczorek","2017-08-25"
"F by diseection","female",,1,"John Wieczorek","2017-08-25"
"F by dissection","female",,1,"John Wieczorek","2017-08-25"
"F -class Ia-b","female",,1,"John Wieczorek","2017-08-25"
"F F","female",,1,"John Wieczorek","2017-08-25"
"F hatched about 1 June, 1979","female",,1,"John Wieczorek","2017-08-25"
"F IMM","female",,1,"John Wieczorek","2017-08-25"
"F imm.","female",,1,"John Wieczorek","2017-08-25"
"F Imm. YY","female",,1,"John Wieczorek","2017-08-25"
"F immature","female",,1,"John Wieczorek","2017-08-25"
"F JUV","female",,1,"John Wieczorek","2017-08-25"
"F JUV.","female",,1,"John Wieczorek","2017-08-25"
"F juv. winter phase","female",,1,"John Wieczorek","2017-08-25"
"F juv.nestl","female",,1,"John Wieczorek","2017-08-25"
"F JUV?","in question",,1,"John Wieczorek","2017-08-25"
"F juvenile","female",,1,"John Wieczorek","2017-08-25"
"F M","female | male",,1,"John Wieczorek","2017-08-25"
"F M ?","in question",,1,"John Wieczorek","2017-08-25"
"F mate of #358","female",,1,"John Wieczorek","2017-08-25"
"F nestling","female",,1,"John Wieczorek","2017-08-25"
"f no emb","female",,1,"John Wieczorek","2017-08-25"
"f no Pl. Sc.","female",,1,"John Wieczorek","2017-08-25"
"F o.n.e.","female",,1,"John Wieczorek","2017-08-25"
"F o.s.e.","female",,1,"John Wieczorek","2017-08-25"
"F or (M juv)","unknown",,1,"John Wieczorek","2017-08-25"
"F OR IMM","unknown",,1,"John Wieczorek","2017-08-25"
"F OR JUV","unknown",,1,"John Wieczorek","2017-08-25"
"F or M","unknown",,1,"John Wieczorek","2017-08-25"
"F or M juv","unknown",,1,"John Wieczorek","2017-08-25"
"F partial imm.","female",,1,"John Wieczorek","2017-08-25"
"F pregnant","female",,1,"John Wieczorek","2017-08-25"
"F prob.","female",,1,"John Wieczorek","2017-08-25"
"F S.Ad.","female",,1,"John Wieczorek","2017-08-25"
"F subad.","female",,1,"John Wieczorek","2017-08-25"
"F subadult","female",,1,"John Wieczorek","2017-08-25"
"F with eggs","female",,1,"John Wieczorek","2017-08-25"
"f","female",,1,"John Wieczorek","2017-08-25"
"Ffemale","female",,1,"John Wieczorek","2017-08-25"
"Fmalefemale","female | male",,1,"John Wieczorek","2017-08-25"
"F!","female",,1,"John Wieczorek","2017-08-25"
"F! [M]","unknown",,1,"John Wieczorek","2017-08-25"
"F(?)","in question",,1,"John Wieczorek","2017-08-25"
"f(?), adult","in question",,1,"John Wieczorek","2017-08-25"
"F(?)/sub-adult","female",,1,"John Wieczorek","2017-08-25"
"F(?)M","in question",,1,"John Wieczorek","2017-08-25"
"F(?M juv)","in question",,1,"John Wieczorek","2017-08-25"
"F(?M)","in question",,1,"John Wieczorek","2017-08-25"
"F(a M im - L.F)","unknown",,1,"John Wieczorek","2017-08-25"
"f(by Plumage)","female",,1,"John Wieczorek","2017-08-25"
"F(HY)","female",,1,"John Wieczorek","2017-08-25"
"F(M juv.)","unknown",,1,"John Wieczorek","2017-08-25"
"F(M)","unknown",,1,"John Wieczorek","2017-08-25"
"F(M?)","in question",,1,"John Wieczorek","2017-08-25"
"F*","female",,1,"John Wieczorek","2017-08-25"
"F, ""juv""","female",,1,"John Wieczorek","2017-08-25"
"F, 1st year","female",,1,"John Wieczorek","2017-08-25"
"f, adult","female",,1,"John Wieczorek","2017-08-25"
"F, ägg","female",,1,"John Wieczorek","2017-08-25"
"F, by dissection","female",,1,"John Wieczorek","2017-08-25"
"F, imm.","female",,1,"John Wieczorek","2017-08-25"
"f, immature","female",,1,"John Wieczorek","2017-08-25"
"f, juvenile","female",,1,"John Wieczorek","2017-08-25"
"F, M, U","female | male | unknown",,1,"John Wieczorek","2017-08-25"
"F, NESTLING","female",,1,"John Wieczorek","2017-08-25"
"F, prob.","female",,1,"John Wieczorek","2017-08-25"
"F, U","female | unknown",,1,"John Wieczorek","2017-08-25"
"F.","female",,1,"John Wieczorek","2017-08-25"
"f. adult","female",,1,"John Wieczorek","2017-08-25"
"F.female","female",,1,"John Wieczorek","2017-08-25"
"F/(yearling)","female",,1,"John Wieczorek","2017-08-25"
"F/08 days old","female",,1,"John Wieczorek","2017-08-25"
"F/1 day old","female",,1,"John Wieczorek","2017-08-25"
"F/10 days","female",,1,"John Wieczorek","2017-08-25"
"F/10 days old","female",,1,"John Wieczorek","2017-08-25"
"F/13 days","female",,1,"John Wieczorek","2017-08-25"
"F/14 days old","female",,1,"John Wieczorek","2017-08-25"
"F/17 months","female",,1,"John Wieczorek","2017-08-25"
"F/19 months","female",,1,"John Wieczorek","2017-08-25"
"F/2 days","female",,1,"John Wieczorek","2017-08-25"
"F/2 years","female",,1,"John Wieczorek","2017-08-25"
"F/20 days","female",,1,"John Wieczorek","2017-08-25"
"F/21 days","female",,1,"John Wieczorek","2017-08-25"
"F/25 days","female",,1,"John Wieczorek","2017-08-25"
"F/3 days old","female",,1,"John Wieczorek","2017-08-25"
"F/30 days","female",,1,"John Wieczorek","2017-08-25"
"F/4 yrs.GON=3.5x1.8","female",,1,"John Wieczorek","2017-08-25"
"F/40 days","female",,1,"John Wieczorek","2017-08-25"
"F/41 days","female",,1,"John Wieczorek","2017-08-25"
"F/42 days old","female",,1,"John Wieczorek","2017-08-25"
"F/6 days","female",,1,"John Wieczorek","2017-08-25"
"F/6 years","female",,1,"John Wieczorek","2017-08-25"
"F/8 days old","female",,1,"John Wieczorek","2017-08-25"
"F/8 years","female",,1,"John Wieczorek","2017-08-25"
"F/86 days","female",,1,"John Wieczorek","2017-08-25"
"F/9 days old","female",,1,"John Wieczorek","2017-08-25"
"F/AD","female",,1,"John Wieczorek","2017-08-25"
"F/adult","female",,1,"John Wieczorek","2017-08-25"
"F/class Ia","female",,1,"John Wieczorek","2017-08-25"
"F/first year","female",,1,"John Wieczorek","2017-08-25"
"F/FLEDGLING","female",,1,"John Wieczorek","2017-08-25"
"F/HY","female",,1,"John Wieczorek","2017-08-25"
"F/IMM","female",,1,"John Wieczorek","2017-08-25"
"F/imm.","female",,1,"John Wieczorek","2017-08-25"
"F/imm.GON=16.1x5.2","female",,1,"John Wieczorek","2017-08-25"
"F/immature","female",,1,"John Wieczorek","2017-08-25"
"F/J","female",,1,"John Wieczorek","2017-08-25"
"F/JUV","female",,1,"John Wieczorek","2017-08-25"
"F/juv.","female",,1,"John Wieczorek","2017-08-25"
"F/juvenile","female",,1,"John Wieczorek","2017-08-25"
"F/M","unknown",,1,"John Wieczorek","2017-08-25"
"F/NA","female",,1,"John Wieczorek","2017-08-25"
"F/NESTLING","female",,1,"John Wieczorek","2017-08-25"
"F/yearling","female",,1,"John Wieczorek","2017-08-25"
"F/ylg.","female",,1,"John Wieczorek","2017-08-25"
"F/yrlg.","female",,1,"John Wieczorek","2017-08-25"
"F; confirmed by dissection","female",,1,"John Wieczorek","2017-08-25"
"F; imm.","female",,1,"John Wieczorek","2017-08-25"
"F?","in question",,1,"John Wieczorek","2017-08-25"
"F-?","in question",,1,"John Wieczorek","2017-08-25"
"F? M juv","in question",,1,"John Wieczorek","2017-08-25"
"F? M? [M]",,,1,"John Wieczorek","2017-08-25"
"F?(M juv)","in question",,1,"John Wieczorek","2017-08-25"
"F?(M)","in question",,1,"John Wieczorek","2017-08-25"
"F?)","in question",,1,"John Wieczorek","2017-08-25"
"F?*","in question",,1,"John Wieczorek","2017-08-25"
"F?, imm.","female",,1,"John Wieczorek","2017-08-25"
"F?, juv","in question",,1,"John Wieczorek","2017-08-25"
"F?/AD","in question",,1,"John Wieczorek","2017-08-25"
"F?/FLEDGLING","in question",,1,"John Wieczorek","2017-08-25"
"F?/IMM","in question",,1,"John Wieczorek","2017-08-25"
"F??","in question",,1,"John Wieczorek","2017-08-25"
"F?[=M]","in question",,1,"John Wieczorek","2017-08-25"
"F?[M]","in question",,1,"John Wieczorek","2017-08-25"
"F?adult-short tusks","female",,1,"John Wieczorek","2017-08-25"
"F?M","in question",,1,"John Wieczorek","2017-08-25"
"F[* with ? below *]","in question",,1,"John Wieczorek","2017-08-25"
"F[?]","in question",,1,"John Wieczorek","2017-08-25"
"F-[?](See Remarks)","in question",,1,"John Wieczorek","2017-08-25"
"F[?]*","in question",,1,"John Wieczorek","2017-08-25"
"F[=M ad]","unknown",,1,"John Wieczorek","2017-08-25"
"F[=M?]","in question",,1,"John Wieczorek","2017-08-25"
"F[=M]","unknown",,1,"John Wieczorek","2017-08-25"
"'F'[=M]","unknown",,1,"John Wieczorek","2017-08-25"
"F[almost surely a M from size]","male",,1,"John Wieczorek","2017-08-25"
"F[illeg]","female",,1,"John Wieczorek","2017-08-25"
"F[M ?]","in question",,1,"John Wieczorek","2017-08-25"
"F[M juv.]","unknown",,1,"John Wieczorek","2017-08-25"
"F[M juv]","unknown",,1,"John Wieczorek","2017-08-25"
"F[M?]","in question",,1,"John Wieczorek","2017-08-25"
"F[M]","unknown",,1,"John Wieczorek","2017-08-25"
"F[M]?!","in question",,1,"John Wieczorek","2017-08-25"
"F]","female",,1,"John Wieczorek","2017-08-25"
"F`","female",,1,"John Wieczorek","2017-08-25"
"F~","female",,1,"John Wieczorek","2017-08-25"
"F~ JUV","female",,1,"John Wieczorek","2017-08-25"
"F+","female",,1,"John Wieczorek","2017-08-25"
"F4","female",,1,"John Wieczorek","2017-08-25"
"Fall Male","male",,1,"John Wieczorek","2017-08-25"
"Fby dissection","female",,1,"John Wieczorek","2017-08-25"
"F'CHICK'","female",,1,"John Wieczorek","2017-08-25"
"FD","female",,1,"John Wieczorek","2017-08-25"
"FELMALE","female",,1,"John Wieczorek","2017-08-25"
"FEMAL","female",,1,"John Wieczorek","2017-08-25"
"FEMALAE","female",,1,"John Wieczorek","2017-08-25"
"female","female",,1,"John Wieczorek","2017-08-25"
"Female - ?","female",,1,"John Wieczorek","2017-08-25"
"Female - Adult","female",,1,"John Wieczorek","2017-08-25"
"Female - HY","female",,1,"John Wieczorek","2017-08-25"
"Female - S.Ad.","female",,1,"John Wieczorek","2017-08-25"
"female (? - see note)/male (? - ","in question",,1,"John Wieczorek","2017-08-25"
"Female (?)","in question",,1,"John Wieczorek","2017-08-25"
"female (?, see note)","female",,1,"John Wieczorek","2017-08-25"
"female (1 day old)","female",,1,"John Wieczorek","2017-08-25"
"female (2yrs)","female",,1,"John Wieczorek","2017-08-25"
"female (3 days old)","female",,1,"John Wieczorek","2017-08-25"
"Female (A.R. Phillips)","female",,1,"John Wieczorek","2017-08-25"
"female (believed to be)","female",,1,"John Wieczorek","2017-08-25"
"female (but see notes)","female",,1,"John Wieczorek","2017-08-25"
"female (by gonads)","female",,1,"John Wieczorek","2017-08-25"
"Female (by gonads))","female",,1,"John Wieczorek","2017-08-25"
"female (by plumage)","female",,1,"John Wieczorek","2017-08-25"
"female (fide Sclater 1888, Cat. ","female",,1,"John Wieczorek","2017-08-25"
"female (fide Sclater, 1888, Cat.","female",,1,"John Wieczorek","2017-08-25"
"female (HY)","female",,1,"John Wieczorek","2017-08-25"
"female (identified later as)","female",,1,"John Wieczorek","2017-08-25"
"female (imm.)","female",,1,"John Wieczorek","2017-08-25"
"female (immature)","female",,1,"John Wieczorek","2017-08-25"
"female (imp.)","female",,1,"John Wieczorek","2017-08-25"
"female (in register)","female",,1,"John Wieczorek","2017-08-25"
"female (juv.)","female",,1,"John Wieczorek","2017-08-25"
"female (juv?)","female",,1,"John Wieczorek","2017-08-25"
"female (juvenile)","female",,1,"John Wieczorek","2017-08-25"
"female (lac.)","female",,1,"John Wieczorek","2017-08-25"
"female (lact)","female",,1,"John Wieczorek","2017-08-25"
"female (later identified as)","female",,1,"John Wieczorek","2017-08-25"
"Female (LF=1.8)","female",,1,"John Wieczorek","2017-08-25"
"Female (LF=3.9)","female",,1,"John Wieczorek","2017-08-25"
"Female (likely)","female",,1,"John Wieczorek","2017-08-25"
"female (M)","unknown",,1,"John Wieczorek","2017-08-25"
"female (male, on label)","female",,1,"John Wieczorek","2017-08-25"
"female ('may be')","female",,1,"John Wieczorek","2017-08-25"
"female ('not breeding' on label)","female",,1,"John Wieczorek","2017-08-25"
"female (on label)","female",,1,"John Wieczorek","2017-08-25"
"female (on label)/male (in text)","female",,1,"John Wieczorek","2017-08-25"
"female (on plumage)","female",,1,"John Wieczorek","2017-08-25"
"female (or immature)","female",,1,"John Wieczorek","2017-08-25"
"female (preg.)","female",,1,"John Wieczorek","2017-08-25"
"Female (probably)","female",,1,"John Wieczorek","2017-08-25"
"female ('probably')","female",,1,"John Wieczorek","2017-08-25"
"female (sa)","female",,1,"John Wieczorek","2017-08-25"
"female (see note)","female",,1,"John Wieczorek","2017-08-25"
"female (see notes)","female",,1,"John Wieczorek","2017-08-25"
"female (sub-adult)","female",,1,"John Wieczorek","2017-08-25"
"female (subsequently considered ","female",,1,"John Wieczorek","2017-08-25"
"female (subsequently sexed as)","female",,1,"John Wieczorek","2017-08-25"
"female , female","female",,1,"John Wieczorek","2017-08-25"
"Female ?","in question",,1,"John Wieczorek","2017-08-25"
"Female [?]","in question",,1,"John Wieczorek","2017-08-25"
"Female [= Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"Female [Adult]","female",,1,"John Wieczorek","2017-08-25"
"Female [Immature]","female",,1,"John Wieczorek","2017-08-25"
"Female [Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"Female [Male?]","in question",,1,"John Wieczorek","2017-08-25"
"Female [Male]","female | male",,1,"John Wieczorek","2017-08-25"
"female | male","female | male",,1,"John Wieczorek","2017-12-23"
"Female + Male + Nest","female | male",,1,"John Wieczorek","2017-08-25"
"FEMALE 23","female",,1,"John Wieczorek","2017-08-25"
"Female 42 mm SVL","female",,1,"John Wieczorek","2017-08-25"
"Female adult","female",,1,"John Wieczorek","2017-08-25"
"Female and 1 newborn","female",,1,"John Wieczorek","2017-08-25"
"female and male","female | male",,1,"John Wieczorek","2017-08-25"
"Female br.","female",,1,"John Wieczorek","2017-08-25"
