"u_datumstr","epsg"
"GEO-SIRGAS2000_EGM-2325",4674
"GEO-SIRGAS2000_EGM-233",4674
"GEO-SIRGAS2000_EGM-2337",4674
"GEO-SIRGAS2000_EGM-234",4674
"GEO-SIRGAS2000_EGM-235",4674
"GEO-SIRGAS2000_EGM-236",4674
"GEO-SIRGAS2000_EGM-237",4674
"GEO-SIRGAS2000_EGM-238",4674
"GEO-SIRGAS2000_EGM-239",4674
"GEO-SIRGAS2000_EGM-2394",4674
"GEO-SIRGAS2000_EGM-2399",4674
"GEO-SIRGAS2000_EGM-240",4674
"GEO-SIRGAS2000_EGM-241",4674
"GEO-SIRGAS2000_EGM-242",4674
"GEO-SIRGAS2000_EGM-243",4674
"GEO-SIRGAS2000_EGM-244",4674
"GEO-SIRGAS2000_EGM-245",4674
"GEO-SIRGAS2000_EGM-2451",4674
"GEO-SIRGAS2000_EGM-246",4674
"GEO-SIRGAS2000_EGM-247",4674
"GEO-SIRGAS2000_EGM-248",4674
"GEO-SIRGAS2000_EGM-249",4674
"GEO-SIRGAS2000_EGM-250",4674
"GEO-SIRGAS2000_EGM-251",4674
"GEO-SIRGAS2000_EGM-252",4674
"GEO-SIRGAS2000_EGM-253",4674
"GEO-SIRGAS2000_EGM-254",4674
"GEO-SIRGAS2000_EGM-255",4674
"GEO-SIRGAS2000_EGM-256",4674
"GEO-SIRGAS2000_EGM-257",4674
"GEO-SIRGAS2000_EGM-258",4674
"GEO-SIRGAS2000_EGM-259",4674
"GEO-SIRGAS2000_EGM-260",4674
"GEO-SIRGAS2000_EGM-261",4674
"GEO-SIRGAS2000_EGM-262",4674
"GEO-SIRGAS2000_EGM-263",4674
"GEO-SIRGAS2000_EGM-264",4674
"GEO-SIRGAS2000_EGM-265",4674
"GEO-SIRGAS2000_EGM-266",4674
"GEO-SIRGAS2000_EGM-267",4674
"GEO-SIRGAS2000_EGM-268",4674
"GEO-SIRGAS2000_EGM-269",4674
"GEO-SIRGAS2000_EGM-270",4674
"GEO-SIRGAS2000_EGM-271",4674
"GEO-SIRGAS2000_EGM-272",4674
"GEO-SIRGAS2000_EGM-273",4674
"GEO-SIRGAS2000_EGM-274",4674
"GEO-SIRGAS2000_EGM-275",4674
"GEO-SIRGAS2000_EGM-276",4674
"GEO-SIRGAS2000_EGM-277",4674
"GEO-SIRGAS2000_EGM-278",4674
"GEO-SIRGAS2000_EGM-279",4674
"GEO-SIRGAS2000_EGM-280",4674
"GEO-SIRGAS2000_EGM-281",4674
"GEO-SIRGAS2000_EGM-282",4674
"GEO-SIRGAS2000_EGM-283",4674
"GEO-SIRGAS2000_EGM-284",4674
"GEO-SIRGAS2000_EGM-285",4674
"GEO-SIRGAS2000_EGM-286",4674
"GEO-SIRGAS2000_EGM-287",4674
"GEO-SIRGAS2000_EGM-288",4674
"GEO-SIRGAS2000_EGM-289",4674
"GEO-SIRGAS2000_EGM-2898",4674
"GEO-SIRGAS2000_EGM-290",4674
"GEO-SIRGAS2000_EGM-291",4674
"GEO-SIRGAS2000_EGM-292",4674
"GEO-SIRGAS2000_EGM-293",4674
"GEO-SIRGAS2000_EGM-294",4674
"GEO-SIRGAS2000_EGM-295",4674
"GEO-SIRGAS2000_EGM-296",4674
"GEO-SIRGAS2000_EGM-297",4674
"GEO-SIRGAS2000_EGM-2974",4674
"GEO-SIRGAS2000_EGM-298",4674
"GEO-SIRGAS2000_EGM-299",4674
"GEO-SIRGAS2000_EGM-300",4674
"GEO-SIRGAS2000_EGM-301",4674
"GEO-SIRGAS2000_EGM-302",4674
"GEO-SIRGAS2000_EGM-303",4674
"GEO-SIRGAS2000_EGM-304",4674
"GEO-SIRGAS2000_EGM-305",4674
"GEO-SIRGAS2000_EGM-306",4674
"GEO-SIRGAS2000_EGM-307",4674
"GEO-SIRGAS2000_EGM-308",4674
"GEO-SIRGAS2000_EGM-309",4674
"GEO-SIRGAS2000_EGM-310",4674
"GEO-SIRGAS2000_EGM-311",4674
"GEO-SIRGAS2000_EGM-312",4674
"GEO-SIRGAS2000_EGM-313",4674
"GEO-SIRGAS2000_EGM-314",4674
"GEO-SIRGAS2000_EGM-315",4674
"GEO-SIRGAS2000_EGM-316",4674
"GEO-SIRGAS2000_EGM-317",4674
"GEO-SIRGAS2000_EGM-318",4674
"GEO-SIRGAS2000_EGM-319",4674
"GEO-SIRGAS2000_EGM-320",4674
"GEO-SIRGAS2000_EGM-321",4674
"GEO-SIRGAS2000_EGM-322",4674
"GEO-SIRGAS2000_EGM-323",4674
"GEO-SIRGAS2000_EGM-324",4674
"GEO-SIRGAS2000_EGM-325",4674
"GEO-SIRGAS2000_EGM-326",4674
"GEO-SIRGAS2000_EGM-327",4674
"GEO-SIRGAS2000_EGM-328",4674
"GEO-SIRGAS2000_EGM-329",4674
"GEO-SIRGAS2000_EGM-330",4674
"GEO-SIRGAS2000_EGM-331",4674
"GEO-SIRGAS2000_EGM-332",4674
"GEO-SIRGAS2000_EGM-333",4674
"GEO-SIRGAS2000_EGM-334",4674
"GEO-SIRGAS2000_EGM-335",4674
"GEO-SIRGAS2000_EGM-336",4674
"GEO-SIRGAS2000_EGM-337",4674
"GEO-SIRGAS2000_EGM-338",4674
"GEO-SIRGAS2000_EGM-339",4674
"GEO-SIRGAS2000_EGM-340",4674
"GEO-SIRGAS2000_EGM-341",4674
"GEO-SIRGAS2000_EGM-342",4674
"GEO-SIRGAS2000_EGM-343",4674
"GEO-SIRGAS2000_EGM-3436",4674
"GEO-SIRGAS2000_EGM-344",4674
"GEO-SIRGAS2000_EGM-345",4674
"GEO-SIRGAS2000_EGM-346",4674
"GEO-SIRGAS2000_EGM-347",4674
"GEO-SIRGAS2000_EGM-348",4674
"GEO-SIRGAS2000_EGM-349",4674
"GEO-SIRGAS2000_EGM-350",4674
"GEO-SIRGAS2000_EGM-351",4674
"GEO-SIRGAS2000_EGM-3511",4674
"GEO-SIRGAS2000_EGM-352",4674
"GEO-SIRGAS2000_EGM-3529",4674
"GEO-SIRGAS2000_EGM-353",4674
"GEO-SIRGAS2000_EGM-354",4674
"GEO-SIRGAS2000_EGM-355",4674
"GEO-SIRGAS2000_EGM-356",4674
"GEO-SIRGAS2000_EGM-357",4674
"GEO-SIRGAS2000_EGM-358",4674
"GEO-SIRGAS2000_EGM-359",4674
"GEO-SIRGAS2000_EGM-360",4674
"GEO-SIRGAS2000_EGM-361",4674
"GEO-SIRGAS2000_EGM-362",4674
"GEO-SIRGAS2000_EGM-3624",4674
"GEO-SIRGAS2000_EGM-363",4674
"GEO-SIRGAS2000_EGM-364",4674
"GEO-SIRGAS2000_EGM-365",4674
"GEO-SIRGAS2000_EGM-366",4674
"GEO-SIRGAS2000_EGM-367",4674
"GEO-SIRGAS2000_EGM-368",4674
"GEO-SIRGAS2000_EGM-369",4674
"GEO-SIRGAS2000_EGM-370",4674
"GEO-SIRGAS2000_EGM-371",4674
"GEO-SIRGAS2000_EGM-372",4674
"GEO-SIRGAS2000_EGM-373",4674
"GEO-SIRGAS2000_EGM-374",4674
"GEO-SIRGAS2000_EGM-375",4674
"GEO-SIRGAS2000_EGM-376",4674
"GEO-SIRGAS2000_EGM-377",4674
"GEO-SIRGAS2000_EGM-378",4674
"GEO-SIRGAS2000_EGM-379",4674
"GEO-SIRGAS2000_EGM-380",4674
"GEO-SIRGAS2000_EGM-381",4674
"GEO-SIRGAS2000_EGM-382",4674
"GEO-SIRGAS2000_EGM-383",4674
"GEO-SIRGAS2000_EGM-384",4674
"GEO-SIRGAS2000_EGM-385",4674
"GEO-SIRGAS2000_EGM-386",4674
"GEO-SIRGAS2000_EGM-387",4674
"GEO-SIRGAS2000_EGM-388",4674
"GEO-SIRGAS2000_EGM-389",4674
"GEO-SIRGAS2000_EGM-390",4674
"GEO-SIRGAS2000_EGM-391",4674
"GEO-SIRGAS2000_EGM-392",4674
"GEO-SIRGAS2000_EGM-393",4674
"GEO-SIRGAS2000_EGM-394",4674
"GEO-SIRGAS2000_EGM-395",4674
"GEO-SIRGAS2000_EGM-396",4674
"GEO-SIRGAS2000_EGM-397",4674
"GEO-SIRGAS2000_EGM-398",4674
"GEO-SIRGAS2000_EGM-399",4674
"GEO-SIRGAS2000_EGM-3990",4674
"GEO-SIRGAS2000_EGM-400",4674
"GEO-SIRGAS2000_EGM-401",4674
"GEO-SIRGAS2000_EGM-402",4674
"GEO-SIRGAS2000_EGM-403",4674
"GEO-SIRGAS2000_EGM-404",4674
"GEO-SIRGAS2000_EGM-405",4674
"GEO-SIRGAS2000_EGM-406",4674
"GEO-SIRGAS2000_EGM-407",4674
"GEO-SIRGAS2000_EGM-408",4674
"GEO-SIRGAS2000_EGM-409",4674
"GEO-SIRGAS2000_EGM-410",4674
"GEO-SIRGAS2000_EGM-411",4674
"GEO-SIRGAS2000_EGM-412",4674
"GEO-SIRGAS2000_EGM-413",4674
"GEO-SIRGAS2000_EGM-4133",4674
"GEO-SIRGAS2000_EGM-414",4674
"GEO-SIRGAS2000_EGM-415",4674
"GEO-SIRGAS2000_EGM-416",4674
"GEO-SIRGAS2000_EGM-417",4674
"GEO-SIRGAS2000_EGM-4179",4674
"GEO-SIRGAS2000_EGM-418",4674
"GEO-SIRGAS2000_EGM-419",4674
"GEO-SIRGAS2000_EGM-420",4674
"GEO-SIRGAS2000_EGM-421",4674
"GEO-SIRGAS2000_EGM-422",4674
"GEO-SIRGAS2000_EGM-423",4674
"GEO-SIRGAS2000_EGM-424",4674
"GEO-SIRGAS2000_EGM-425",4674
"GEO-SIRGAS2000_EGM-426",4674
"GEO-SIRGAS2000_EGM-427",4674
"GEO-SIRGAS2000_EGM-4272",4674
"GEO-SIRGAS2000_EGM-428",4674
"GEO-SIRGAS2000_EGM-429",4674
"GEO-SIRGAS2000_EGM-430",4674
"GEO-SIRGAS2000_EGM-431",4674
"GEO-SIRGAS2000_EGM-4316",4674
"GEO-SIRGAS2000_EGM-4317",4674
"GEO-SIRGAS2000_EGM-4319",4674
"GEO-SIRGAS2000_EGM-432",4674
"GEO-SIRGAS2000_EGM-433",4674
"GEO-SIRGAS2000_EGM-434",4674
"GEO-SIRGAS2000_EGM-435",4674
"GEO-SIRGAS2000_EGM-436",4674
"GEO-SIRGAS2000_EGM-437",4674
"GEO-SIRGAS2000_EGM-438",4674
"GEO-SIRGAS2000_EGM-439",4674
"GEO-SIRGAS2000_EGM-4393",4674
"GEO-SIRGAS2000_EGM-4399",4674
"GEO-SIRGAS2000_EGM-440",4674
"GEO-SIRGAS2000_EGM-4405",4674
"GEO-SIRGAS2000_EGM-441",4674
"GEO-SIRGAS2000_EGM-442",4674
"GEO-SIRGAS2000_EGM-4428",4674
"GEO-SIRGAS2000_EGM-443",4674
"GEO-SIRGAS2000_EGM-444",4674
"GEO-SIRGAS2000_EGM-445",4674
"GEO-SIRGAS2000_EGM-446",4674
"GEO-SIRGAS2000_EGM-4467",4674
"GEO-SIRGAS2000_EGM-447",4674
"GEO-SIRGAS2000_EGM-448",4674
"GEO-SIRGAS2000_EGM-4484",4674
"GEO-SIRGAS2000_EGM-449",4674
"GEO-SIRGAS2000_EGM-450",4674
"GEO-SIRGAS2000_EGM-451",4674
"GEO-SIRGAS2000_EGM-4512",4674
"GEO-SIRGAS2000_EGM-452",4674
"GEO-SIRGAS2000_EGM-4527",4674
"GEO-SIRGAS2000_EGM-453",4674
"GEO-SIRGAS2000_EGM-454",4674
"GEO-SIRGAS2000_EGM-4542",4674
"GEO-SIRGAS2000_EGM-455",4674
"GEO-SIRGAS2000_EGM-456",4674
"GEO-SIRGAS2000_EGM-457",4674
"GEO-SIRGAS2000_EGM-458",4674
"GEO-SIRGAS2000_EGM-459",4674
"GEO-SIRGAS2000_EGM-460",4674
"GEO-SIRGAS2000_EGM-461",4674
"GEO-SIRGAS2000_EGM-462",4674
"GEO-SIRGAS2000_EGM-463",4674
"GEO-SIRGAS2000_EGM-464",4674
"GEO-SIRGAS2000_EGM-4648",4674
"GEO-SIRGAS2000_EGM-465",4674
"GEO-SIRGAS2000_EGM-4653",4674
"GEO-SIRGAS2000_EGM-466",4674
"GEO-SIRGAS2000_EGM-467",4674
"GEO-SIRGAS2000_EGM-468",4674
"GEO-SIRGAS2000_EGM-469",4674
"GEO-SIRGAS2000_EGM-470",4674
"GEO-SIRGAS2000_EGM-4703",4674
"GEO-SIRGAS2000_EGM-471",4674
"GEO-SIRGAS2000_EGM-472",4674
"GEO-SIRGAS2000_EGM-473",4674
"GEO-SIRGAS2000_EGM-474",4674
"GEO-SIRGAS2000_EGM-475",4674
"GEO-SIRGAS2000_EGM-476",4674
"GEO-SIRGAS2000_EGM-477",4674
"GEO-SIRGAS2000_EGM-4772",4674
"GEO-SIRGAS2000_EGM-478",4674
"GEO-SIRGAS2000_EGM-479",4674
"GEO-SIRGAS2000_EGM-480",4674
"GEO-SIRGAS2000_EGM-4804",4674
"GEO-SIRGAS2000_EGM-481",4674
"GEO-SIRGAS2000_EGM-482",4674
"GEO-SIRGAS2000_EGM-4827",4674
"GEO-SIRGAS2000_EGM-483",4674
"GEO-SIRGAS2000_EGM-484",4674
"GEO-SIRGAS2000_EGM-485",4674
"GEO-SIRGAS2000_EGM-4857",4674
"GEO-SIRGAS2000_EGM-486",4674
"GEO-SIRGAS2000_EGM-4863",4674
"GEO-SIRGAS2000_EGM-487",4674
"GEO-SIRGAS2000_EGM-488",4674
"GEO-SIRGAS2000_EGM-489",4674
"GEO-SIRGAS2000_EGM-490",4674
"GEO-SIRGAS2000_EGM-491",4674
"GEO-SIRGAS2000_EGM-492",4674
"GEO-SIRGAS2000_EGM-493",4674
"GEO-SIRGAS2000_EGM-494",4674
"GEO-SIRGAS2000_EGM-495",4674
"GEO-SIRGAS2000_EGM-496",4674
"GEO-SIRGAS2000_EGM-497",4674
"GEO-SIRGAS2000_EGM-498",4674
"GEO-SIRGAS2000_EGM-499",4674
"GEO-SIRGAS2000_EGM-500",4674
"GEO-SIRGAS2000_EGM-501",4674
"GEO-SIRGAS2000_EGM-502",4674
"GEO-SIRGAS2000_EGM-503",4674
"GEO-SIRGAS2000_EGM-504",4674
"GEO-SIRGAS2000_EGM-505",4674
"GEO-SIRGAS2000_EGM-506",4674
"GEO-SIRGAS2000_EGM-507",4674
"GEO-SIRGAS2000_EGM-508",4674
"GEO-SIRGAS2000_EGM-509",4674
"GEO-SIRGAS2000_EGM-510",4674
"GEO-SIRGAS2000_EGM-511",4674
"GEO-SIRGAS2000_EGM-512",4674
"GEO-SIRGAS2000_EGM-513",4674
"GEO-SIRGAS2000_EGM-514",4674
"GEO-SIRGAS2000_EGM-515",4674
"GEO-SIRGAS2000_EGM-516",4674
"GEO-SIRGAS2000_EGM-517",4674
"GEO-SIRGAS2000_EGM-518",4674
"GEO-SIRGAS2000_EGM-519",4674
"GEO-SIRGAS2000_EGM-520",4674
"GEO-SIRGAS2000_EGM-521",4674
"GEO-SIRGAS2000_EGM-522",4674
"GEO-SIRGAS2000_EGM-523",4674
"GEO-SIRGAS2000_EGM-524",4674
"GEO-SIRGAS2000_EGM-525",4674
"GEO-SIRGAS2000_EGM-526",4674
"GEO-SIRGAS2000_EGM-527",4674
"GEO-SIRGAS2000_EGM-528",4674
"GEO-SIRGAS2000_EGM-529",4674
"GEO-SIRGAS2000_EGM-530",4674
"GEO-SIRGAS2000_EGM-531",4674
"GEO-SIRGAS2000_EGM-532",4674
"GEO-SIRGAS2000_EGM-533",4674
"GEO-SIRGAS2000_EGM-534",4674
"GEO-SIRGAS2000_EGM-535",4674
"GEO-SIRGAS2000_EGM-536",4674
"GEO-SIRGAS2000_EGM-537",4674
"GEO-SIRGAS2000_EGM-538",4674
"GEO-SIRGAS2000_EGM-539",4674
"GEO-SIRGAS2000_EGM-540",4674
"GEO-SIRGAS2000_EGM-541",4674
"GEO-SIRGAS2000_EGM-542",4674
"GEO-SIRGAS2000_EGM-543",4674
"GEO-SIRGAS2000_EGM-544",4674
"GEO-SIRGAS2000_EGM-545",4674
"GEO-SIRGAS2000_EGM-546",4674
"GEO-SIRGAS2000_EGM-547",4674
"GEO-SIRGAS2000_EGM-548",4674
"GEO-SIRGAS2000_EGM-549",4674
"GEO-SIRGAS2000_EGM-550",4674
"GEO-SIRGAS2000_EGM-551",4674
"GEO-SIRGAS2000_EGM-552",4674
"GEO-SIRGAS2000_EGM-553",4674
"GEO-SIRGAS2000_EGM-554",4674
"GEO-SIRGAS2000_EGM-555",4674
"GEO-SIRGAS2000_EGM-556",4674
"GEO-SIRGAS2000_EGM-557",4674
"GEO-SIRGAS2000_EGM-558",4674
"GEO-SIRGAS2000_EGM-559",4674
"GEO-SIRGAS2000_EGM-560",4674
"GEO-SIRGAS2000_EGM-561",4674
"GEO-SIRGAS2000_EGM-562",4674
"GEO-SIRGAS2000_EGM-563",4674
"GEO-SIRGAS2000_EGM-564",4674
"GEO-SIRGAS2000_EGM-565",4674
"GEO-SIRGAS2000_EGM-566",4674
"GEO-SIRGAS2000_EGM-567",4674
"GEO-SIRGAS2000_EGM-568",4674
"GEO-SIRGAS2000_EGM-569",4674
"GEO-SIRGAS2000_EGM-570",4674
"GEO-SIRGAS2000_EGM-571",4674
"GEO-SIRGAS2000_EGM-572",4674
"GEO-SIRGAS2000_EGM-573",4674
"GEO-SIRGAS2000_EGM-574",4674
"GEO-SIRGAS2000_EGM-575",4674
"GEO-SIRGAS2000_EGM-576",4674
"GEO-SIRGAS2000_EGM-577",4674
"GEO-SIRGAS2000_EGM-578",4674
"GEO-SIRGAS2000_EGM-579",4674
"GEO-SIRGAS2000_EGM-580",4674
"GEO-SIRGAS2000_EGM-581",4674
"GEO-SIRGAS2000_EGM-582",4674
"GEO-SIRGAS2000_EGM-583",4674
"GEO-SIRGAS2000_EGM-584",4674
"GEO-SIRGAS2000_EGM-585",4674
"GEO-SIRGAS2000_EGM-586",4674
"GEO-SIRGAS2000_EGM-587",4674
"GEO-SIRGAS2000_EGM-588",4674
"GEO-SIRGAS2000_EGM-589",4674
"GEO-SIRGAS2000_EGM-597",4674
"GEO-SIRGAS2000_EGM-6050",4674
"GEO-SIRGAS2000_EGM-6137",4674
"GEO-SIRGAS2000_EGM-688",4674
"GEO-SIRGAS2000_EGM-695",4674
"GEO-SIRGAS2000_EGM-7310",4674
"GEO-SIRGAS2000_EGM-7618",4674
"GEO-SIRGAS2000_EGM-8528",4674
"GEO-SIRGAS2000_EGM-895",4674
"GEO-SIRGAS2000_EGM-9391",4674
"GEO-SIRGAS2000_EGM-96",4674
"GEO-SIRGAS2000_EGM-9760",4674
"GNIS",
"GOOGLE",4326
"GOOGLE EARTH",4326
"GOOGLE EARTH ESTIMATE",4326
"GOOGLE MAP (WGS84)",4326
"GOOGLE MAPS",4326
"GOOGLEEARTH",4326
"GP 428",
"GPS",
"GPS (GENERAL)",
"GPS (WGS84)",4326
"GPS 010",
"GPS 18",
"GPS 190",
"GPS 201",
"GPS 217",
"GPS 221",
"GPS 270",
"GPS 271",
"GPS 294",
"GPS 318",
"GPS 321",
"GPS 322",
"GPS 324",
"GPS 325",
"GPS 326",
"GPS 327",
"GPS 328",
"GPS 329",
"GPS 330",
"GPS 331",
"GPS 332",
"GPS 333",
"GPS 334",
"GPS 338",
"GPS 378",
"GPS UTM 17U",
"GPS, NAD 27",4267
"GPS_LORAN",
"GPS18",
"GPS204",
"GPSMAP 60CSX",
"GPSMAP60CSX",
"GPSMAP65",
"GRA",
"GRACIOSA BASE SW 1948",
"GRADOS, MINUTOS Y SEGUNDOS",
"GRS 80",4019
"GRS80 ELLIPSOID",4019
"GS4",
"GS84",4326
"GSA94",
"GST 84",
"GSW84",4326
"GTS 84",
"GUAM 1963",4675
"GUAM DATUM",4675
"GUNUNG SEGARA",4613
"GUX 1 ASTRO",
"GWS84",4326
"H",
"HAD83",4269
"HD ATHEARN, B WALKER COLLECTION, MUSEUM OF COMPARATIVE ZOOLOGY",
"HELMERT 1906 ELLIPSOID",4020
"HEMIPTERA",
"HERAT NORTH",4255
"HERBERT D ATHEARN, B WALKER COLLECTION, MUSEUM OF COMPARATIVE ZOOLOGY",
"HERMANNSKOGEL",
"HIBBITTS TJ",
"HILL, M.T.",
"HITO XVIII 1963",4254
"HJORSEY 1955",4658
"HONG KONG 1963",4738
"HOUGH 1960 ELLIPSOID",7053
"HTTP://CCH2.ORG/PORTAL/COLLECTIONS/EDITOR/OCCURRENCEEDITOR.PHP?CSMODE=0&OCCINDEX=0&OCCID=1375979&COLLID=39#",
"HTTP://LICHENPORTAL.ORG/PORTAL/COLLECTIONS/EDITOR/OCCURRENCEEDITOR.PHP?Q_RECORDEDBY=&Q_RECORDNUMBER=&Q_EVENTDATE=&Q_IDENTIFIER=&Q_OTHERCATALOGNUMBERS=&Q_OBSERVERUID=&Q_ENTEREDBY=&Q_DATELASTMODIFIED=&Q_PROCESSINGSTATUS=UNPROCESSED&Q_CUSTOMFIELD1=STATEPROVI",
"HTTPS://CREATIVECOMMONS.ORG/LICENSES/BY-NC/4.0/",
"HTTPS://EPSG.IO/4326",4326
"HU-TZU-SHAN",4236
"ICH.02847",
"ID 1974",4238
"ÏÎÉÌÀ",
"ÎÑ110",
"ÎÑ155",
"ÎÑ158",
"INDEX MUNDI",
"INDIAN",
"INDIAN 1954",4239
"INDIAN 1960",4131
"INDIAN 1975",4240
"INDONESIAN 1974",4238
"INTERNATIONAL 1924 ELLIPSOID",4022
"INUNDATUM",
"INYO",
"ÌÕÌ",
"IPA.06853",
"IPA.06877",
"IPB.01850",
"IPB.01853",
"IPB.01876",
"IPB.01886",
"IPB.02005",
"IPB.02010",
"IPB.02015",
"IPB.02018",
"IPB.02344",
"IPB.02377",
"IPB.05015",
"IPB.05107",
"IPB.09102",
"IPB.09111",
"IPB.09112",
"IPB.09113",
"IPB.09132",
"IPB.09133",
"IPB.09136",
"IPB.09145",
"IPB.09154",
"IPB.09156",
"IPB.09166",
"IPB.09171",
"IPB.09225",
"IPB.09231",
"IPB.09236",
"IPB.09237",
"IPB.09239",
"IPB.09244",
"IPB.09247",
"IPB.09248",
"IPB.09279",
"IPB.09283",
"IPC.01379",
"IPC.01689",
"IPC.08142",
"IPD.00888",
"IPD.00959",
"IPD.00960",
"IPD.00962",
"IPD.00963",
"IPD.00965",
"IPD.00966",
"IPD.00967",
"IPD.00971",
"IPD.00972",
"IPD.00975",
"IPD.01015",
"IPD.01016",
"IPD.01019",
"IPD.01026",
"IPD.01029",
"IPD.01568",
"IPD.02127",
"IPD.04669",
"IPD.06427",
"IPD.07947",
"IPD.08308",
"IPD.08926",
"IPD.09482",
"IPE.01374",
"IPE.03174",
"IPE.04435",
"IPE.04593",
"IPE.04642",
"IPE.05223",
"IPE.05421",
"IPE.05426",
"IPE.06161",
"IPE.06162",
"IPE.06496",
"IPE.06528",
"IPE.06584",
"IPE.06617",
"IPE.06618",
"IPE.06632",
"IPE.06636",
"IPE.06644",
"IPE.06664",
"IPE.06691",
"IPE.06693",
"IPE.06702",
"IPE.06762",
"IPE.06772",
"IPE.06796",
"IPE.06800",
"IPE.06819",
"IPE.06925",
"IPE.06934",
"IPE.06967",
"IPE.06979",
"IPE.07020",
"IPE.07144",
"IPE.07145",
"IPE.07146",
"IPE.07147",
"IPE.07148",
"IPE.07149",
"IPE.07150",
"IPE.07177",
"IPE.07181",
"IPE.07229",
"IPE.07230",
"IPE.07272",
"IPE.07276",
"IPE.07313",
"IPE.07400",
"IPE.07402",
"IPE.07551",
"IPE.09565",
"IPE.09624",
"IPF.00065",
"IPF.04346",
"IRELAND 1965",
"ISTS 061 ASTRO 1968",4722
"ISTS 073 ASTRO 1969",4724
"ITRF_2005",6896
"ITRF92",4334
"IVAD 83",4269
"IZS.01493",
"IZS.01534",
"IZS.01535",
"IZS.01536",
"IZS.01553",
"IZS.01565",
"IZS.01569",
"IZS.04567",
"IZS.06861",
"IZS.08080",
"IZS.12942",
"IZS.12943",
"IZS.12944",
"IZS.12945",
"IZS.12946",
"IZS.12947",
"IZS.12948",
"IZS.12949",
"IZS.12950",
"IZS.12951",
"IZS.12954",
"IZS.12955",
"IZS.12956",
"IZS.12957",
"IZS.12958",
"IZS.12959",
"IZS.15214",
"IZS.15520",
"IZS.16784",
"IZS.16785",
"IZS.16811",
"IZS.17285",
"IZS.17594",
"IZS.17596",
"IZS.24599",
"IZS.24653",
"IZS.25699",
"IZS.25701",
"IZS.25702",
"IZS.26967",
"IZS.28749",
"IZS.29006",
"IZS.30720",
"J",
"JAPANESE GEODETIC DATUM 2000",4612
"JGD2000",4612
"JOHNSTON ISLAND 1961",4725
"KAN204",
"KANDAWALA",4244
"KAPINGAMARANGI ASTRONOMIC STATION NO. 3 1951",
"KENYA COLONY",
"KERGUELEN ISLAND 1949",4698
"KERTAU 1948",4245
"KM",
"KOREAN GEODETIC SYSTEM 1995",4166
"KRASSOVSKY 1940 ELLIPSOID",4024
"KUSAIE ASTRO 1951",4735
"KYRGYZSTAN",
"L",
"L.C. 5 ASTRO 1961",
"LABEL",
"LAFEVER, D",
"LAMBERT 93",
"LAMBERT II",
"LAT. CA. 20º N.",
"LATIGO BAY VILLAS",
"LAURENCIO, D",
"LEIGON",4250
"LEMUTA",
"LG1",
"LH1",
"LHI",
"LIBERIA 1964",4251
"LJ-E9, N2 PALMDALE",
"LOB2013-0-17",
"LOB2013-0-18",
"LOB2013-0-20",
"LOB2013-0-28",
"LOB2013-0-33",
"LOB2013-0-35",
"LOB2013-1-21",
"LOB2013-1-22",
"LOB2013-1-31",
"LOB2013-1-34",
"LORAN",
"LUZON",4253
"LUZON PHILIPPINE",4253
"LUZON PHILIPPINES",4253
"M",
"M. GENTILI NOTES",
"MACDONALD FOREST",
"MAD27",4267
"MAD83",4269
"MAGNA SIRGAS",4686
"MAGNA-SIRGAS",4686
"MAHE 1971",4256
"MAP A",
"MAP C",
"MAP D",
"MAP DATUM UNK",
"MAP E",
"MAP F",
"MAP G",
"MAP GDA",
"MAP H",
"MAP K",
"MAP L",
"MAP M",
"MAP N",
"MAP OF THE IGN 1/50000, DEGREES",
"MAP SHEET 3225DA",
"MASSAWA",4262
"MDB&M",
"MDM",
"MERCHICH",4261
"MGA",
"MGA 94",4283
"MGA94",4283
"MGA94 / WGS84",4326
"MGA94 DEN",4283
"MICHAEL T. HILL",
"MIDWAY ASTRO 1961",4727
"MIN.06036",
"MINNA",4263
"MJ N9 E5",
"MNAD27",4267
"MODIFIED AIRY ELLIPSOID",4002
"MODIFIED FISCHER 1960 ELLIPSOID",
"MONTSERRAT ISLAND ASTRO 1958",4604
"M'PORALOKO",4266
"N",
"N./K",
"N/A",
"N/K",
"NA",
"NA 83",4269
"NA83",4269
"NA84",
"NAB83",4269
"NAD",
"NAD  83",4269
"NAD - 83",4269
"NAD 1924",
"NAD 1927",4267
"NAD 1927?",4267
"NAD 1928",4267
"NAD 1929",4267
"NAD 1930",4267
"NAD 1931",4267
"NAD 1932",4267
"NAD 1983",4269
"NAD 1984",4269
"NAD 1987",
"NAD 27",4267
"NAD 27  (UTM DATUM: NAD 27 CONUS)",4267
"NAD 27  (UTM DATUM: NAD27 CONUS)",4267
"NAD 27  (UTM DATUM: NAD27)",4267
"NAD 27 (UTM DATUM: NAD27 CONUS)",4367
"NAD 27 +/- 14 FEET",4267
"NAD 27 ALASKA DATUM",4267
"NAD 27 CONUS",4267
"NAD 27, MAP ESTIMATE",4267
"NAD 28",4267
"NAD 29",4267
"NAD 38",4269
"NAD 83",4269
"NAD 83 ERROR 2.6 M.",4269
"NAD 83 GPS",4269
"NAD 83, GARMIN 12",4269
"NAD 83, GPS READING",4269
"NAD 83, ZONE 11 N",4269
"NAD 83, ZONE 15",4269
"NAD 83.",4269
"NAD 83/84",4269
"NAD 83/WGS84",4326
"NAD 83:",4269
