month	standard	vetted
TO HIM BY DECARY / 5 NOV		1
TO HIM BY DECARY / APRIL		1
TO HIM BY DECARY / JULY		1
TO HIM BY DECARY / JUNE		1
TO HIM BY DECARY / SEPT		1
TO HIM BY M  DECARY /		1
TO HIM BY M  DECARY / DECEMBER		1
TO HIM BY M  DECARY / JAN		1
TO HIM BY M  DECARY / JULY		1
TO HIM BY M  DECARY / JUNE		1
TO HIM BY M  DROUHARD /		1
TO HIM BY M  LAVANDEN / 10 FEB		1
TO HIM BY M  LAVANDER / SEPT		1
TO HIM BY M  LAVAUDEN / AUGUST		1
TO HIM BY M  LAVAUDEN / OCT		1
TO HIM BY R  DECARY		1
TO HIM BY R  DECARY / NOV		1
TO HIM OF / M E  BENSCH /		1
TO HIM OF / ME BENSCH /		1
TO MAR		1
TO MID		1
TO MID MAY		1
TO SEPTEMBER		1
UCLA		1
UNK		1
UNKNOWN		1
V	5	1
VACTION		1
VI	6	1
VI-	6	1
VII	7	1
VIII	8	1
WEEK		1
WEEK / MARCH	3	1
WEEK AUG	8	1
WEEK AUGUST	8	1
WEEK DEC 	12	1
WEEK DECEMBER	12	1
WEEK FEB	2	1
WEEK IN AUG	8	1
WEEK IN JUN	6	1
WEEK IN MARCH	3	1
WEEK IN NOVEMBER	11	1
WEEK IN SEP	9	1
WEEK JUN	6	1
WEEK MAR 	3	1
WEEK MAY		1
WEEK OF / NOV	11	1
WEEK OF APRIL	4	1
WEEK OF AUG	8	1
WEEK OF JAN	1	1
WEEK OF JUNE	6	1
WEEK OF MARCH	3	1
WEEK OF NOV	11	1
WEEK OF SEP	9	1
WEEK SEP	9	1
WIN		1
WINTER		1
WINTER-		1
WINTER- REC  1981- APRIL		1
WK  OF SEPT 	9	1
WK OCTOBER	10	1
X	10	1
X 1984		1
X 1984,EM 5 XI		1
XCT	10	1
XI	11	1
XI 1994	11	1
XI[NO	11	1
XII	12	1
XII 1983	12	1
XX		1
XXX		1
XXXZ		1
YEAR		1
YR		1
