identificationqualifier	standard	vetted
SP. (POSSIBLY BIFILIS)	cf. bifilis	1
SP. (POSSIBLY TOLMIEI)	sp.	1
SP. (PRATTI GROUP)	sp.	1
SP. (PROB. HYBRID ELEGANS X FLAVEOLUS)	sp.	1
SP. (QUECHUA-GROUP)	sp.	1
SP. (REDBAND)	sp.	1
SP. (RK SP3)	sp.	1
SP. (RUBER GROUP)	sp.	1
SP. (SAJORI)	cf. sajori	1
SP. (SCHMIDTI-GROUP)	cf. schmidti-group	1
SP. (SHAG)	sp.	1
SP. (SPECIOSA OR TRICHAS)	sp.	1
SP. (SPUMARIUS-COMPLEX)	sp.	1
SP. (STANLEYANA GROUP)	sp.	1
SP. (STAURIPHORA)	sp.	1
SP. (TAENIURA)	sp.	1
SP. (TALLAPOOSA SCULPIN)	sp.	1
SP. (TEMPORARIA-GROUP)	sp.	1
SP. (TRAILII / ALNORUM [?])	sp.	1
SP. (TYPE A)	sp.	1
SP. (TYPE B)	sp.	1
SP. (URUNGUENSIS-GROUP)	sp.	1
SP. (VARIEGATUS-GROUP)	sp.	1
SP. (XANTHA MS)	sp.	1
SP. ?	species in question	1
SP. ??	species in question	1
SP. ???	species in question	1
SP. [? TERMINATA]	cf. terminata	1
SP. “ADIPOSA LARGA”	sp. nov.	1
SP. “BANDED”	sp. nov.	1
SP. “BROWN”	sp. nov.	1
SP. “BRYCONAMERICUS”	sp. nov.	1
SP. “BULLOCKI”	sp. nov.	1
SP. “CHATA”	sp. nov.	1
SP. “CHATTA”	sp. nov.	1
SP. “CHEIRODON”	sp. nov.	1
SP. “CIRCLE E”	sp. nov.	1
SP. “COMMA”	sp. nov.	1
SP. “COMMON”	sp. nov.	1
SP. “DARK”	sp. nov.	1
SP. “DEEP BODY”	sp. nov.	1
SP. “DITTO”	sp. nov.	1
SP. “DORSAL SPOT”	sp. nov.	1
SP. “DORSAL WHITE SPOTS”	sp. nov.	1
SP. “ESSEQUIBO”	sp. nov.	1
SP. “FLAT”	sp. nov.	1
SP. “FUSED SADDLES”	sp. nov.	1
SP. “GHOST”	sp. nov.	1
SP. “GUAPUCHE”	sp. nov.	1
SP. “HALF STRIPE”	sp. nov.	1
SP. “HUGE SCALES”	sp. nov.	1
SP. “INCOMPLETE”	sp. nov.	1
SP. “IRENG”	sp. nov.	1
SP. “LINE”	sp. nov.	1
SP. “LONG”	sp. nov.	1
SP. “MEMBRANE”	sp. nov.	1
SP. “MUSCADINE DARTER”	sp. nov.	1
SP. “MUY LARGA”	sp. nov.	1
SP. “NO SPOT”	sp. nov.	1
SP. “NO SPOTS”	sp. nov.	1
SP. “NO STRIPE”	sp. nov.	1
SP. “ORANGE HUMERAL”	sp. nov.	1
SP. “PLAIN”	sp. nov.	1
SP. “PSEUDO-BROWNI”	sp. nov.	1
SP. “PSEUDOGEPHYROCHARAX”	sp. nov.	1
SP. “PSEUDOMICROSTOMUS”	sp. nov.	1
SP. “SAWFIN SHINER”	sp. nov.	1
SP. “SHORT ANAL FIN”	sp. nov.	1
SP. “SHORT”	sp. nov.	1
SP. “SILVER STRIPE”	sp. nov.	1
SP. “SLENDER”	sp. nov.	1
SP. “SLIM”	sp. nov.	1
SP. “SMALL SADDLE”	sp. nov.	1
SP. “SPOT”	sp. nov.	1
SP. “SPOTS IN STRIPE”	sp. nov.	1
SP. “STRIPETAIL”	sp. nov.	1
SP. “TAKUTU 2”	sp. nov.	1
SP. “TAKUTU”	sp. nov.	1
SP. “TENCUANENSIS”	sp. nov.	1
SP. “UPPER CAUDAL SPOT”	sp. nov.	1
SP. “VENTUARI”	sp. nov.	1
SP. “WHITE DOTS”	sp. nov.	1
SP. “WIDE LINE”	sp. nov.	1
SP. “WIDE STRIPE”	sp. nov.	1
SP. “YUPUKARI”	sp. nov.	1
SP. 1	sp.	1
SP. '1'	sp.	1
SP. 1 (CF. MACROPHTHALMA)	cf. macrophthalma	1
SP. 10	sp.	1
SP. 11	sp.	1
SP. 12	sp. 12	1
SP. 13	sp. 13	1
SP. 14	sp. 14	1
SP. 15	sp. 15	1
SP. 16	sp. 16	1
SP. 17	sp. 17	1
SP. 18	sp. 18	1
SP. 19	sp. 19	1
SP. 2	sp.	1
SP. '2'	sp.	1
SP. 20	sp. 20	1
SP. 21	sp. 21	1
SP. 22	sp. 22	1
SP. 23	sp. 23	1
SP. 24	sp. 24	1
SP. 25	sp. 25	1
SP. 26	sp. 26	1
SP. 27	sp. 27	1
SP. 28	sp.	1
SP. 29	sp. 29	1
SP. 3	sp.	1
SP. 3 - COLORADO	sp.	1
SP. 3 (CF. ORIENTALIS)	cf. orientalis	1
SP. 30	sp. 30	1
SP. 303	sp.	1
SP. 304	sp.	1
SP. 305 LONGIMANUS	sp. 305 longimanus	1
SP. 306 (PARACANTHUS)	sp. 306 (paracanthus)	1
SP. 307 (BILINEATUS)	sp. 307 (bilineatus)	1
SP. 308 (COMATUS)	sp. 308 (comatus)	1
SP. 309 (RECTISETUS)	sp. 309 (rectisetus)	1
SP. 31	sp. 31	1
SP. 311	sp.	1
SP. 312	sp.	1
SP. 314 XAVIERFILHOI	sp. 314 xavierfilhoi	1
SP. 316 HOLDENAE	sp. 316 holdenae	1
SP. 319 MARINHOI	sp. 319 marinhoi	1
SP. 32	sp. 32	1
SP. 324	sp.	1
SP. 325	sp.	1
SP. 326 AMATI	sp. 326 amati	1
SP. 328 RICCARDIAE	sp. 328 riccardiae	1
SP. 33	sp. 33	1
SP. 330	sp.	1
SP. 338 NOCTURNIGRUS	sp. 338 nocturnigrus	1
SP. 34	sp. 34	1
SP. 35	sp. 35	1
SP. 36	sp.	1
SP. 37	sp. 37	1
SP. 38	sp. 38	1
SP. 39	sp. 39	1
SP. 4	sp.	1
SP. 4 DFH	sp.	1
SP. 40	sp. 40	1
SP. 41	sp. 41	1
SP. 42	sp. 42	1
SP. 43	sp. 43	1
SP. 44	sp. 44	1
SP. 45	sp. 45	1
SP. 46	sp. 46	1
SP. 47	sp. 47	1
SP. 48	sp. 48	1
SP. 49	sp. 49	1
SP. 5	sp.	1
SP. 5 "WA ALLPORTI"	sp.	1
SP. 50	sp. 50	1
SP. 51	sp. 51	1
SP. 52	sp. 52	1
SP. 53	sp. 53	1
SP. 54	sp. 54	1
SP. 55	sp. 55	1
SP. 56	sp. 56	1
SP. 57	sp. 57	1
SP. 58	sp. 58	1
SP. 59	sp. 59	1
SP. 6	sp.	1
SP. 60	sp. 60	1
SP. 62	sp.	1
SP. 7	sp.	1
SP. 7 DFH	sp.	1
SP. 8	sp.	1
SP. 9	sp.	1
SP. 9 DFH	sp.	1
SP. A	sp.	1
SP. A  (N. SP.)	sp. nov.	1
SP. A AFF. GRANULOSUS	sp. A aff. granulosus	1
SP. A CF. PSEUDOFORBESI	sp. a cf. pseudoforbesi	1
SP. A JOHNSON	sp. A Johnson	1
SP. A SENSU RISTEDT	sp. A sensu Ristedt	1
SP. A WITZKE 1976	sp. A Witzke 1976	1
SP. A WITZKE AND STRIMPLE	sp. A Witzke and Strimple	1
SP. A.	sp.	1
SP. A/C	sp.	1
SP. AFF. GALAXIAS	aff. galaxias	1
SP. AFF. LAVENBERGI	aff. lavenbergi	1
SP. AFF. LYSINA	aff. lysina	1
SP. AFF. MARINUS	aff. marinus	1
SP. AFF. PUNCTITAENIATUS	aff. punctitaeniatus	1
SP. ALBOGULARIS	sp.	1
SP. B	sp.	1
SP. B (D?)		1
SP. B AFF. GRANULOSUS	sp. B aff. granulosus	1
SP. B CF. PARAFORBESI	sp. b cf. paraforbesi	1
SP. B SENSU RISTEDT	sp. B sensu Ristedt	1
SP. B WITZKE 1976	sp. B Witzke 1976	1
SP. B WITZKE AND STRIMPLE	sp. B Witzke and Strimple	1
SP. B.	sp.	1
SP. BBN1	sp.	1
SP. BBP1	sp.	1
SP. BBP2	sp.	1
SP. BBP3	sp.	1
SP. BENNETTI	sp.	1
SP. 'BLUESTONE SCULPIN'	sp.	1
SP. BONGOLONENSIS	sp.	1
SP. 'BRINDISI'	sp.	1
SP. 'BROADTAIL'	sp.	1
SP. BSN1	sp.	1
SP. BSN2	sp.	1
SP. BSN9	sp.	1
SP. BSNX	sp.	1
SP. BSP1	sp.	1
SP. BSP2	sp.	1
SP. BSP4	sp.	1
SP. C	sp.	1
SP. C WITZKE AND STRIMPLE	sp. C Witzke and Strimple	1
SP. C&K	sp. C&K	1
SP. C.F. ARCTICUS	cf. arcticus	1
SP. C.F. CARBONARIA	cf. carbonaria	1
SP. C.F. NIGROFASCIATA	cf. nigrofasciata	1
SP. CF PTEROIDES	cf. pteroides	1
SP. CF.	cf.	1
SP. CF. AESTIVALIS	cf. aestivalis	1
SP. CF. AESTIVALIS “A”	cf. aestivalis “A”	1
SP. CF. AESTIVALIS “B”	cf. aestivalis “B”	1
SP. CF. AESTIVALIS “C”	cf. aestivalis “C”	1
SP. CF. AESTIVALIS A	cf. aestivalis A	1
SP. CF. AESTIVALIS B	cf. aestivalis B	1
SP. CF. AESTIVALIS C	cf. aestivalis C	1
SP. CF. AESTIVALIS D	cf. aestivalis D	1
SP. CF. AESTIVALIS 'D'	cf. aestivalis D	1
SP. CF. ALBIFIMBRIA	cf. albifimbria	1
SP. CF. ALFARI	cf. alfari	1
SP. CF. ASPERIFRONS	cf. asperifrons	1
SP. CF. ASPRIGENE	cf. asprigene	1
SP. CF. AUREUM	cf. aureum	1
SP. CF. AUSTRINUM	cf. austrinum	1
SP. CF. BAIRDI	cf. bairdi	1
SP. CF. BAIRDI 'HUBBSI'	cf. bairdi 'hubbsi'	1
SP. CF. BAIRDI 'SMOKY'	cf. bairdi 'smoky'	1
SP. CF. BAIRDII	cf. bairdii	1
SP. CF. BALTEATUS	cf. balteatus	1
SP. CF. BARDI	cf. bairdi	1
SP. CF. BELDINGI	cf. beldingi	1
SP. CF. BELLATOR	cf. bellator	1
SP. CF. BUCHIANUS	sp. cf. buchianus	1
SP. CF. CAERULEOMENTUM	cf. caeruleomentum	1
SP. CF. CAERULEUM	cf. caeruleum	1
SP. CF. CAPRODES	cf. caprodes	1
SP. CF. CARBONARIA	cf. carbonaria	1
SP. CF. CAROLINAE	cf. carolinae	1
SP. CF. CLARKI	cf. clarki	1
SP. CF. COGNATUS	cf. cognatus	1
SP. CF. COOSAE	cf. coosae	1
SP. CF. CUBANA	cf. cubana	1
SP. CF. CYPRINUS	cf. cyprinus	1
SP. CF. CYPRINUS X VELIFER	cf. cyprinus x velifer	1
SP. CF. CYRANO	cf. cyrano	1
SP. CF. DITREMA	cf. ditrema	1
SP. CF. DURYI	cf. duryi	1
SP. CF. ELONGATUS	cf. elongatus	1
SP. CF. EPISCOPA	cf. episcopa	1
SP. CF. ERYTHROGASTER	cf. erythrogaster	1
SP. CF. FENESTRATUM	cf. fenestratum	1
SP. CF. FLORIDAE	cf. floridae	1
SP. CF. GAGEI	cf. gagei	1
SP. CF. HEMIURUS	cf. hemiurus	1
SP. CF. HYPSELOPTERUS	cf. hypselopterus	1
SP. CF. LACHNERI	cf. lachneri	1
SP. CF. LENTIGNOSUM	cf. lentignosum	1
SP. CF. LEPTACANTHUS	cf. leptacanthus	1
SP. CF. LEUCIODUS	cf. leuciodus	1
SP. CF. LONGIROSTRIS	cf. longirostris	1
SP. CF. MACROCEPHALA	cf. macrocephala	1
SP. CF. MACULATA	cf. maculata	1
SP. CF. MELANONOTATA	cf. melanonotata	1
SP. CF. MUNITUS	cf. munitus	1
SP. CF. MYKISS	cf. mykiss	1
SP. CF. OCCIDENTALIS	cf. occidentalis	1
SP. CF. PALMARIS	cf. palmaris	1
SP. CF. PANTOSTICTUM	cf. pantostictum	1
SP. CF. PARVUS	cf. parvus	1
SP. CF. PECTINOIDES	sp. cf. pectinoides	1
SP. CF. PHAETON	cf. phaeton	1
SP. CF. PLATICEPS	cf. platiceps	1
SP. CF. POECILURUM	cf. poecilurum	1
SP. CF. PUNCTULATUM	cf. punctulatum	1
SP. CF. RAMSEYI	cf. ramseyi	1
SP. CF. RHYTISMA	cf. rhytisma	1
SP. CF. RUBELLUS	cf. rubellus	1
SP. CF. SAPO	cf. sapo	1
SP. CF. SAYLORI	cf. saylori	1
SP. CF. SEPTEMFASCIATUM	cf. septemfasciatum	1
SP. CF. SOLLASI	cf. sollasi	1
SP. CF. SPECTABILE	cf. spectabile	1
SP. CF. SPECTRUNCULUS	cf. spectrunculus	1
SP. CF. STIGMAEUM	cf. stigmaeum	1
SP. CF. SWAINI	cf. swaini	1
SP. CF. VELIFER	cf. velifer	1
SP. CF. VITREUM	cf. vitreum	1
SP. CF. VITREUS	cf. vitreus	1
SP. CF. VULGARIS	cf. vulgaris	1
SP. CF. WINCHELLI	cf. winchelli	1
SP. CF. ZONISTIUM	cf. zonistium	1
SP. 'CHACAMAX'	sp.	1
SP. 'CHOMBA'	sp.	1
SP. 'CLINCH SCULPIN'	sp.	1
SP. D	sp.	1
SP. D WITZKE AND STRIMPLE	sp. D Witzke and Strimple	1
SP. DIV.	sp. div.	1
SP. E	sp.	1
SP. E WITZKE AND STRIMPLE	sp. E Witzke and Strimple	1
SP. E.	sp. nov.	1
SP. 'EBANO'	sp.	1
SP. EGG CASES		1
SP. F	sp.	1
SP. G	sp.	1
SP. 'GRAMMARION' MS	sp.	1
SP. GREEN	sp.	1
SP. H		1
SP. H SENSU RISTEDT	sp. H sensu Ristedt	1
SP. 'HOLSTON SCULPIN'	sp.	1
SP. HYBRID	sp.	1
SP. I	sp.	1
SP. II	sp.	1
SP. II-A	sp. nov.	1
SP. III	sp.	1
SP. INCERT	sp. incert.	1
SP. INCERT.	sp. incert.	1
SP. INDET	sp.	1
SP. INDET.	sp. indet.	1
SP. IV		1
SP. J	sp.	1
SP. J SENSU RISTEDT	sp. J sensu Ristedt	1
SP. K	sp.	1
SP. K SENSU RISTEDT	sp. K sensu Ristedt	1
SP. KIM-2	sp.	1
SP. L260	sp. nov.	1
SP. L333	sp. nov.	1
SP. L340	sp. nov.	1
SP. L66	sp. nov.	1
SP. LARGE TAIL NOV.SP.A	sp. large tail nov.sp.A	1
SP. 'LAS FLORES'	sp.	1
SP. LEMON	sp.	1
SP. 'LEMON'	sp.	1
SP. LENTIGRIOSUM	sp.	1
SP. LINEA	sp.	1
SP. 'LINEA'	sp.	1
SP. LISSMANNI	sp.	1
SP. M	sp. M	1
SP. MAGNOSTIPES	sp.	1
SP. MISSING	sp.	1
SP. MORPH A	sp. morph A	1
SP. MORPH B	sp. morph B	1
SP. N	sp. N	1
SP. NEW	sp. nov.	1
SP. NGOUNIENSIS	sp.	1
SP. NIGRUM	sp.	1
SP. NOV	sp. nov.	1
SP. NOV 2	sp. nov.	1
SP. NOV.	sp. nov.	1
SP. NOV. (CITRINIPECTUS) CLANCY & LAWSON	sp. nov.	1
SP. NOV. (SIRINTARAE)	sp. nov.	1
SP. NOV. (SPINULOSA)	sp. nov.	1
SP. NOV. 1	sp. nov.	1
SP. NOV. 2	sp. nov.	1
SP. NOV. 2	sp. nov.	1
SP. NOV. A	sp. nov. A	1
SP. NOV. ANGUSTIROSTRIS HELLMAYRI	sp. nov.	1
SP. NOV. B	sp. nov. B	1
SP. NOV. BONARIENSIS	sp. nov.	1
SP. NOV. C	sp. nov. C	1
SP. NOV. FITZPATRICK	sp. nov.	1
SP. NOV. MS	sp. nov.	1
SP. NZO	sp. nov.	1
SP. OFFOUENSIS	sp.	1
SP. OJO PEQUENO	sp.	1
SP. OKANOENSIS	sp.	1
SP. 'O-LUGUBRIS'	sp.	1
SP. 'O-WALACII'	sp.	1
SP. 'O-WALLACII'	sp.	1
SP. PALIDA	sp.	1
SP. PARSEGNIS	sp.	1
SP. PUFFINUS	sp.	1
SP. ROBERTSI	sp.	1
SP. RUFINA	sp.	1
SP. RW-32	sp.	1
SP. SCISSOR TAIL	sp.	1
SP. 'SCISSOR TAIL'	sp.	1
SP. 'SICKLEFIN'	sp.	1
SP. SLENDER	sp.	1
SP. 'SLENDER'	sp.	1
SP. SMALL	sp. small	1
SP. SMALL EYE	sp. nov.	1
SP. SN3	sp.	1
SP. SN4	sp.	1
SP. SN9	sp.	1
SP. 'SPOTTED'	sp.	1
SP. STRIPED	sp.	1
SP. SZABOI	sp.	1
SP. T	sp. T	1
SP. TAIL MOYENNE,NOV.SP.B	sp. tail moyenne,nov.sp.B	1
SP. 'TALLAPOOSA SCULPIN'	sp.	1
SP. 'TEAPA'	sp.	1
SP. TENUICAUDA	sp.	1
SP. UNDET.	sp. incert.	1
SP. UNNAMED	sp.	1
SP. VADAMANS	sp.	1
SP. VEL JUGLANS SP.	sp. vel Juglans sp.	1
SP. VII		1
SP. W1	sp.	1
SP. W2	sp.	1
SP. W4	sp.	1
SP. WHITE-CHEST	sp.	1
SP. X	sp.	1
SP. X SP.	sp. X sp.	1
SP. X VENUSTUS	sp. X venustus	1
SP. Y	sp.	1
SP.	sp.	1
SP..	sp.	1
SP.;	sp.	1
SP.”VENTUARI”	sp. nov.	1
SP.1	sp.	1
SP.10	sp.10	1
SP.11	sp.	1
SP.12	sp.12	1
SP.1-2	sp.1-2	1
SP.13	sp.	1
SP.14	sp.	1
SP.15	sp.15	1
SP.16	sp.16	1
SP.17	sp.17	1
SP.18	sp.18	1
SP.19	sp.19	1
SP.2	sp.	1
SP.21	sp.21	1
SP.3	sp.	1
SP.4	sp.	1
SP.4 (CF.DIASTEMA)	cf. diastema	1
SP.4.	sp.	1
SP.5	sp.	1
SP.6	sp.	1
SP.7	sp.	1
SP.8	sp.	1
SP.9	sp.	1
SP.A	sp.	1
SP.A.	sp.	1
SP.A`	sp.A`	1
SP.B	sp.	1
SP.B (CF.BRANSFORDII)	cf. bransfordii	1
SP.C		1
SP.CF. WINCHELLI	cf. winchelli	1
SP.D	sp.D	1
SP.E	sp.E	1
SP.F	sp.F	1
SP.G	sp.G	1
SP.H	sp.H	1
SP.I	sp.I	1
SP.III (C.F.CRUENTES)	sp.	1
SP.INDET.	sp.	1
SP.JUV.	sp.juv.	1
SP.K	sp.K	1
SP.L	sp.L	1
SP.M	sp.M	1
SP.N	sp. nov.	1
SP.--NOT M. MOGOLLONENSIS	sp.	1
SP.NOV.	sp. nov.	1
SP.NOV.-LAETOLI	sp.nov.-Laetoli	1
SP.O	sp.O	1
SP.'O-WALACII'	sp.	1
SP.Q	sp.Q	1
SP.R	sp.R	1
SP.S	sp.S	1
SP.T	sp.T	1
SP.U	sp.U	1
SP.X	sp.X	1
SP?	species in question	1
SP?, WORN	species in question	1
SP?; L > 4MM (WEIL 2004)	species in question	1
SP?; NOT AVAILABLE TO GPW	species in question	1
SP?; NOT ID-ABLE TO SP. (WEIL 2004)	species in question	1
SPARVERIA (SUBSP.)	ssp.	1
SPCF	cf.	1
SPECIES IN QUESTION	species in question	1
SPECIES QUESTIONED	species in question	1
SPIRALOCUCULLATA SP. INED.	spiralocucullata sp. ined.	1
SS ?	subspecies in question	1
SS CF	cf.	1
SSP	ssp.	1
SSP.	ssp.	1
STICTOS N.SP.	sp. nov.	1
SUBADULT		1
SUBADULT?		1
SUBCL. ELASMOBRANCHII		1
SUBORDER= ACANTHUROIDEI		1
SUBSP CF	cf.	1
SUBSP. 	ssp.	1
SUBSPECIES IN QUESTION	subspecies in question	1
SUBSPECIES QUESTIONED	subspecies in question	1
SUBSPECIES UNCERTAIN		1
TABIRA SSP. 1	ssp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS AND SPECIES UNCERTAIN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? SPECIES ?, FAMILY KNOWN;		1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS AND SPECIES UNKNOWN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS BLANK AND SPECIES BLANK OR "SP.", FAMILY KNOWN;		1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS IDENTIFIED, SPECIES UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS SPECIES ? OR ("SPECIES 1/A OR SPECIES 2/B") OR "AFFIN";	sp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS IDENTIFIED, SPECIES UNKNOWN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS "SP.";	sp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS UNCERTAIN, SPECIES UNKNOWN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? "SP." BUT FAMILY KNOWN;	?	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS, SPECIES AND FAMILY UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? SPECIES ? FAMILY ?;		1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: SOME UNCERTAINTY AS TO IDENTIFICATION; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: COMMON NAME ? OR "IDENTITY UNCERTAIN" IN NOTES;	?	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: SUBSPECIES UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS SPECIES SUBSPECIES ?;	ssp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: UNIDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS AND SPECIES AND FAMILY VACANT OR BLANK;		1
TENT SP	species in question	1
TRIBE: MICROTINI		1
TRIMERORHACHIS ALSO		1
UINTASORICINAE		1
UNIDENTATA PARV		1
UNIDENTATA PRAS		1
UNIDENTATA SEBE		1
UNIDENTIFIED		1
VENUSTA X SP.	venusta X sp.	1
VESPERTILIONOIDEA CF FM	cf.	1
VIVAX X SP.	vivax X sp.	1
WEBSTERI SP.NOV.	sp. nov.	1
WILLII GEN & SP		1
WOOD-MASONI N.	sp. nov.	1
WORN		1
WORN, NOT ID-ABLE (WEIL 2004)		1
X "HYBRID"	hybrid	1
X AMERICANA	x americana	1
X CAERULESCENS	x caerulescens	1
X CAFER	x cafer	1
X GENUS CHANGED FROM AMPHISPIZA ACCORDING TO CLEMENTS 6.7		1
X GEOLTHLYPIS	x geolthlypis	1
X HARLANI	x harlani	1
X HYBRID	x hybrid	1
X LUPUS	x lupus	1
X LUTEUS	x luteus	1
X MACROVRA	x macrovra	1
X OREGANUS	x oreganus	1
X PUNCTULATA	x punctulata	1
X TOLMIEI	x tolmiei	1
X VIRGINIANUS	x virginianus	1
